year,hhtyp,sampreg,hlf0151,proportion,n,lower_confidence,upper_confidence
2004,Couple with children,West,2.0,0.19310164619806636,11543,0.1859005414820112,0.2003027509141215
2004,Couple without children,West,2.0,0.18230119327584704,11543,0.17525769907748032,0.18934468747421376
2004,Single-person household,West,2.0,0.13108614232209737,11543,0.124929222801777,0.13724306184241775
2004,Couple without children,East,2.0,0.06610922393519729,11543,0.06157632750736996,0.07064212036302461
2004,Couple with children,East,2.0,0.060708997474087624,11543,0.05635264175204992,0.06506535319612533
2004,Couple with children,West,1.0,0.05130215138054176,11543,0.047277498118649904,0.05532680464243362
2004,Single-person household,East,2.0,0.045466422785471645,11543,0.041665949172356616,0.049266896398586675
2004,Couple without children,West,1.0,0.04154690357982754,11543,0.037906483619209765,0.04518732354044532
2004,Single-person household,West,1.0,0.03274976047382632,11543,0.029502850774686985,0.03599667017296566
2004,Single parent,West,2.0,0.03135615364515286,11543,0.028176790194647458,0.03453551709565826
2004,Couple without children,West,3.0,0.0229945126731121,11543,0.020260142362136767,0.02572888298408743
2004,Couple with children,West,3.0,0.02038149986934936,11543,0.017803735105789822,0.0229592646329089
2004,Single-person household,West,3.0,0.019945997735388903,11543,0.017395355131609818,0.022496640339167987
2004,Single parent,East,2.0,0.011758557616932322,11543,0.009792006315005543,0.013725108918859101
2004,Couple with children,East,1.0,0.009929448654298406,11543,0.008120641103659988,0.011738256204936823
2004,Couple without children,East,1.0,0.008448741398832855,11543,0.006778995762157371,0.010118487035508338
2004,Single-person household,East,1.0,0.008013239264872398,11543,0.00638674057899649,0.009639737950748307
2004,Couple without children,East,3.0,0.007055134570159394,11543,0.005528229835779526,0.008582039304539262
2004,Single parent,West,1.0,0.006445431582614755,11543,0.004985546781239886,0.007905316383989624
2004,Single-person household,East,3.0,0.006358331155822664,11543,0.0049082804371371885,0.007808381874508139
2004,Multi-generational household,West,2.0,0.005487326887901751,11543,0.0041396607983184425,0.00683499297748506
2004,Couple with children,East,3.0,0.005051824753941295,11543,0.0037584597911125206,0.006345189716770069
2004,Single parent,West,3.0,0.005051824753941295,11543,0.0037584597911125206,0.006345189716770069
2004,Other Combinations,West,2.0,0.00479052347356502,11543,0.0035308863219502542,0.006050160625179786
2004,Single-person household,West,4.0,0.002787213657346921,11543,0.0018254335872487535,0.0037489937274450885
2004,Single parent,East,3.0,0.0025259123769706474,11543,0.0016102050794590671,0.003441619674482228
2004,Couple with children,West,4.0,0.0022646110965943733,11543,0.0013974471218709868,0.0031317750713177597
2004,Couple without children,West,4.0,0.0020033098162180996,11543,0.001187600666910372,0.002819018965525827
2004,Other Combinations,East,2.0,0.0017420085358418255,11543,0.0009812562592531947,0.0025027608124304564
2004,Multi-generational household,East,2.0,0.001567807682257643,11543,0.0008460317350462121,0.002289583629469074
2004,Multi-generational household,West,1.0,0.0013065064018813691,11543,0.0006475319085836162,0.001965480895179122
2004,Single parent,East,1.0,0.001219405975089278,11543,0.0005827483708244706,0.0018560635793540853
2004,Other Combinations,West,1.0,0.001219405975089278,11543,0.0005827483708244706,0.0018560635793540853
2004,Multi-generational household,West,3.0,0.0008710042679209128,11543,0.00033283654568618557,0.00140917199015564
2004,Single-person household,East,4.0,0.0008710042679209128,11543,0.00033283654568618557,0.00140917199015564
2004,Single parent,West,4.0,0.0007839038411288215,11543,0.0002733308580032981,0.001294476824254345
2004,Other Combinations,West,3.0,0.0006968034143367303,11543,0.00021540960957983568,0.001178197219093625
2004,Couple without children,East,4.0,0.000609702987544639,11543,0.00015938069214146468,0.0010600252829478132
2004,Other Combinations,East,1.0,0.000609702987544639,11543,0.00015938069214146468,0.0010600252829478132
2004,Couple with children,East,4.0,0.0005226025607525476,11543,0.00010566696076822157,0.0009395381607368736
2004,Multi-generational household,East,3.0,0.0002613012803762738,11543,-3.355524547156625e-05,0.0005561578062241139
2004,Multi-generational household,East,1.0,0.0002613012803762738,11543,-3.355524547156625e-05,0.0005561578062241139
2004,Other Combinations,East,3.0,0.00017420085358418256,11543,-6.655897883212897e-05,0.00041496068600049407
2004,Other Combinations,East,4.0,8.710042679209128e-05,11543,-8.314989859216292e-05,0.00025735075217634545
2004,Multi-generational household,West,4.0,8.710042679209128e-05,11543,-8.314989859216292e-05,0.00025735075217634545
2004,Other Combinations,West,4.0,8.710042679209128e-05,11543,-8.314989859216292e-05,0.00025735075217634545
2009,Couple without children,West,2.0,0.1813793103448276,10177,0.17389276575501056,0.18886585493464464
2009,Couple with children,West,2.0,0.16088669950738915,10177,0.15374804180927723,0.16802535720550107
2009,Single-person household,West,2.0,0.14433497536945813,10177,0.1375071270361599,0.15116282370275638
2009,Couple without children,East,2.0,0.07172413793103448,10177,0.06671091079886207,0.07673736506320689
2009,Couple without children,West,1.0,0.05645320197044335,10177,0.051969133902506605,0.0609372700383801
2009,Couple with children,East,2.0,0.05270935960591133,10177,0.048367940860232786,0.05705077835158988
2009,Single-person household,East,2.0,0.052610837438423645,10177,0.048273252445348594,0.056948422431498696
2009,Couple with children,West,1.0,0.05251231527093596,10177,0.048178568267373184,0.05684606227449873
2009,Single-person household,West,1.0,0.04492610837438424,10177,0.04090158855139157,0.04895062819737691
2009,Single parent,West,2.0,0.03064039408866995,10177,0.027292005781672853,0.03398878239566705
2009,Single-person household,West,3.0,0.016748768472906402,10177,0.014255495248082957,0.019242041697729848
2009,Couple without children,West,3.0,0.016551724137931035,10177,0.014072912277416631,0.01903053599844544
2009,Couple with children,West,3.0,0.01497536945812808,10177,0.012615660169728005,0.017335078746528152
2009,Couple without children,East,1.0,0.013300492610837438,10177,0.011074762491245152,0.015526222730429725
2009,Single parent,East,2.0,0.012906403940886699,10177,0.010713457736812669,0.015099350144960728
2009,Single-person household,East,1.0,0.01083743842364532,10177,0.008825830485127736,0.012849046362162903
2009,Single parent,West,1.0,0.010147783251231527,10177,0.00820055458092762,0.012095011921535434
2009,Couple with children,East,1.0,0.010147783251231527,10177,0.00820055458092762,0.012095011921535434
2009,Couple without children,East,3.0,0.007980295566502463,10177,0.006251610733174859,0.009708980399830067
2009,Single-person household,East,3.0,0.00729064039408867,10177,0.005637765126980496,0.008943515661196843
2009,Other Combinations,West,2.0,0.003940886699507389,10177,0.0027236200728029724,0.005158153326211805
2009,Single parent,West,3.0,0.003940886699507389,10177,0.0027236200728029724,0.005158153326211805
2009,Multi-generational household,West,2.0,0.003349753694581281,10177,0.0022271563497115723,0.00447235103945099
2009,Couple with children,East,3.0,0.002955665024630542,10177,0.0019009599745987947,0.0040103700746622895
2009,Single parent,East,3.0,0.0024630541871921183,10177,0.0015000067893188472,0.0034261015850653893
2009,Single-person household,West,4.0,0.0019704433497536944,10177,0.0011088549117475976,0.002832031787759791
2009,Other Combinations,West,1.0,0.001477832512315271,10177,0.0007314909146346974,0.0022241741099958447
