"hlf0151","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr sicher","2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Sehr sicher","2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Sehr sicher","2004","2","Staedtischer Raum","505","0.138057556219953","0.126921288839127","0.149193823600779"
"Sehr sicher","2004","2","Laendlicher Raum","413","0.1837450364236","0.167525189198383","0.199964883648817"
"Sehr sicher","2004","3","Staedtischer Raum","547","0.145738374389351","0.134455755907198","0.157020992871504"
"Sehr sicher","2004","3","Laendlicher Raum","411","0.20326147520764","0.186062051325488","0.220460899089793"
"Sehr sicher","2004","4","Staedtischer Raum","648","0.144068183266341","0.133118584605065","0.155017781927616"
"Sehr sicher","2004","4","Laendlicher Raum","331","0.228488913263598","0.208623705984307","0.248354120542888"
"Sehr sicher","2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Sehr sicher","2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ziemlich sicher","2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ziemlich sicher","2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ziemlich sicher","2004","2","Staedtischer Raum","2718","0.749402273921155","0.735412313307957","0.763392234534353"
"Ziemlich sicher","2004","2","Laendlicher Raum","1621","0.747410965593778","0.729213411769894","0.765608519417662"
"Ziemlich sicher","2004","3","Staedtischer Raum","2852","0.754937093096158","0.741183325989682","0.768690860202634"
"Ziemlich sicher","2004","3","Laendlicher Raum","1558","0.721307755155681","0.702145297978157","0.740470212333206"
"Ziemlich sicher","2004","4","Staedtischer Raum","2915","0.748236519525629","0.734703011224194","0.761770027827064"
"Ziemlich sicher","2004","4","Laendlicher Raum","1297","0.711954712104144","0.69052846934453","0.733380954863758"
"Ziemlich sicher","2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ziemlich sicher","2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ziemlich unsicher","2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ziemlich unsicher","2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ziemlich unsicher","2004","2","Staedtischer Raum","415","0.099474944024553","0.0898127628239698","0.109137125225136"
"Ziemlich unsicher","2004","2","Laendlicher Raum","146","0.0635998482695233","0.0533790501298777","0.0738206464091689"
"Ziemlich unsicher","2004","3","Staedtischer Raum","316","0.0882976483445317","0.0792251144469327","0.0973701822421307"
"Ziemlich unsicher","2004","3","Laendlicher Raum","126","0.073547172689248","0.0623907977544284","0.0847035476240675"
"Ziemlich unsicher","2004","4","Staedtischer Raum","354","0.0983556348136347","0.0890699949575182","0.107641274669751"
"Ziemlich unsicher","2004","4","Laendlicher Raum","78","0.0572247366517317","0.0462350466976093","0.0682144266058541"
"Ziemlich unsicher","2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ziemlich unsicher","2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Sehr unsicher","2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Sehr unsicher","2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Sehr unsicher","2004","2","Staedtischer Raum","48","0.0130652258343392","0.00939938915981299","0.0167310625088653"
"Sehr unsicher","2004","2","Laendlicher Raum","10","","",""
"Sehr unsicher","2004","3","Staedtischer Raum","42","0.0110268841699593","0.0076876556363879","0.0143661127035307"
"Sehr unsicher","2004","3","Laendlicher Raum","8","","",""
"Sehr unsicher","2004","4","Staedtischer Raum","34","0.00933966239439553","0.00634034412427298","0.0123389806645181"
"Sehr unsicher","2004","4","Laendlicher Raum","10","","",""
"Sehr unsicher","2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Sehr unsicher","2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
