,Unnamed: 0,year,pgisced97,sampreg,plh0187,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,Pre-primary Level,West,Very seldom,0.29442,63,19885,0.23277,0.35623
1,1,2007,Pre-primary Level,West,Seldom,0.37086,78,19885,0.30713,0.43546
2,2,2007,Pre-primary Level,West,Sometimes,0.33471,85,19885,0.26312,0.42293
3,3,2007,Primary Level,West,Very seldom,0.19122,34,19885,0.14598,0.24508
4,4,2007,Primary Level,West,Seldom,0.23872,43,19885,0.17203,0.29434
5,5,2007,Primary Level,West,Sometimes,0.3496,67,19885,0.27726,0.41099
6,6,2007,Primary Level,West,Often,0.22046,36,19885,0.17606,0.28087
7,7,2007,Lower Secondary Level,West,Very seldom,0.18673,357,19885,0.17377,0.20151
8,8,2007,Lower Secondary Level,West,Seldom,0.25229,531,19885,0.2339,0.26822
9,9,2007,Lower Secondary Level,West,Sometimes,0.36198,620,19885,0.34452,0.38186
10,10,2007,Lower Secondary Level,West,Often,0.15071,269,19885,0.13849,0.16145
11,11,2007,Lower Secondary Level,West,Very often,0.04829,93,19885,0.04105,0.05462
12,12,2007,Lower Secondary Level,East,Very seldom,0.17738,59,19885,0.14579,0.21863
13,13,2007,Lower Secondary Level,East,Seldom,0.29761,95,19885,0.25338,0.34786
14,14,2007,Lower Secondary Level,East,Sometimes,0.36976,114,19885,0.31688,0.42297
15,15,2007,Lower Secondary Level,East,Often,0.15525,49,19885,0.11484,0.19349
16,16,2007,Upper Secondary Level,West,Very seldom,0.21304,1755,19885,0.20648,0.22032
17,17,2007,Upper Secondary Level,West,Seldom,0.31827,2518,19885,0.30711,0.32752
18,18,2007,Upper Secondary Level,West,Sometimes,0.32136,2348,19885,0.31185,0.33435
19,19,2007,Upper Secondary Level,West,Often,0.10911,772,19885,0.10215,0.1153
20,20,2007,Upper Secondary Level,West,Very often,0.03823,272,19885,0.03475,0.04197
21,21,2007,Upper Secondary Level,East,Very seldom,0.18854,513,19885,0.17681,0.20316
22,22,2007,Upper Secondary Level,East,Seldom,0.31798,874,19885,0.30299,0.33417
23,23,2007,Upper Secondary Level,East,Sometimes,0.34058,877,19885,0.32315,0.36148
24,24,2007,Upper Secondary Level,East,Often,0.11012,265,19885,0.09902,0.12291
25,25,2007,Upper Secondary Level,East,Very often,0.04278,87,19885,0.03516,0.05039
26,26,2007,Post-secondary Non-tertiary Level,West,Very seldom,0.21037,221,19885,0.18656,0.23395
27,27,2007,Post-secondary Non-tertiary Level,West,Seldom,0.31811,330,19885,0.28689,0.34749
28,28,2007,Post-secondary Non-tertiary Level,West,Sometimes,0.32048,304,19885,0.28994,0.35069
29,29,2007,Post-secondary Non-tertiary Level,West,Often,0.11224,112,19885,0.09553,0.12835
30,30,2007,Post-secondary Non-tertiary Level,West,Very often,0.0388,33,19885,0.02948,0.04833
31,31,2007,Post-secondary Non-tertiary Level,East,Very seldom,0.25451,34,19885,0.17377,0.36149
32,32,2007,Post-secondary Non-tertiary Level,East,Seldom,0.48883,63,19885,0.3934,0.60921
33,33,2007,Post-secondary Non-tertiary Level,East,Sometimes,0.25666,40,19885,0.20139,0.31651
34,34,2007,First Stage of Tertiary Education,West,Very seldom,0.24857,277,19885,0.22312,0.27443
35,35,2007,First Stage of Tertiary Education,West,Seldom,0.34513,372,19885,0.31661,0.37913
36,36,2007,First Stage of Tertiary Education,West,Sometimes,0.31659,343,19885,0.28872,0.34873
37,37,2007,First Stage of Tertiary Education,West,Often,0.08971,108,19885,0.07861,0.10679
38,38,2007,First Stage of Tertiary Education,East,Very seldom,0.18814,73,19885,0.1491,0.2354
39,39,2007,First Stage of Tertiary Education,East,Seldom,0.42136,163,19885,0.36059,0.47963
40,40,2007,First Stage of Tertiary Education,East,Sometimes,0.30455,125,19885,0.25717,0.35537
41,41,2007,First Stage of Tertiary Education,East,Often,0.08595,34,19885,0.05895,0.11033
42,42,2007,Second Stage of Tertiary Education,West,Very seldom,0.24434,813,19885,0.22842,0.26009
43,43,2007,Second Stage of Tertiary Education,West,Seldom,0.34659,1102,19885,0.32933,0.36925
44,44,2007,Second Stage of Tertiary Education,West,Sometimes,0.29673,885,19885,0.27684,0.31707
45,45,2007,Second Stage of Tertiary Education,West,Often,0.09384,231,19885,0.0832,0.10617
46,46,2007,Second Stage of Tertiary Education,West,Very often,0.01851,50,19885,0.01359,0.02365
47,47,2007,Second Stage of Tertiary Education,East,Very seldom,0.19121,240,19885,0.16881,0.21377
48,48,2007,Second Stage of Tertiary Education,East,Seldom,0.35491,504,19885,0.32823,0.38894
49,49,2007,Second Stage of Tertiary Education,East,Sometimes,0.31044,400,19885,0.28293,0.33906
50,50,2007,Second Stage of Tertiary Education,East,Often,0.1176,118,19885,0.09491,0.13729
51,51,2007,Second Stage of Tertiary Education,East,Very often,0.02584,36,19885,0.01958,0.03284
52,52,2008,Pre-primary Level,West,Very seldom,0.25632,61,18573,0.19633,0.31875
53,53,2008,Pre-primary Level,West,Seldom,0.40318,94,18573,0.33191,0.48678
54,54,2008,Pre-primary Level,West,Sometimes,0.34051,83,18573,0.28633,0.40501
55,55,2008,Primary Level,West,Seldom,0.38695,40,18573,0.29458,0.49184
56,56,2008,Primary Level,West,Sometimes,0.61305,54,18573,0.46903,0.7222
57,57,2008,Lower Secondary Level,West,Very seldom,0.1738,312,18573,0.16041,0.18753
58,58,2008,Lower Secondary Level,West,Seldom,0.27488,502,18573,0.25794,0.29331
59,59,2008,Lower Secondary Level,West,Sometimes,0.34421,553,18573,0.32346,0.36591
60,60,2008,Lower Secondary Level,West,Often,0.15366,250,18573,0.14093,0.16632
61,61,2008,Lower Secondary Level,West,Very often,0.05345,83,18573,0.04425,0.06201
62,62,2008,Lower Secondary Level,East,Very seldom,0.20744,44,18573,0.15169,0.26977
63,63,2008,Lower Secondary Level,East,Seldom,0.39113,103,18573,0.33387,0.45765
64,64,2008,Lower Secondary Level,East,Sometimes,0.40142,114,18573,0.34609,0.4504
65,65,2008,Upper Secondary Level,West,Very seldom,0.21225,1590,18573,0.20384,0.21932
66,66,2008,Upper Secondary Level,West,Seldom,0.32568,2446,18573,0.31568,0.33549
67,67,2008,Upper Secondary Level,West,Sometimes,0.31265,2167,18573,0.30295,0.32356
68,68,2008,Upper Secondary Level,West,Often,0.11629,766,18573,0.10955,0.12276
69,69,2008,Upper Secondary Level,West,Very often,0.03313,230,18573,0.02912,0.03702
70,70,2008,Upper Secondary Level,East,Very seldom,0.19419,494,18573,0.18066,0.20659
71,71,2008,Upper Secondary Level,East,Seldom,0.33203,887,18573,0.31395,0.35346
72,72,2008,Upper Secondary Level,East,Sometimes,0.31323,780,18573,0.29298,0.33293
73,73,2008,Upper Secondary Level,East,Often,0.1235,251,18573,0.10996,0.13551
