year,age_gr,sampreg,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,17-29 y.,West,Very seldom,0.20126,538,2489,0.18551,0.21702
2007,17-29 y.,West,Seldom,0.32649,827,2489,0.30807,0.34492
2007,17-29 y.,West,Sometimes,0.31232,744,2489,0.29411,0.33053
2007,17-29 y.,West,Often,0.11345,285,2489,0.10098,0.12591
2007,17-29 y.,West,Very often,0.04648,95,2489,0.03821,0.05475
2007,17-29 y.,East,Very seldom,0.15968,156,873,0.13537,0.18400
2007,17-29 y.,East,Seldom,0.33365,311,873,0.30235,0.36495
2007,17-29 y.,East,Sometimes,0.35162,303,873,0.31992,0.38331
2007,17-29 y.,East,Often,0.11296,103,873,0.09195,0.13397
2007,30-45 y.,West,Very seldom,0.22002,1077,4478,0.20788,0.23215
2007,30-45 y.,West,Seldom,0.31413,1473,4478,0.30053,0.32773
2007,30-45 y.,West,Sometimes,0.31498,1320,4478,0.30137,0.32858
2007,30-45 y.,West,Often,0.11956,473,4478,0.11006,0.12906
2007,30-45 y.,West,Very often,0.03131,135,4478,0.02621,0.03642
2007,30-45 y.,East,Very seldom,0.19415,244,1215,0.17190,0.21640
2007,30-45 y.,East,Seldom,0.31261,416,1215,0.28654,0.33869
2007,30-45 y.,East,Sometimes,0.32175,391,1215,0.29547,0.34803
2007,30-45 y.,East,Often,0.12044,119,1215,0.10213,0.13875
2007,30-45 y.,East,Very often,0.05105,45,1215,0.03867,0.06343
2007,46-65 y.,West,Very seldom,0.21847,1206,5273,0.20731,0.22962
2007,46-65 y.,West,Seldom,0.32122,1780,5273,0.30861,0.33382
2007,46-65 y.,West,Sometimes,0.31779,1633,5273,0.30522,0.33036
2007,46-65 y.,West,Often,0.10415,489,5273,0.09590,0.11239
2007,46-65 y.,West,Very often,0.03838,165,5273,0.03319,0.04356
2007,46-65 y.,East,Very seldom,0.17500,308,1761,0.15725,0.19275
2007,46-65 y.,East,Seldom,0.34640,631,1761,0.32417,0.36863
2007,46-65 y.,East,Sometimes,0.33848,595,1761,0.31637,0.36059
2007,46-65 y.,East,Often,0.10782,171,1761,0.09333,0.12231
2007,46-65 y.,East,Very often,0.03230,56,1761,0.02404,0.04056
2007,66 and older,West,Very seldom,0.21710,755,3209,0.20283,0.23136
2007,66 and older,West,Seldom,0.29243,975,3209,0.27669,0.30817
2007,66 and older,West,Sometimes,0.34073,1019,3209,0.32432,0.35713
2007,66 and older,West,Often,0.11363,337,3209,0.10264,0.12461
2007,66 and older,West,Very often,0.03612,123,3209,0.02966,0.04258
2007,66 and older,East,Very seldom,0.21702,244,1119,0.19286,0.24119
2007,66 and older,East,Seldom,0.33268,393,1119,0.30506,0.36030
2007,66 and older,East,Sometimes,0.30589,332,1119,0.27888,0.33291
2007,66 and older,East,Often,0.11542,116,1119,0.09669,0.13415
2007,66 and older,East,Very often,0.02898,34,1119,0.01915,0.03881
2008,17-29 y.,West,Very seldom,0.21295,518,2325,0.19631,0.22960
2008,17-29 y.,West,Seldom,0.33942,814,2325,0.32017,0.35867
2008,17-29 y.,West,Sometimes,0.30041,669,2325,0.28177,0.31904
2008,17-29 y.,West,Often,0.11725,257,2325,0.10417,0.13033
2008,17-29 y.,West,Very often,0.02997,67,2325,0.02304,0.03690
2008,17-29 y.,East,Very seldom,0.18596,155,797,0.15893,0.21298
2008,17-29 y.,East,Seldom,0.35550,300,797,0.32224,0.38875
2008,17-29 y.,East,Sometimes,0.31252,262,797,0.28032,0.34472
2008,17-29 y.,East,Often,0.11487,80,797,0.09272,0.13702
2008,30-45 y.,West,Very seldom,0.22316,942,4012,0.21027,0.23604
2008,30-45 y.,West,Seldom,0.33554,1381,4012,0.32092,0.35015
2008,30-45 y.,West,Sometimes,0.29918,1172,4012,0.28501,0.31335
2008,30-45 y.,West,Often,0.11223,402,4012,0.10246,0.12200
2008,30-45 y.,West,Very often,0.02990,115,4012,0.02462,0.03517
2008,30-45 y.,East,Very seldom,0.21248,237,1117,0.18848,0.23649
2008,30-45 y.,East,Seldom,0.33188,420,1117,0.30425,0.35951
2008,30-45 y.,East,Sometimes,0.30660,359,1117,0.27955,0.33365
2008,30-45 y.,East,Often,0.11793,101,1117,0.09901,0.13686
2008,46-65 y.,West,Very seldom,0.21647,1118,4997,0.20505,0.22789
2008,46-65 y.,West,Seldom,0.32810,1738,4997,0.31508,0.34112
2008,46-65 y.,West,Sometimes,0.30782,1498,4997,0.29502,0.32062
2008,46-65 y.,West,Often,0.10983,492,4997,0.10116,0.11850
2008,46-65 y.,West,Very often,0.03779,151,4997,0.03250,0.04307
2008,46-65 y.,East,Very seldom,0.18125,312,1677,0.16281,0.19969
2008,46-65 y.,East,Seldom,0.36163,623,1677,0.33863,0.38464
2008,46-65 y.,East,Sometimes,0.32233,550,1677,0.29996,0.34471
2008,46-65 y.,East,Often,0.10461,142,1677,0.08995,0.11926
2008,46-65 y.,East,Very often,0.03018,50,1677,0.02199,0.03837
2008,66 and older,West,Very seldom,0.20580,731,3161,0.19170,0.21989
2008,66 and older,West,Seldom,0.30562,997,3161,0.28956,0.32169
2008,66 and older,West,Sometimes,0.32834,971,3161,0.31196,0.34471
2008,66 and older,West,Often,0.12160,352,3161,0.11020,0.13299
2008,66 and older,West,Very often,0.03865,110,3161,0.03193,0.04537
2008,66 and older,East,Very seldom,0.17643,200,1114,0.15403,0.19882
2008,66 and older,East,Seldom,0.34870,395,1114,0.32070,0.37670
2008,66 and older,East,Sometimes,0.33018,357,1114,0.30255,0.35781
2008,66 and older,East,Often,0.11266,124,1114,0.09409,0.13124
2008,66 and older,East,Very often,0.03203,38,1114,0.02169,0.04238
2009,17-29 y.,West,Very seldom,0.18408,433,2122,0.16758,0.20057
2009,17-29 y.,West,Seldom,0.36129,759,2122,0.34085,0.38174
2009,17-29 y.,West,Sometimes,0.31136,640,2122,0.29165,0.33106
2009,17-29 y.,West,Often,0.11146,227,2122,0.09807,0.12485
2009,17-29 y.,West,Very often,0.03181,63,2122,0.02434,0.03928
2009,17-29 y.,East,Very seldom,0.16360,128,708,0.13633,0.19086
2009,17-29 y.,East,Seldom,0.33637,261,708,0.30155,0.37120
2009,17-29 y.,East,Sometimes,0.36120,245,708,0.32579,0.39661
2009,17-29 y.,East,Often,0.11485,74,708,0.09135,0.13835
2009,30-45 y.,West,Very seldom,0.20544,769,3599,0.19224,0.21864
2009,30-45 y.,West,Seldom,0.33913,1259,3599,0.32366,0.35460
2009,30-45 y.,West,Sometimes,0.30748,1081,3599,0.29240,0.32256
2009,30-45 y.,West,Often,0.11249,381,3599,0.10217,0.12282
2009,30-45 y.,West,Very often,0.03546,109,3599,0.02942,0.04150
2009,30-45 y.,East,Very seldom,0.20055,210,1036,0.17616,0.22495
2009,30-45 y.,East,Seldom,0.33956,382,1036,0.31071,0.36841
2009,30-45 y.,East,Sometimes,0.31796,335,1036,0.28959,0.34633
2009,30-45 y.,East,Often,0.11464,109,1036,0.09523,0.13405
2009,46-65 y.,West,Very seldom,0.20294,1001,4670,0.19141,0.21448
2009,46-65 y.,West,Seldom,0.32643,1594,4670,0.31298,0.33988
