"plh0187","year","bildungsniveau","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr selten","2007","(noch) kein Abschluss","Westdeutschland","99","0.214516602432699","0.17663234491954","0.252400859945858"
"Sehr selten","2007","(noch) kein Abschluss","Ostdeutschland","21","","",""
"Sehr selten","2007","Hauptschule","Westdeutschland","1378","0.213549723992634","0.203223167017992","0.223876280967275"
"Sehr selten","2007","Hauptschule","Ostdeutschland","262","0.198917088118005","0.176936740118401","0.220897436117609"
"Sehr selten","2007","Realschule","Westdeutschland","775","0.206864108417802","0.193563957946761","0.220164258888843"
"Sehr selten","2007","Realschule","Ostdeutschland","328","0.173113370598862","0.155745641049982","0.190481100147742"
"Sehr selten","2007","(Fach-)Abitur","Westdeutschland","439","0.209521651206974","0.191504774818695","0.227538527595254"
"Sehr selten","2007","(Fach-)Abitur","Ostdeutschland","77","0.202464515526033","0.162634618907965","0.2422944121441"
"Sehr selten","2007","AkademikerIn","Westdeutschland","813","0.244476654114245","0.229301088639014","0.259652219589475"
"Sehr selten","2007","AkademikerIn","Ostdeutschland","240","0.191212150448018","0.169818455605614","0.212605845290423"
"Selten","2007","(noch) kein Abschluss","Westdeutschland","125","0.278388330783886","0.237022942300369","0.319753719267402"
"Selten","2007","(noch) kein Abschluss","Ostdeutschland","33","0.325548771579814","0.234613721437217","0.416483821722411"
"Selten","2007","Hauptschule","Westdeutschland","1882","0.300488717358902","0.28893606112341","0.312041373594394"
"Selten","2007","Hauptschule","Ostdeutschland","412","0.308651141599769","0.28321552017826","0.334086763021278"
"Selten","2007","Realschule","Westdeutschland","1198","0.312482882557827","0.297263569387485","0.327702195728168"
"Selten","2007","Realschule","Ostdeutschland","636","0.335565813262185","0.313890289706802","0.357241336817568"
"Selten","2007","(Fach-)Abitur","Westdeutschland","641","0.326866282800959","0.306100142214373","0.347632423387545"
"Selten","2007","(Fach-)Abitur","Ostdeutschland","138","0.371021761949317","0.32313921822913","0.418904305669504"
"Selten","2007","AkademikerIn","Westdeutschland","1102","0.346367286673179","0.329566192522734","0.363168380823625"
"Selten","2007","AkademikerIn","Ostdeutschland","504","0.354970643499279","0.328939292744062","0.381001994254495"
