"hlf0632","year","hhtyp","quintil","n","percent","lower_confidence","upper_confidence"
"0","2017","1-Pers.- Haushalt","1","","","",""
"0","2017","1-Pers.- Haushalt","2","","","",""
"0","2017","1-Pers.- Haushalt","3","40","0.261944298973147","0.194026406976693","0.329862190969602"
"0","2017","1-Pers.- Haushalt","4","107","0.373749159218596","0.319718905626152","0.427779412811039"
"0","2017","1-Pers.- Haushalt","5","181","0.476174246030919","0.427473705304424","0.524874786757413"
"0","2017","(Ehe-)Paar ohne Kind(er)","1","","","",""
"0","2017","(Ehe-)Paar ohne Kind(er)","2","74","0.234945910907449","0.186970635180949","0.282921186633949"
"0","2017","(Ehe-)Paar ohne Kind(er)","3","196","0.282564553450392","0.249631187177941","0.315497919722844"
"0","2017","(Ehe-)Paar ohne Kind(er)","4","416","0.328598121568384","0.302601127386112","0.354595115750655"
"0","2017","(Ehe-)Paar ohne Kind(er)","5","1176","0.433839311854527","0.414840361587432","0.452838262121621"
"0","2017","Alleinerziehende","1","","","",""
"0","2017","Alleinerziehende","2","","","",""
"0","2017","Alleinerziehende","3","30","0.130498583867157","0.088574817037815","0.172422350696498"
"0","2017","Alleinerziehende","4","66","0.255443398486135","0.203615948636098","0.307270848336173"
"0","2017","Alleinerziehende","5","59","0.241056748282094","0.189943174194089","0.292170322370099"
"0","2017","Paar mit Kind(ern)","1","57","0.114264991931947","0.0845731391859818","0.143956844677912"
"0","2017","Paar mit Kind(ern)","2","152","0.16641367656475","0.143500522884589","0.189326830244911"
"0","2017","Paar mit Kind(ern)","3","271","0.186603275888448","0.170386067931805","0.202820483845091"
"0","2017","Paar mit Kind(ern)","4","826","0.229019579665179","0.215478169078572","0.242560990251785"
"0","2017","Paar mit Kind(ern)","5","1429","0.353387572184051","0.339142898878955","0.367632245489148"
"0","2017","Sonstige","1","","","",""
"0","2017","Sonstige","2","","","",""
"0","2017","Sonstige","3","","","",""
"0","2017","Sonstige","4","40","0.13450613498517","0.0849365319889557","0.184075737981384"
"0","2017","Sonstige","5","45","0.374064992434517","0.290564047609452","0.457565937259583"
"1","2017","1-Pers.- Haushalt","1","","","",""
"1","2017","1-Pers.- Haushalt","2","","","",""
"1","2017","1-Pers.- Haushalt","3","","","",""
"1","2017","1-Pers.- Haushalt","4","32","0.108614605306581","0.0738650217827616","0.1433641888304"
