year,regtyp,sex,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Urban regions,male,Yes,0.94273,2199,2354,0.93334,0.95212
2012,Urban regions,male,No,0.05727,155,2354,0.04788,0.06666
2012,Urban regions,female,Yes,0.94103,2994,3201,0.93287,0.94919
2012,Urban regions,female,No,0.05897,207,3201,0.05081,0.06713
2012,Rural regions,male,Yes,0.94512,1438,1534,0.93372,0.95652
2012,Rural regions,male,No,0.05488,96,1534,0.04348,0.06628
2012,Rural regions,female,Yes,0.93677,1837,1972,0.92603,0.94751
2012,Rural regions,female,No,0.06323,135,1972,0.05249,0.07397
2013,Urban regions,male,Yes,0.94076,2301,2456,0.93143,0.95010
2013,Urban regions,male,No,0.05924,155,2456,0.04990,0.06857
2013,Urban regions,female,Yes,0.94589,3118,3345,0.93822,0.95355
2013,Urban regions,female,No,0.05411,227,3345,0.04645,0.06178
2013,Rural regions,male,Yes,0.95120,1402,1482,0.94023,0.96218
2013,Rural regions,male,No,0.04880,80,1482,0.03782,0.05977
2013,Rural regions,female,Yes,0.94056,1767,1892,0.92991,0.95122
2013,Rural regions,female,No,0.05944,125,1892,0.04878,0.07009
2015,Urban regions,male,Yes,0.89185,2059,2270,0.87907,0.90463
2015,Urban regions,male,No,0.10815,211,2270,0.09537,0.12093
2015,Urban regions,female,Yes,0.92074,2910,3194,0.91137,0.93011
2015,Urban regions,female,No,0.07926,284,3194,0.06989,0.08863
2015,Rural regions,male,Yes,0.86688,1260,1417,0.84919,0.88458
2015,Rural regions,male,No,0.13312,157,1417,0.11542,0.15081
2015,Rural regions,female,Yes,0.90350,1625,1786,0.88980,0.91720
2015,Rural regions,female,No,0.09650,161,1786,0.08280,0.11020
2017,Urban regions,male,Yes,0.94473,2158,2306,0.93541,0.95406
2017,Urban regions,male,No,0.05527,148,2306,0.04594,0.06459
2017,Urban regions,female,Yes,0.94183,2963,3160,0.93367,0.94999
2017,Urban regions,female,No,0.05817,197,3160,0.05001,0.06633
2017,Rural regions,male,Yes,0.96146,1392,1466,0.95161,0.97132
2017,Rural regions,male,No,0.03854,74,1466,0.02868,0.04839
2017,Rural regions,female,Yes,0.96149,1789,1893,0.95282,0.97016
2017,Rural regions,female,No,0.03851,104,1893,0.02984,0.04718
2019,No answer / don't know,male,Yes,0.96037,114,114,0.92440,0.99634
2019,No answer / don't know,female,Yes,0.92872,106,106,0.87951,0.97794
2019,Urban regions,male,Yes,0.94508,2316,2508,0.93616,0.95400
2019,Urban regions,male,No,0.05492,192,2508,0.04600,0.06384
2019,Urban regions,female,Yes,0.93247,2955,3224,0.92381,0.94114
2019,Urban regions,female,No,0.06753,269,3224,0.05886,0.07619
2019,Rural regions,male,Yes,0.94279,1391,1485,0.93098,0.95461
2019,Rural regions,male,No,0.05721,94,1485,0.04539,0.06902
2019,Rural regions,female,Yes,0.94500,1738,1874,0.93468,0.95533
2019,Rural regions,female,No,0.05500,136,1874,0.04467,0.06532
2021,Urban regions,male,Yes,0.93033,1445,1590,0.91781,0.94285
2021,Urban regions,male,No,0.06967,145,1590,0.05715,0.08219
2021,Urban regions,female,Yes,0.92333,1931,2138,0.91205,0.93461
2021,Urban regions,female,No,0.07667,207,2138,0.06539,0.08795
2021,Rural regions,male,Yes,0.92708,828,898,0.91006,0.94409
2021,Rural regions,male,No,0.07292,70,898,0.05591,0.08994
2021,Rural regions,female,Yes,0.92437,1124,1216,0.90950,0.93924
2021,Rural regions,female,No,0.07563,92,1216,0.06076,0.09050
2022,Urban regions,male,Yes,0.78450,117,117,0.70967,0.85932
2022,Urban regions,female,Yes,0.79053,115,150,0.72519,0.85587
2022,Urban regions,female,No,0.20947,35,150,0.14413,0.27481
