year,sampreg,sex,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,West,male,Yes,0.94254,2694,2890,0.93406,0.95103
2012,West,male,No,0.05746,196,2890,0.04897,0.06594
2012,West,female,Yes,0.93532,3623,3892,0.92760,0.94305
2012,West,female,No,0.06468,269,3892,0.05695,0.07240
2012,East,male,Yes,0.94771,943,998,0.93390,0.96153
2012,East,male,No,0.05229,55,998,0.03847,0.06610
2012,East,female,Yes,0.95679,1208,1281,0.94566,0.96793
2012,East,female,No,0.04321,73,1281,0.03207,0.05434
2013,West,male,Yes,0.93939,2813,3004,0.93086,0.94793
2013,West,male,No,0.06061,191,3004,0.05207,0.06914
2013,West,female,Yes,0.94237,3767,4047,0.93519,0.94955
2013,West,female,No,0.05763,280,4047,0.05045,0.06481
2013,East,male,Yes,0.96460,890,934,0.95274,0.97645
2013,East,male,No,0.03540,44,934,0.02355,0.04726
2013,East,female,Yes,0.95120,1118,1190,0.93896,0.96345
2013,East,female,No,0.04880,72,1190,0.03655,0.06104
2015,West,male,Yes,0.87930,2501,2791,0.86722,0.89139
2015,West,male,No,0.12070,290,2791,0.10861,0.13278
2015,West,female,Yes,0.91621,3463,3819,0.90742,0.92500
2015,West,female,No,0.08379,356,3819,0.07500,0.09258
2015,East,male,Yes,0.89650,818,896,0.87655,0.91646
2015,East,male,No,0.10350,78,896,0.08354,0.12345
2015,East,female,Yes,0.91040,1072,1161,0.89397,0.92684
2015,East,female,No,0.08960,89,1161,0.07316,0.10603
2017,West,male,Yes,0.94949,2696,2879,0.94149,0.95749
2017,West,male,No,0.05051,183,2879,0.04251,0.05851
2017,West,female,Yes,0.94644,3660,3898,0.93937,0.95351
2017,West,female,No,0.05356,238,3898,0.04649,0.06063
2017,East,male,Yes,0.95492,854,893,0.94131,0.96854
2017,East,male,No,0.04508,39,893,0.03146,0.05869
2017,East,female,Yes,0.95690,1092,1155,0.94518,0.96861
2017,East,female,No,0.04310,63,1155,0.03139,0.05482
2019,West,male,Yes,0.94438,2882,3111,0.93632,0.95243
2019,West,male,No,0.05562,229,3111,0.04757,0.06368
2019,West,female,Yes,0.94080,3635,3955,0.93345,0.94816
2019,West,female,No,0.05920,320,3955,0.05184,0.06655
2019,East,male,Yes,0.94522,925,988,0.93103,0.95942
2019,East,male,No,0.05478,63,988,0.04058,0.06897
2019,East,female,Yes,0.92012,1149,1239,0.90502,0.93523
2019,East,female,No,0.07988,90,1239,0.06477,0.09498
2021,West,male,Yes,0.92658,1753,1932,0.91494,0.93821
2021,West,male,No,0.07342,179,1932,0.06179,0.08506
2021,West,female,Yes,0.92042,2338,2579,0.90998,0.93087
2021,West,female,No,0.07958,241,2579,0.06913,0.09002
2021,East,male,Yes,0.94042,520,556,0.92073,0.96011
2021,East,male,No,0.05958,36,556,0.03989,0.07927
2021,East,female,Yes,0.93827,718,776,0.92132,0.95521
2021,East,female,No,0.06173,58,776,0.04479,0.07868
2022,West,male,Yes,0.77436,120,120,0.69926,0.84946
2022,West,female,Yes,0.73335,126,170,0.66668,0.80002
2022,West,female,No,0.26665,44,170,0.19998,0.33332
