year,migback,sex,ple0162,proportion,n,lower_confidence,upper_confidence
2012,kein Migrationshintergrund,weiblich,Ja,0.4607659198763933,40229,0.45589495168417327,0.46563688806861336
2012,kein Migrationshintergrund,maennlich,Ja,0.3539344443218188,40229,0.34926154782773844,0.3586073408158992
2012,direkter Migrationshintergrund,weiblich,Ja,0.05694735680388478,40229,0.054682758348706506,0.05921195525906306
2012,direkter Migrationshintergrund,maennlich,Ja,0.03785454144134202,40229,0.03598959735859855,0.03971948552408548
2012,kein Migrationshintergrund,weiblich,Nein,0.03112239267189052,40229,0.029425488173137105,0.032819297170643934
2012,kein Migrationshintergrund,maennlich,Nein,0.025052422469926058,40229,0.023525201254511127,0.02657964368534099
2012,indirekter Migrationshintergrund,weiblich,Ja,0.015450833241364087,40229,0.014245572224510464,0.01665609425821771
2012,indirekter Migrationshintergrund,maennlich,Ja,0.009601589228561969,40229,0.00864865488023912,0.010554523576884817
2012,direkter Migrationshintergrund,weiblich,Nein,0.004635249972409226,40229,0.003971485258985192,0.00529901468583326
2012,indirekter Migrationshintergrund,weiblich,Nein,0.001986535702461097,40229,0.0015514219196693833,0.0024216494852528107
2012,direkter Migrationshintergrund,maennlich,Nein,0.0017658095132987528,40229,0.0013555349429910193,0.0021760840836064863
2012,indirekter Migrationshintergrund,maennlich,Nein,0.0008829047566493764,40229,0.0005926685588108532,0.0011731409544878996
2013,kein Migrationshintergrund,weiblich,Ja,0.41894690940804535,44486,0.414361989053792,0.4235318297622987
2013,kein Migrationshintergrund,maennlich,Ja,0.3190886296740434,44486,0.3147570595435562,0.3234201998045306
2013,direkter Migrationshintergrund,weiblich,Ja,0.09309931320178785,44486,0.09039910347982638,0.09579952292374933
2013,direkter Migrationshintergrund,maennlich,Ja,0.0707511174097896,44486,0.06836837514684323,0.07313385967273596
2013,kein Migrationshintergrund,weiblich,Nein,0.028562084378066063,44486,0.027014170241267198,0.030109998514864927
