year,age_gr,quintil_oecd,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,1st Quintile,Yes,0.91802,174,174,0.87715,0.95890
2012,17-29 y.,2nd Quintile,Yes,0.87761,79,79,0.80487,0.95034
2012,17-29 y.,3rd Quintile,Yes,0.88613,63,63,0.80706,0.96520
2012,17-29 y.,4th Quintile,Yes,0.88341,45,45,0.78858,0.97824
2012,30-45 y.,1st Quintile,Yes,0.94020,537,577,0.92084,0.95957
2012,30-45 y.,1st Quintile,No,0.05980,40,577,0.04043,0.07916
2012,30-45 y.,2nd Quintile,Yes,0.93154,382,382,0.90618,0.95690
2012,30-45 y.,3rd Quintile,Yes,0.89258,296,335,0.85937,0.92579
2012,30-45 y.,3rd Quintile,No,0.10742,39,335,0.07421,0.14063
2012,30-45 y.,4th Quintile,Yes,0.86944,221,221,0.82492,0.91396
2012,30-45 y.,5th Quintile,Yes,0.86599,190,190,0.81742,0.91456
2012,46-65 y.,1st Quintile,Yes,0.95194,663,703,0.93611,0.96776
2012,46-65 y.,1st Quintile,No,0.04806,40,703,0.03224,0.06389
2012,46-65 y.,2nd Quintile,Yes,0.95626,499,499,0.93830,0.97422
2012,46-65 y.,3rd Quintile,Yes,0.94479,547,581,0.92620,0.96337
2012,46-65 y.,3rd Quintile,No,0.05521,34,581,0.03663,0.07380
2012,46-65 y.,4th Quintile,Yes,0.92143,563,606,0.89999,0.94287
2012,46-65 y.,4th Quintile,No,0.07857,43,606,0.05713,0.10001
2012,46-65 y.,5th Quintile,Yes,0.94229,682,738,0.92546,0.95913
2012,46-65 y.,5th Quintile,No,0.05771,56,738,0.04087,0.07454
2012,66 and older,1st Quintile,Yes,0.95569,491,491,0.93747,0.97391
2012,66 and older,2nd Quintile,Yes,0.96168,681,681,0.94725,0.97611
2012,66 and older,3rd Quintile,Yes,0.95569,571,571,0.93880,0.97259
2012,66 and older,4th Quintile,Yes,0.95030,452,452,0.93025,0.97036
2012,66 and older,5th Quintile,Yes,0.92746,397,428,0.90286,0.95207
2012,66 and older,5th Quintile,No,0.07254,31,428,0.04793,0.09714
2013,17-29 y.,1st Quintile,Yes,0.87516,167,167,0.82488,0.92544
2013,17-29 y.,2nd Quintile,Yes,0.82861,85,85,0.74803,0.90920
2013,17-29 y.,3rd Quintile,Yes,0.93795,71,71,0.88143,0.99446
2013,17-29 y.,4th Quintile,Yes,0.93479,57,57,0.87012,0.99946
2013,17-29 y.,5th Quintile,Yes,0.83912,34,34,0.71376,0.96448
2013,30-45 y.,1st Quintile,Yes,0.95511,471,471,0.93639,0.97383
2013,30-45 y.,2nd Quintile,Yes,0.90941,369,404,0.88139,0.93744
2013,30-45 y.,2nd Quintile,No,0.09059,35,404,0.06256,0.11861
2013,30-45 y.,3rd Quintile,Yes,0.91399,281,312,0.88283,0.94515
2013,30-45 y.,3rd Quintile,No,0.08601,31,312,0.05485,0.11717
2013,30-45 y.,4th Quintile,Yes,0.86834,201,201,0.82148,0.91520
2013,30-45 y.,5th Quintile,Yes,0.88968,178,178,0.84353,0.93584
2013,46-65 y.,1st Quintile,Yes,0.96824,707,707,0.95530,0.98117
2013,46-65 y.,2nd Quintile,Yes,0.94527,566,599,0.92704,0.96350
2013,46-65 y.,2nd Quintile,No,0.05473,33,599,0.03650,0.07296
2013,46-65 y.,3rd Quintile,Yes,0.93171,573,614,0.91174,0.95168
2013,46-65 y.,3rd Quintile,No,0.06829,41,614,0.04832,0.08826
2013,46-65 y.,4th Quintile,Yes,0.95475,593,627,0.93846,0.97103
2013,46-65 y.,4th Quintile,No,0.04525,34,627,0.02897,0.06154
2013,46-65 y.,5th Quintile,Yes,0.93547,655,708,0.91736,0.95358
2013,46-65 y.,5th Quintile,No,0.06453,53,708,0.04642,0.08264
2013,66 and older,1st Quintile,Yes,0.96491,498,498,0.94874,0.98109
2013,66 and older,2nd Quintile,Yes,0.96493,706,706,0.95136,0.97851
2013,66 and older,3rd Quintile,Yes,0.95561,603,603,0.93916,0.97207
2013,66 and older,4th Quintile,Yes,0.96067,440,440,0.94249,0.97886
2013,66 and older,5th Quintile,Yes,0.95247,420,420,0.93209,0.97284
2015,17-29 y.,1st Quintile,Yes,0.78615,191,191,0.72784,0.84445
2015,17-29 y.,2nd Quintile,Yes,0.74555,111,111,0.66416,0.82695
2015,17-29 y.,3rd Quintile,Yes,0.73562,75,75,0.63514,0.83610
2015,17-29 y.,4th Quintile,Yes,0.74771,62,62,0.63871,0.85670
2015,17-29 y.,5th Quintile,Yes,0.65994,40,40,0.51126,0.80862
2015,30-45 y.,1st Quintile,Yes,0.90703,487,533,0.88235,0.93171
2015,30-45 y.,1st Quintile,No,0.09297,46,533,0.06829,0.11765
2015,30-45 y.,2nd Quintile,Yes,0.89350,300,337,0.86052,0.92649
2015,30-45 y.,2nd Quintile,No,0.10650,37,337,0.07351,0.13948
2015,30-45 y.,3rd Quintile,Yes,0.81062,256,297,0.76599,0.85526
