year,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Yes,0.94137,8468,9061,0.93653,0.94620
2012,No,0.05863,593,9061,0.05380,0.06347
2013,Yes,0.94429,8588,9175,0.93960,0.94898
2013,No,0.05571,587,9175,0.05102,0.06040
2015,Yes,0.90074,7854,8667,0.89444,0.90703
2015,No,0.09926,813,8667,0.09297,0.10556
2017,Yes,0.94930,8302,8825,0.94472,0.95388
2017,No,0.05070,523,8825,0.04612,0.05528
2019,Yes,0.94019,8625,9328,0.93537,0.94500
2019,No,0.05981,703,9328,0.05500,0.06463
2021,Yes,0.92616,5336,5850,0.91945,0.93286
2021,No,0.07384,514,5850,0.06714,0.08055
