year,migback,pgisced97,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,No migration background,No answer / don't know,Yes,0.94909,52,52,0.88876,1.00942
2012,No migration background,Pre-primary Level,Yes,0.74256,31,31,0.58610,0.89902
2012,No migration background,Primary Level,Yes,0.98678,96,96,0.96382,1.00975
2012,No migration background,Lower Secondary Level,Yes,0.93043,869,937,0.91413,0.94673
2012,No migration background,Lower Secondary Level,No,0.06957,68,937,0.05327,0.08587
2012,No migration background,Upper Secondary Level,Yes,0.94411,4040,4304,0.93724,0.95097
2012,No migration background,Upper Secondary Level,No,0.05589,264,4304,0.04903,0.06276
2012,No migration background,Post-secondary Non-tertiary Level,Yes,0.94410,355,355,0.92017,0.96803
2012,No migration background,First Stage of Tertiary Education,Yes,0.95534,532,532,0.93777,0.97291
2012,No migration background,Second Stage of Tertiary Education,Yes,0.94326,1387,1497,0.93154,0.95498
2012,No migration background,Second Stage of Tertiary Education,No,0.05674,110,1497,0.04502,0.06846
2012,Direct migration background,Primary Level,Yes,0.92148,57,57,0.85103,0.99193
2012,Direct migration background,Lower Secondary Level,Yes,0.96042,201,201,0.93339,0.98744
2012,Direct migration background,Upper Secondary Level,Yes,0.94638,332,332,0.92211,0.97065
2012,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.93439,96,96,0.88461,0.98418
2012,Direct migration background,First Stage of Tertiary Education,Yes,0.99669,40,40,0.97868,1.01471
2012,Direct migration background,Second Stage of Tertiary Education,Yes,0.86690,138,138,0.81002,0.92378
2012,Indirect migration background,Lower Secondary Level,Yes,0.96293,46,46,0.90772,1.01813
2012,Indirect migration background,Upper Secondary Level,Yes,0.89704,105,105,0.83863,0.95545
2013,No migration background,No answer / don't know,Yes,0.90279,52,52,0.82148,0.98409
2013,No migration background,Pre-primary Level,Yes,0.99577,41,41,0.97565,1.01589
2013,No migration background,Primary Level,Yes,0.94786,90,90,0.90167,0.99405
2013,No migration background,Lower Secondary Level,Yes,0.94509,794,840,0.92968,0.96051
2013,No migration background,Lower Secondary Level,No,0.05491,46,840,0.03949,0.07032
2013,No migration background,Upper Secondary Level,Yes,0.94205,3738,3963,0.93477,0.94933
2013,No migration background,Upper Secondary Level,No,0.05795,225,3963,0.05067,0.06523
2013,No migration background,Post-secondary Non-tertiary Level,Yes,0.94943,314,314,0.92515,0.97370
2013,No migration background,First Stage of Tertiary Education,Yes,0.95305,490,524,0.93492,0.97118
2013,No migration background,First Stage of Tertiary Education,No,0.04695,34,524,0.02882,0.06508
2013,No migration background,Second Stage of Tertiary Education,Yes,0.94751,1234,1330,0.93552,0.95950
2013,No migration background,Second Stage of Tertiary Education,No,0.05249,96,1330,0.04050,0.06448
2013,Direct migration background,No answer / don't know,Yes,0.90796,51,51,0.82783,0.98809
2013,Direct migration background,Primary Level,Yes,0.94833,133,133,0.91056,0.98609
2013,Direct migration background,Lower Secondary Level,Yes,0.96451,360,391,0.94614,0.98287
2013,Direct migration background,Lower Secondary Level,No,0.03549,31,391,0.01713,0.05386
2013,Direct migration background,Upper Secondary Level,Yes,0.92833,521,562,0.90698,0.94967
2013,Direct migration background,Upper Secondary Level,No,0.07167,41,562,0.05033,0.09302
2013,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.97874,200,200,0.95870,0.99878
2013,Direct migration background,First Stage of Tertiary Education,Yes,0.97559,38,38,0.92587,1.02531
2013,Direct migration background,Second Stage of Tertiary Education,Yes,0.92363,220,220,0.88846,0.95881
2013,Indirect migration background,Lower Secondary Level,Yes,0.96595,71,71,0.92347,1.00844
2013,Indirect migration background,Upper Secondary Level,Yes,0.95257,138,138,0.91697,0.98816
2013,Indirect migration background,Second Stage of Tertiary Education,Yes,0.80893,32,32,0.67053,0.94733
2015,No migration background,No answer / don't know,Yes,0.87119,68,68,0.79097,0.95140
2015,No migration background,Primary Level,Yes,0.97555,79,79,0.94127,1.00982
2015,No migration background,Lower Secondary Level,Yes,0.92429,677,722,0.90498,0.94360
2015,No migration background,Lower Secondary Level,No,0.07571,45,722,0.05640,0.09502
2015,No migration background,Upper Secondary Level,Yes,0.90124,3470,3827,0.89179,0.91069
2015,No migration background,Upper Secondary Level,No,0.09876,357,3827,0.08931,0.10821
2015,No migration background,Post-secondary Non-tertiary Level,Yes,0.90416,276,276,0.86936,0.93895
2015,No migration background,First Stage of Tertiary Education,Yes,0.90504,460,501,0.87935,0.93074
2015,No migration background,First Stage of Tertiary Education,No,0.09496,41,501,0.06926,0.12065
2015,No migration background,Second Stage of Tertiary Education,Yes,0.89844,1158,1307,0.88206,0.91482
2015,No migration background,Second Stage of Tertiary Education,No,0.10156,149,1307,0.08518,0.11794
2015,Direct migration background,No answer / don't know,Yes,0.95943,47,47,0.90242,1.01645
2015,Direct migration background,Primary Level,Yes,0.92155,103,103,0.86937,0.97373
2015,Direct migration background,Lower Secondary Level,Yes,0.92186,292,292,0.89103,0.95270
2015,Direct migration background,Upper Secondary Level,Yes,0.89094,489,533,0.86445,0.91743
2015,Direct migration background,Upper Secondary Level,No,0.10906,44,533,0.08257,0.13555
2015,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.85378,190,190,0.80341,0.90415
2015,Direct migration background,First Stage of Tertiary Education,Yes,0.72790,37,37,0.58252,0.87328
2015,Direct migration background,Second Stage of Tertiary Education,Yes,0.91387,223,223,0.87696,0.95078
2015,Indirect migration background,Lower Secondary Level,Yes,0.93096,56,56,0.86396,0.99796
2015,Indirect migration background,Upper Secondary Level,Yes,0.82606,114,114,0.75617,0.89595
2015,Indirect migration background,Second Stage of Tertiary Education,Yes,0.80393,31,31,0.66186,0.94600
2017,No migration background,No answer / don't know,Yes,0.91159,69,69,0.84411,0.97906
2017,No migration background,Pre-primary Level,Yes,0.89303,31,31,0.78242,1.00363
2017,No migration background,Primary Level,Yes,0.99251,80,80,0.97350,1.01152
2017,No migration background,Lower Secondary Level,Yes,0.96384,710,745,0.95042,0.97725
2017,No migration background,Lower Secondary Level,No,0.03616,35,745,0.02275,0.04958
2017,No migration background,Upper Secondary Level,Yes,0.96163,3528,3680,0.95543,0.96784
2017,No migration background,Upper Secondary Level,No,0.03837,152,3680,0.03216,0.04457
2017,No migration background,Post-secondary Non-tertiary Level,Yes,0.94131,327,327,0.91579,0.96682
2017,No migration background,First Stage of Tertiary Education,Yes,0.96141,484,484,0.94423,0.97859
2017,No migration background,Second Stage of Tertiary Education,Yes,0.92760,1234,1335,0.91369,0.94150
2017,No migration background,Second Stage of Tertiary Education,No,0.07240,101,1335,0.05850,0.08631
2017,Direct migration background,No answer / don't know,Yes,0.96372,52,52,0.91241,1.01504
2017,Direct migration background,Primary Level,Yes,0.94499,240,240,0.91608,0.97389
2017,Direct migration background,Lower Secondary Level,Yes,0.88799,283,283,0.85118,0.92480
2017,Direct migration background,Upper Secondary Level,Yes,0.94460,485,532,0.92514,0.96406
2017,Direct migration background,Upper Secondary Level,No,0.05540,47,532,0.03594,0.07486
2017,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.90718,189,189,0.86570,0.94866
2017,Direct migration background,First Stage of Tertiary Education,Yes,0.97005,33,33,0.91099,1.02911
2017,Direct migration background,Second Stage of Tertiary Education,Yes,0.90637,248,283,0.87237,0.94037
2017,Direct migration background,Second Stage of Tertiary Education,No,0.09363,35,283,0.05963,0.12763
2017,Indirect migration background,Lower Secondary Level,Yes,0.97840,59,59,0.94098,1.01581
2017,Indirect migration background,Upper Secondary Level,Yes,0.95919,134,134,0.92557,0.99282
2017,Indirect migration background,Second Stage of Tertiary Education,Yes,0.94309,35,35,0.86521,1.02096
2019,No migration background,No answer / don't know,Yes,0.98042,78,78,0.94947,1.01137
2019,No migration background,Primary Level,Yes,0.99519,74,74,0.97931,1.01106
2019,No migration background,Lower Secondary Level,Yes,0.96103,666,666,0.94632,0.97574
2019,No migration background,Upper Secondary Level,Yes,0.94771,3534,3763,0.94060,0.95482
2019,No migration background,Upper Secondary Level,No,0.05229,229,3763,0.04518,0.05940
2019,No migration background,Post-secondary Non-tertiary Level,Yes,0.90422,382,419,0.87601,0.93244
2019,No migration background,Post-secondary Non-tertiary Level,No,0.09578,37,419,0.06756,0.12399
2019,No migration background,First Stage of Tertiary Education,Yes,0.94247,479,479,0.92160,0.96335
2019,No migration background,Second Stage of Tertiary Education,Yes,0.92756,1415,1535,0.91458,0.94053
2019,No migration background,Second Stage of Tertiary Education,No,0.07244,120,1535,0.05947,0.08542
2019,Direct migration background,No answer / don't know,Yes,0.94629,68,68,0.89231,1.00027
2019,Direct migration background,Primary Level,Yes,0.88460,329,383,0.85255,0.91664
2019,Direct migration background,Primary Level,No,0.11540,54,383,0.08336,0.14745
2019,Direct migration background,Lower Secondary Level,Yes,0.94414,294,328,0.91925,0.96903
2019,Direct migration background,Lower Secondary Level,No,0.05586,34,328,0.03097,0.08075
2019,Direct migration background,Upper Secondary Level,Yes,0.93659,476,525,0.91572,0.95745
2019,Direct migration background,Upper Secondary Level,No,0.06341,49,525,0.04255,0.08428
2019,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.93387,173,173,0.89674,0.97101
2019,Direct migration background,Second Stage of Tertiary Education,Yes,0.92843,290,342,0.90107,0.95579
2019,Direct migration background,Second Stage of Tertiary Education,No,0.07157,52,342,0.04421,0.09893
2019,Indirect migration background,Lower Secondary Level,Yes,0.81736,44,44,0.70187,0.93285
2019,Indirect migration background,Upper Secondary Level,Yes,0.96940,128,128,0.93944,0.99935
2019,Indirect migration background,Second Stage of Tertiary Education,Yes,0.92995,52,52,0.85991,1.00000
2021,No migration background,No answer / don't know,Yes,0.96738,64,64,0.92351,1.01124
2021,No migration background,Lower Secondary Level,Yes,0.94845,382,382,0.92625,0.97066
2021,No migration background,Upper Secondary Level,Yes,0.93787,2064,2214,0.92782,0.94793
2021,No migration background,Upper Secondary Level,No,0.06213,150,2214,0.05207,0.07218
2021,No migration background,Post-secondary Non-tertiary Level,Yes,0.90228,260,292,0.86816,0.93639
2021,No migration background,Post-secondary Non-tertiary Level,No,0.09772,32,292,0.06361,0.13184
2021,No migration background,First Stage of Tertiary Education,Yes,0.88955,287,319,0.85510,0.92400
2021,No migration background,First Stage of Tertiary Education,No,0.11045,32,319,0.07600,0.14490
2021,No migration background,Second Stage of Tertiary Education,Yes,0.93374,959,1039,0.91861,0.94888
2021,No migration background,Second Stage of Tertiary Education,No,0.06626,80,1039,0.05112,0.08139
2021,Direct migration background,No answer / don't know,Yes,0.92003,86,86,0.86236,0.97769
2021,Direct migration background,Primary Level,Yes,0.92085,191,231,0.88596,0.95574
2021,Direct migration background,Primary Level,No,0.07915,40,231,0.04426,0.11404
2021,Direct migration background,Lower Secondary Level,Yes,0.91150,178,178,0.86966,0.95335
2021,Direct migration background,Upper Secondary Level,Yes,0.90773,297,338,0.87683,0.93863
2021,Direct migration background,Upper Secondary Level,No,0.09227,41,338,0.06137,0.12317
2021,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.96684,120,120,0.93468,0.99901
2021,Direct migration background,Second Stage of Tertiary Education,Yes,0.76357,185,220,0.70730,0.81985
2021,Direct migration background,Second Stage of Tertiary Education,No,0.23643,35,220,0.18015,0.29270
2021,Indirect migration background,Lower Secondary Level,Yes,0.97030,33,33,0.91148,1.02912
2021,Indirect migration background,Upper Secondary Level,Yes,0.85544,80,80,0.77789,0.93299
