,Unnamed: 0,year,age_gr,migback,ple0162,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2012,17-29 y.,No migration background,Yes,0.88465,343,8976,0.77653,0.98057
1,1,2012,17-29 y.,No migration background,No,0.11535,60,8976,0.08486,0.14621
2,2,2012,17-29 y.,Direct migration background,Yes,1.0,43,8976,0.73837,1.32839
3,3,2012,17-29 y.,Indirect migration background,Yes,1.0,62,8976,0.71854,1.27617
4,4,2012,30-45 y.,No migration background,Yes,0.92236,1415,8976,0.85369,0.98359
5,5,2012,30-45 y.,No migration background,No,0.07764,117,8976,0.05859,0.09939
6,6,2012,30-45 y.,Direct migration background,Yes,1.0,226,8976,0.84725,1.14696
7,7,2012,30-45 y.,Indirect migration background,Yes,1.0,109,8976,0.78188,1.24206
8,8,2012,46-65 y.,No migration background,Yes,0.94489,2921,8976,0.90786,0.98017
9,9,2012,46-65 y.,No migration background,No,0.05511,191,8976,0.04898,0.06286
10,10,2012,46-65 y.,Direct migration background,Yes,1.0,358,8976,0.90947,1.12182
11,11,2012,46-65 y.,Indirect migration background,Yes,1.0,55,8976,0.7692,1.2345
12,12,2012,66 and older,No migration background,Yes,0.95429,2703,8976,0.92635,0.97885
13,13,2012,66 and older,No migration background,No,0.04571,141,8976,0.03949,0.05269
14,14,2012,66 and older,Direct migration background,Yes,1.0,232,8976,0.89505,1.10431
15,15,2013,17-29 y.,No migration background,Yes,0.87581,335,9130,0.77177,0.99187
16,16,2013,17-29 y.,No migration background,No,0.12419,43,9130,0.09191,0.1599
17,17,2013,17-29 y.,Direct migration background,Yes,1.0,85,9130,0.62535,1.41876
18,18,2013,17-29 y.,Indirect migration background,Yes,1.0,103,9130,0.83603,1.16915
19,19,2013,30-45 y.,No migration background,Yes,0.91074,1225,9130,0.83532,0.97951
20,20,2013,30-45 y.,No migration background,No,0.08926,109,9130,0.06357,0.12638
21,21,2013,30-45 y.,Direct migration background,Yes,0.88042,480,9130,0.77585,0.98857
22,22,2013,30-45 y.,Direct migration background,No,0.11958,65,9130,0.08929,0.14917
23,23,2013,30-45 y.,Indirect migration background,Yes,1.0,147,9130,0.79723,1.23933
24,24,2013,46-65 y.,No migration background,Yes,0.94612,2752,9130,0.90713,0.98438
25,25,2013,46-65 y.,No migration background,No,0.05388,174,9130,0.0431,0.06234
26,26,2013,46-65 y.,Direct migration background,Yes,0.95786,686,9130,0.86336,1.0503
27,27,2013,46-65 y.,Direct migration background,No,0.04214,44,9130,0.02944,0.06053
28,28,2013,46-65 y.,Indirect migration background,Yes,1.0,62,9130,0.72779,1.32641
29,29,2013,66 and older,No migration background,Yes,0.9591,2458,9130,0.93227,0.98749
30,30,2013,66 and older,No migration background,No,0.0409,108,9130,0.03553,0.04606
31,31,2013,66 and older,Direct migration background,Yes,1.0,254,9130,0.89323,1.12293
32,32,2015,17-29 y.,No migration background,Yes,0.72714,334,8586,0.64934,0.80925
33,33,2015,17-29 y.,No migration background,No,0.27286,76,8586,0.20449,0.35286
34,34,2015,17-29 y.,Direct migration background,Yes,1.0,89,8586,0.77618,1.31256
35,35,2015,17-29 y.,Indirect migration background,Yes,1.0,85,8586,0.76497,1.22072
36,36,2015,30-45 y.,No migration background,Yes,0.85838,922,8586,0.7786,0.92947
37,37,2015,30-45 y.,No migration background,No,0.14162,142,8586,0.10831,0.17664
38,38,2015,30-45 y.,Direct migration background,Yes,0.88198,425,8586,0.76932,0.9914
39,39,2015,30-45 y.,Direct migration background,No,0.11802,41,8586,0.06134,0.19236
40,40,2015,30-45 y.,Indirect migration background,Yes,1.0,120,8586,0.7901,1.25204
41,41,2015,46-65 y.,No migration background,Yes,0.90539,2535,8586,0.87155,0.94112
42,42,2015,46-65 y.,No migration background,No,0.09461,262,8586,0.08291,0.10904
43,43,2015,46-65 y.,Direct migration background,Yes,0.90337,603,8586,0.81362,1.00055
44,44,2015,46-65 y.,Direct migration background,No,0.09663,49,8586,0.06424,0.13299
45,45,2015,46-65 y.,Indirect migration background,Yes,1.0,57,8586,0.72324,1.33145
46,46,2015,66 and older,No migration background,Yes,0.93711,2439,8586,0.90895,0.96825
47,47,2015,66 and older,No migration background,No,0.06289,162,8586,0.05417,0.07109
48,48,2015,66 and older,Direct migration background,Yes,1.0,245,8586,0.88746,1.12857
49,49,2017,17-29 y.,No migration background,Yes,0.89644,375,8780,0.80291,1.00839
50,50,2017,17-29 y.,No migration background,No,0.10356,36,8780,0.07128,0.14082
51,51,2017,17-29 y.,Direct migration background,Yes,0.88794,122,8780,0.54824,1.28131
52,52,2017,17-29 y.,Direct migration background,No,0.11206,35,8780,0.02077,0.25195
53,53,2017,17-29 y.,Indirect migration background,Yes,1.0,94,8780,0.80648,1.1899
54,54,2017,30-45 y.,No migration background,Yes,0.93943,863,8780,0.85262,1.01641
55,55,2017,30-45 y.,No migration background,No,0.06057,58,8780,0.04186,0.08333
56,56,2017,30-45 y.,Direct migration background,Yes,0.89424,464,8780,0.76798,1.0223
57,57,2017,30-45 y.,Direct migration background,No,0.10576,61,8780,0.06673,0.14916
58,58,2017,30-45 y.,Indirect migration background,Yes,1.0,134,8780,0.79969,1.23482
59,59,2017,46-65 y.,No migration background,Yes,0.95969,2872,8780,0.92398,0.99729
60,60,2017,46-65 y.,No migration background,No,0.04031,150,8780,0.03585,0.04771
61,61,2017,46-65 y.,Direct migration background,Yes,0.93555,668,8780,0.8553,1.04025
62,62,2017,46-65 y.,Direct migration background,No,0.06445,47,8780,0.03396,0.10074
63,63,2017,46-65 y.,Indirect migration background,Yes,1.0,81,8780,0.78723,1.28338
64,64,2017,66 and older,No migration background,Yes,0.96077,2366,8780,0.93042,0.99644
65,65,2017,66 and older,No migration background,No,0.03923,95,8780,0.03099,0.04654
66,66,2017,66 and older,Direct migration background,Yes,1.0,259,8780,0.89697,1.15846
67,67,2019,17-29 y.,No migration background,Yes,0.94167,432,9272,0.84822,1.05788
68,68,2019,17-29 y.,No migration background,No,0.05833,44,9272,0.04365,0.0761
69,69,2019,17-29 y.,Direct migration background,Yes,0.87922,96,9272,0.56728,1.28114
70,70,2019,17-29 y.,Direct migration background,No,0.12078,35,9272,0.06133,0.22336
71,71,2019,17-29 y.,Indirect migration background,Yes,1.0,96,9272,0.74554,1.30692
72,72,2019,30-45 y.,No migration background,Yes,0.90179,820,9272,0.81734,0.98875
73,73,2019,30-45 y.,No migration background,No,0.09821,86,9272,0.07546,0.12583
74,74,2019,30-45 y.,Direct migration background,Yes,0.91441,545,9272,0.74975,1.09324
75,75,2019,30-45 y.,Direct migration background,No,0.08559,104,9272,0.05423,0.12534
76,76,2019,30-45 y.,Indirect migration background,Yes,1.0,115,9272,0.75674,1.31509
77,77,2019,46-65 y.,No migration background,Yes,0.94419,2961,9272,0.90873,0.98214
78,78,2019,46-65 y.,No migration background,No,0.05581,187,9272,0.04663,0.06716
79,79,2019,46-65 y.,Direct migration background,Yes,0.93624,748,9272,0.82493,1.04854
80,80,2019,46-65 y.,Direct migration background,No,0.06376,69,9272,0.03989,0.09497
81,81,2019,46-65 y.,Indirect migration background,Yes,1.0,89,9272,0.76497,1.28591
82,82,2019,66 and older,No migration background,Yes,0.95564,2465,9272,0.92652,0.99036
83,83,2019,66 and older,No migration background,No,0.04436,130,9272,0.03666,0.05071
84,84,2019,66 and older,Direct migration background,Yes,1.0,250,9272,0.86595,1.1635
85,85,2021,17-29 y.,No migration background,Yes,0.89232,262,5784,0.76307,1.03182
86,86,2021,17-29 y.,No migration background,No,0.10768,34,5784,0.07801,0.13843
87,87,2021,17-29 y.,Direct migration background,Yes,1.0,91,5784,0.48548,1.76136
88,88,2021,17-29 y.,Indirect migration background,Yes,1.0,55,5784,0.64365,1.47395
89,89,2021,30-45 y.,No migration background,Yes,0.899,505,5784,0.79647,1.00608
90,90,2021,30-45 y.,No migration background,No,0.101,58,5784,0.07426,0.14291
91,91,2021,30-45 y.,Direct migration background,Yes,0.77624,328,5784,0.59003,0.93908
92,92,2021,30-45 y.,Direct migration background,No,0.22376,88,5784,0.12365,0.33373
93,93,2021,30-45 y.,Indirect migration background,Yes,1.0,69,5784,0.66568,1.46738
94,94,2021,46-65 y.,No migration background,Yes,0.92964,1726,5784,0.87961,0.97746
