year,migback,sampreg,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,No migration background,West,Yes,0.94019,5293,5677,0.93402,0.94636
2012,No migration background,West,No,0.05981,384,5677,0.05364,0.06598
2012,No migration background,East,Yes,0.95218,2069,2193,0.94325,0.96112
2012,No migration background,East,No,0.04782,124,2193,0.03888,0.05675
2012,Direct migration background,West,Yes,0.93568,818,877,0.91943,0.95192
2012,Direct migration background,West,No,0.06432,59,877,0.04808,0.08057
2012,Direct migration background,East,Yes,0.98351,68,68,0.95302,1.01400
2012,Indirect migration background,West,Yes,0.90466,206,206,0.86446,0.94486
2013,No migration background,West,Yes,0.94078,4873,5198,0.93436,0.94720
2013,No migration background,West,No,0.05922,325,5198,0.05280,0.06564
2013,No migration background,East,Yes,0.95655,1880,1988,0.94758,0.96551
2013,No migration background,East,No,0.04345,108,1988,0.03449,0.05242
2013,Direct migration background,West,Yes,0.94365,1413,1534,0.93210,0.95519
2013,Direct migration background,West,No,0.05635,121,1534,0.04481,0.06790
2013,Direct migration background,East,Yes,0.97456,115,115,0.94565,1.00346
2013,Indirect migration background,West,Yes,0.93593,294,294,0.90789,0.96397
2015,No migration background,West,Yes,0.90308,4445,4928,0.89482,0.91134
2015,No migration background,West,No,0.09692,483,4928,0.08866,0.10518
2015,No migration background,East,Yes,0.90550,1767,1925,0.89243,0.91857
2015,No migration background,East,No,0.09450,158,1925,0.08143,0.10757
2015,Direct migration background,West,Yes,0.89198,1280,1406,0.87575,0.90822
2015,Direct migration background,West,No,0.10802,126,1406,0.09178,0.12425
2015,Direct migration background,East,Yes,0.89559,106,106,0.83709,0.95408
2015,Indirect migration background,West,Yes,0.85361,239,276,0.81182,0.89539
2015,Indirect migration background,West,No,0.14639,37,276,0.10461,0.18818
2017,No migration background,West,Yes,0.95322,4675,4933,0.94733,0.95912
2017,No migration background,West,No,0.04678,258,4933,0.04088,0.05267
2017,No migration background,East,Yes,0.95900,1788,1869,0.95001,0.96799
2017,No migration background,East,No,0.04100,81,1869,0.03201,0.04999
2017,Direct migration background,West,Yes,0.92573,1391,1529,0.91258,0.93888
2017,Direct migration background,West,No,0.07427,138,1529,0.06112,0.08742
2017,Direct migration background,East,Yes,0.87936,143,143,0.82579,0.93294
2017,Indirect migration background,West,Yes,0.92813,290,290,0.89836,0.95791
2019,No migration background,West,Yes,0.94832,4743,5062,0.94222,0.95442
2019,No migration background,West,No,0.05168,319,5062,0.04558,0.05778
2019,No migration background,East,Yes,0.93055,1883,2010,0.91943,0.94166
2019,No migration background,East,No,0.06945,127,2010,0.05834,0.08057
2019,Direct migration background,West,Yes,0.92351,1496,1696,0.91086,0.93617
2019,Direct migration background,West,No,0.07649,200,1696,0.06383,0.08914
2019,Direct migration background,East,Yes,0.95807,167,167,0.92759,0.98856
2019,Indirect migration background,West,Yes,0.90897,280,280,0.87521,0.94272
2021,No migration background,West,Yes,0.93049,2948,3197,0.92168,0.93931
2021,No migration background,West,No,0.06951,249,3197,0.06069,0.07832
2021,No migration background,East,Yes,0.94724,1132,1202,0.93460,0.95988
2021,No migration background,East,No,0.05276,70,1202,0.04012,0.06540
2021,Direct migration background,West,Yes,0.89061,982,1135,0.87245,0.90878
2021,Direct migration background,West,No,0.10939,153,1135,0.09122,0.12755
2021,Direct migration background,East,Yes,0.71747,97,97,0.62741,0.80754
2021,Indirect migration background,West,Yes,0.91584,166,166,0.87348,0.95820
2022,Direct migration background,West,Yes,0.75266,246,319,0.70524,0.80009
2022,Direct migration background,West,No,0.24734,73,319,0.19991,0.29476
2022,Direct migration background,East,Yes,0.82937,38,38,0.70816,0.95059
