year,quintil_oecd,regtyp,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,1st Quintile,Urban regions,Yes,0.94972,1130,1207,0.93738,0.96205
2012,1st Quintile,Urban regions,No,0.05028,77,1207,0.03795,0.06262
2012,1st Quintile,Rural regions,Yes,0.94745,735,789,0.93187,0.96303
2012,1st Quintile,Rural regions,No,0.05255,54,789,0.03697,0.06813
2012,2nd Quintile,Urban regions,Yes,0.95013,955,1006,0.93667,0.96359
2012,2nd Quintile,Urban regions,No,0.04987,51,1006,0.03641,0.06333
2012,2nd Quintile,Rural regions,Yes,0.95526,686,727,0.94022,0.97029
2012,2nd Quintile,Rural regions,No,0.04474,41,727,0.02971,0.05978
2012,3rd Quintile,Urban regions,Yes,0.95178,878,939,0.93807,0.96549
2012,3rd Quintile,Urban regions,No,0.04822,61,939,0.03451,0.06193
2012,3rd Quintile,Rural regions,Yes,0.91966,599,649,0.89873,0.94059
2012,3rd Quintile,Rural regions,No,0.08034,50,649,0.05941,0.10127
2012,4th Quintile,Urban regions,Yes,0.92078,778,846,0.90257,0.93899
2012,4th Quintile,Urban regions,No,0.07922,68,846,0.06101,0.09743
2012,4th Quintile,Rural regions,Yes,0.93082,503,536,0.90932,0.95232
2012,4th Quintile,Rural regions,No,0.06918,33,536,0.04768,0.09068
2012,5th Quintile,Urban regions,Yes,0.91986,939,1022,0.90321,0.93652
2012,5th Quintile,Urban regions,No,0.08014,83,1022,0.06348,0.09679
2012,5th Quintile,Rural regions,Yes,0.93800,357,393,0.91412,0.96187
2012,5th Quintile,Rural regions,No,0.06200,36,393,0.03813,0.08588
2013,1st Quintile,Urban regions,Yes,0.95803,1084,1141,0.94639,0.96967
2013,1st Quintile,Urban regions,No,0.04197,57,1141,0.03033,0.05361
2013,1st Quintile,Rural regions,Yes,0.95872,759,803,0.94495,0.97249
2013,1st Quintile,Rural regions,No,0.04128,44,803,0.02751,0.05505
2013,2nd Quintile,Urban regions,Yes,0.94944,976,1036,0.93609,0.96278
2013,2nd Quintile,Urban regions,No,0.05056,60,1036,0.03722,0.06391
2013,2nd Quintile,Rural regions,Yes,0.94341,750,799,0.92738,0.95944
2013,2nd Quintile,Rural regions,No,0.05659,49,799,0.04056,0.07262
2013,3rd Quintile,Urban regions,Yes,0.93755,885,950,0.92216,0.95295
2013,3rd Quintile,Urban regions,No,0.06245,65,950,0.04705,0.07784
2013,3rd Quintile,Rural regions,Yes,0.94787,643,685,0.93121,0.96453
2013,3rd Quintile,Rural regions,No,0.05213,42,685,0.03547,0.06879
2013,4th Quintile,Urban regions,Yes,0.94872,795,845,0.93384,0.96360
2013,4th Quintile,Urban regions,No,0.05128,50,845,0.03640,0.06616
2013,4th Quintile,Rural regions,Yes,0.94138,496,496,0.92068,0.96207
2013,5th Quintile,Urban regions,Yes,0.93136,964,1040,0.91598,0.94673
2013,5th Quintile,Urban regions,No,0.06864,76,1040,0.05327,0.08402
2013,5th Quintile,Rural regions,Yes,0.93624,323,323,0.90955,0.96293
2015,1st Quintile,Urban regions,Yes,0.94014,1180,1263,0.92705,0.95322
2015,1st Quintile,Urban regions,No,0.05986,83,1263,0.04678,0.07295
2015,1st Quintile,Rural regions,Yes,0.90265,741,802,0.88212,0.92318
2015,1st Quintile,Rural regions,No,0.09735,61,802,0.07682,0.11788
2015,2nd Quintile,Urban regions,Yes,0.93572,1048,1128,0.92140,0.95004
2015,2nd Quintile,Urban regions,No,0.06428,80,1128,0.04996,0.07860
2015,2nd Quintile,Rural regions,Yes,0.91978,787,851,0.90152,0.93804
2015,2nd Quintile,Rural regions,No,0.08022,64,851,0.06196,0.09848
2015,3rd Quintile,Urban regions,Yes,0.89266,890,986,0.87333,0.91199
2015,3rd Quintile,Urban regions,No,0.10734,96,986,0.08801,0.12667
2015,3rd Quintile,Rural regions,Yes,0.86646,545,612,0.83949,0.89343
2015,3rd Quintile,Rural regions,No,0.13354,67,612,0.10657,0.16051
2015,4th Quintile,Urban regions,Yes,0.91165,846,925,0.89335,0.92995
2015,4th Quintile,Urban regions,No,0.08835,79,925,0.07005,0.10665
2015,4th Quintile,Rural regions,Yes,0.84235,435,499,0.81035,0.87436
2015,4th Quintile,Rural regions,No,0.15765,64,499,0.12564,0.18965
2015,5th Quintile,Urban regions,Yes,0.84944,878,1014,0.82742,0.87147
2015,5th Quintile,Urban regions,No,0.15056,136,1014,0.12853,0.17258
2015,5th Quintile,Rural regions,Yes,0.87911,331,389,0.84667,0.91154
2015,5th Quintile,Rural regions,No,0.12089,58,389,0.08846,0.15333
2017,1st Quintile,Urban regions,Yes,0.96039,1057,1114,0.94894,0.97185
2017,1st Quintile,Urban regions,No,0.03961,57,1114,0.02815,0.05106
