year,regtyp,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Urban regions,Yes,0.94177,5193,5555,0.93561,0.94793
2012,Urban regions,No,0.05823,362,5555,0.05207,0.06439
2012,Rural regions,Yes,0.94062,3275,3506,0.93280,0.94844
2012,Rural regions,No,0.05938,231,3506,0.05156,0.06720
2013,Urban regions,Yes,0.94368,5419,5801,0.93775,0.94962
2013,Urban regions,No,0.05632,382,5801,0.05038,0.06225
2013,Rural regions,Yes,0.94542,3169,3374,0.93776,0.95309
2013,Rural regions,No,0.05458,205,3374,0.04691,0.06224
2015,Urban regions,Yes,0.90824,4969,5464,0.90058,0.91589
2015,Urban regions,No,0.09176,495,5464,0.08411,0.09942
2015,Rural regions,Yes,0.88636,2885,3203,0.87537,0.89735
2015,Rural regions,No,0.11364,318,3203,0.10265,0.12463
2017,Urban regions,Yes,0.94310,5121,5466,0.93695,0.94924
2017,Urban regions,No,0.05690,345,5466,0.05076,0.06305
2017,Rural regions,Yes,0.96148,3181,3359,0.95497,0.96799
2017,Rural regions,No,0.03852,178,3359,0.03201,0.04503
2019,No answer / don't know,Yes,0.94791,225,225,0.91881,0.97701
2019,Urban regions,Yes,0.93797,5271,5732,0.93172,0.94421
2019,Urban regions,No,0.06203,461,5732,0.05579,0.06828
2019,Rural regions,Yes,0.94403,3129,3359,0.93625,0.95180
2019,Rural regions,No,0.05597,230,3359,0.04820,0.06375
2021,Urban regions,Yes,0.92639,3383,3735,0.91801,0.93477
2021,Urban regions,No,0.07361,352,3735,0.06523,0.08199
2021,Rural regions,Yes,0.92558,1952,2114,0.91439,0.93677
2021,Rural regions,No,0.07442,162,2114,0.06323,0.08561
