year,bula_h,pgisced97,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Schleswig-Holstein,Lower Secondary Level,Yes,0.83199,39,39,0.71311,0.95086
2012,Schleswig-Holstein,Upper Secondary Level,Yes,0.95485,168,168,0.92336,0.98634
2012,Schleswig-Holstein,Second Stage of Tertiary Education,Yes,0.86164,44,44,0.75844,0.96484
2012,Hamburg,Upper Secondary Level,Yes,0.86193,53,53,0.76816,0.95569
2012,Lower Saxony,Lower Secondary Level,Yes,0.88332,131,131,0.82814,0.93851
2012,Lower Saxony,Upper Secondary Level,Yes,0.93539,461,496,0.91373,0.95705
2012,Lower Saxony,Upper Secondary Level,No,0.06461,35,496,0.04295,0.08627
2012,Lower Saxony,Post-secondary Non-tertiary Level,Yes,0.84935,40,40,0.73708,0.96161
2012,Lower Saxony,First Stage of Tertiary Education,Yes,0.92056,46,46,0.84155,0.99957
2012,Lower Saxony,Second Stage of Tertiary Education,Yes,0.94076,133,133,0.90049,0.98104
2012,North Rhine-Westphalia,Primary Level,Yes,0.89426,39,39,0.79649,0.99203
2012,North Rhine-Westphalia,Lower Secondary Level,Yes,0.95451,245,245,0.92836,0.98066
2012,North Rhine-Westphalia,Upper Secondary Level,Yes,0.95974,793,840,0.94643,0.97304
2012,North Rhine-Westphalia,Upper Secondary Level,No,0.04026,47,840,0.02696,0.05357
2012,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Yes,0.90969,128,128,0.85984,0.95954
2012,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.97387,95,95,0.94161,1.00612
2012,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.89275,258,258,0.85491,0.93058
2012,Hesse,Lower Secondary Level,Yes,0.99020,93,93,0.97007,1.01033
2012,Hesse,Upper Secondary Level,Yes,0.96936,291,291,0.94953,0.98920
2012,Hesse,Post-secondary Non-tertiary Level,Yes,0.97932,36,36,0.93218,1.02647
2012,Hesse,Second Stage of Tertiary Education,Yes,0.93438,114,114,0.88873,0.98004
2012,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.83898,79,79,0.75742,0.92055
