,Unnamed: 0,year,migback,sampreg,pli0079,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,No migration background,West,Daily,0.01612,103,9389,0.01485,0.01753
1,1,1990,No migration background,West,At least once per week,0.25535,1707,9389,0.25025,0.26183
2,2,1990,No migration background,West,At least once per month,0.28324,1961,9389,0.27755,0.28831
3,3,1990,No migration background,West,Seldom,0.35043,2321,9389,0.3451,0.35684
4,4,1990,No migration background,West,Never,0.09486,531,9389,0.0916,0.09854
5,5,1990,Direct migration background,West,Daily,0.02615,78,9389,0.02041,0.03089
6,6,1990,Direct migration background,West,At least once per week,0.17731,442,9389,0.15609,0.19557
7,7,1990,Direct migration background,West,At least once per month,0.22469,570,9389,0.20673,0.24101
8,8,1990,Direct migration background,West,Seldom,0.37417,850,9389,0.35145,0.40374
9,9,1990,Direct migration background,West,Never,0.19769,581,9389,0.18184,0.21813
10,10,1990,Indirect migration background,West,At least once per week,0.40736,111,9389,0.32953,0.48991
11,11,1990,Indirect migration background,West,At least once per month,0.25754,69,9389,0.17671,0.35208
12,12,1990,Indirect migration background,West,Seldom,0.3351,65,9389,0.26701,0.42647
13,13,1995,No migration background,West,Daily,0.02298,134,13139,0.02109,0.02517
14,14,1995,No migration background,West,At least once per week,0.25122,1647,13139,0.24342,0.25905
15,15,1995,No migration background,West,At least once per month,0.29544,1993,13139,0.28674,0.30328
16,16,1995,No migration background,West,Seldom,0.33489,2154,13139,0.32714,0.34235
17,17,1995,No migration background,West,Never,0.09548,515,13139,0.09089,0.10024
18,18,1995,No migration background,East,Daily,0.01142,44,13139,0.00991,0.01359
19,19,1995,No migration background,East,At least once per week,0.11357,417,13139,0.10627,0.12202
20,20,1995,No migration background,East,At least once per month,0.2401,887,13139,0.23034,0.25232
21,21,1995,No migration background,East,Seldom,0.42641,1581,13139,0.41525,0.43754
22,22,1995,No migration background,East,Never,0.20849,590,13139,0.19981,0.21869
23,23,1995,Direct migration background,West,Daily,0.02081,58,13139,0.01385,0.02741
24,24,1995,Direct migration background,West,At least once per week,0.1841,433,13139,0.1652,0.20651
25,25,1995,Direct migration background,West,At least once per month,0.22221,592,13139,0.19879,0.24421
26,26,1995,Direct migration background,West,Seldom,0.33544,912,13139,0.31603,0.35818
27,27,1995,Direct migration background,West,Never,0.23744,633,13139,0.22273,0.25454
28,28,1995,Direct migration background,East,Seldom,0.59948,69,13139,0.53572,0.6703
29,29,1995,Direct migration background,East,Never,0.40052,43,13139,0.3418,0.45893
30,30,1995,Indirect migration background,West,At least once per week,0.40782,188,13139,0.35465,0.47378
31,31,1995,Indirect migration background,West,At least once per month,0.356,143,13139,0.28433,0.43302
32,32,1995,Indirect migration background,West,Seldom,0.23618,106,13139,0.19871,0.28145
33,33,1998,No migration background,West,Daily,0.01664,124,14098,0.01497,0.01815
34,34,1998,No migration background,West,At least once per week,0.25075,1885,14098,0.24405,0.25793
35,35,1998,No migration background,West,At least once per month,0.31257,2447,14098,0.3031,0.32075
36,36,1998,No migration background,West,Seldom,0.3301,2467,14098,0.32283,0.33763
37,37,1998,No migration background,West,Never,0.08994,571,14098,0.08633,0.09424
38,38,1998,No migration background,East,Daily,0.00843,33,14098,0.0069,0.01029
39,39,1998,No migration background,East,At least once per week,0.12359,466,14098,0.11714,0.1312
40,40,1998,No migration background,East,At least once per month,0.23878,922,14098,0.22694,0.24831
41,41,1998,No migration background,East,Seldom,0.47958,1839,14098,0.46767,0.4908
42,42,1998,No migration background,East,Never,0.14963,456,14098,0.1422,0.15654
43,43,1998,Direct migration background,West,Daily,0.02502,52,14098,0.01913,0.03246
44,44,1998,Direct migration background,West,At least once per week,0.16869,382,14098,0.15112,0.18597
45,45,1998,Direct migration background,West,At least once per month,0.25523,534,14098,0.23554,0.27406
46,46,1998,Direct migration background,West,Seldom,0.37093,864,14098,0.35182,0.39023
47,47,1998,Direct migration background,West,Never,0.18014,442,14098,0.16747,0.19387
48,48,1998,Direct migration background,East,Seldom,0.49865,53,14098,0.43951,0.57516
49,49,1998,Direct migration background,East,Never,0.50135,40,14098,0.42044,0.59982
50,50,1998,Indirect migration background,West,At least once per week,0.45309,240,14098,0.39703,0.50833
