year,bula_h,migback,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,No migration background,At least once per week,0.16504,39,220,0.11588,0.21421
1990,Schleswig-Holstein,No migration background,At least once per month,0.24767,66,220,0.19049,0.30484
1990,Schleswig-Holstein,No migration background,Seldom,0.47039,115,220,0.40428,0.53650
1990,Hamburg,No migration background,At least once per week,0.29023,33,110,0.20503,0.37544
1990,Hamburg,No migration background,At least once per month,0.27846,38,110,0.19431,0.36261
1990,Hamburg,No migration background,Seldom,0.31769,39,110,0.23029,0.40510
1990,Lower Saxony,No migration background,At least once per week,0.18998,160,787,0.16256,0.21741
1990,Lower Saxony,No migration background,At least once per month,0.29131,243,787,0.25955,0.32308
1990,Lower Saxony,No migration background,Seldom,0.38717,310,787,0.35312,0.42123
1990,Lower Saxony,No migration background,Never,0.11282,74,787,0.09070,0.13494
1990,Lower Saxony,Direct migration background,Seldom,0.39533,63,99,0.29853,0.49213
1990,Lower Saxony,Direct migration background,Never,0.22950,36,99,0.14624,0.31275
1990,Bremen,No migration background,At least once per month,0.33416,33,68,0.22121,0.44711
1990,Bremen,No migration background,Seldom,0.41292,35,68,0.29503,0.53082
1990,North Rhine-Westphalia,No migration background,At least once per week,0.25992,467,1783,0.23956,0.28029
1990,North Rhine-Westphalia,No migration background,At least once per month,0.30099,568,1783,0.27969,0.32228
1990,North Rhine-Westphalia,No migration background,Seldom,0.34131,617,1783,0.31929,0.36332
1990,North Rhine-Westphalia,No migration background,Never,0.08671,131,1783,0.07364,0.09977
1990,North Rhine-Westphalia,Direct migration background,At least once per week,0.16870,120,649,0.13986,0.19753
1990,North Rhine-Westphalia,Direct migration background,At least once per month,0.20787,142,649,0.17663,0.23911
1990,North Rhine-Westphalia,Direct migration background,Seldom,0.37755,221,649,0.34022,0.41487
1990,North Rhine-Westphalia,Direct migration background,Never,0.22235,166,649,0.19033,0.25437
1990,Hesse,No migration background,At least once per week,0.26567,161,595,0.23015,0.30119
1990,Hesse,No migration background,At least once per month,0.25552,162,595,0.22045,0.29060
1990,Hesse,No migration background,Seldom,0.36803,223,595,0.32925,0.40682
1990,Hesse,No migration background,Never,0.09748,49,595,0.07363,0.12134
1990,Hesse,Direct migration background,At least once per week,0.17342,51,336,0.13287,0.21396
1990,Hesse,Direct migration background,At least once per month,0.14614,58,336,0.10831,0.18397
1990,Hesse,Direct migration background,Seldom,0.38988,120,336,0.33765,0.44210
1990,Hesse,Direct migration background,Never,0.26519,107,336,0.21791,0.31246
1990,"Rhineland-Palatinate, Saarland",No migration background,At least once per week,0.24342,131,532,0.20692,0.27993
1990,"Rhineland-Palatinate, Saarland",No migration background,At least once per month,0.28098,155,532,0.24275,0.31921
1990,"Rhineland-Palatinate, Saarland",No migration background,Seldom,0.35711,194,532,0.31636,0.39787
1990,"Rhineland-Palatinate, Saarland",No migration background,Never,0.10650,52,532,0.08027,0.13274
1990,"Rhineland-Palatinate, Saarland",Direct migration background,Seldom,0.39668,43,43,0.24872,0.54463
1990,Baden-Wuerttemberg,No migration background,At least once per week,0.25096,265,1015,0.22427,0.27764
1990,Baden-Wuerttemberg,No migration background,At least once per month,0.27270,282,1015,0.24528,0.30011
1990,Baden-Wuerttemberg,No migration background,Seldom,0.35618,372,1015,0.32671,0.38566
1990,Baden-Wuerttemberg,No migration background,Never,0.10422,96,1015,0.08541,0.12303
1990,Baden-Wuerttemberg,Direct migration background,At least once per week,0.17383,125,662,0.14494,0.20272
1990,Baden-Wuerttemberg,Direct migration background,At least once per month,0.23430,164,662,0.20201,0.26659
1990,Baden-Wuerttemberg,Direct migration background,Seldom,0.38052,225,662,0.34351,0.41754
1990,Baden-Wuerttemberg,Direct migration background,Never,0.18251,148,662,0.15306,0.21196
1990,Baden-Wuerttemberg,Indirect migration background,At least once per week,0.41815,35,35,0.25235,0.58395
1990,Bavaria,No migration background,At least once per week,0.30708,371,1157,0.28049,0.33367
1990,Bavaria,No migration background,At least once per month,0.27886,344,1157,0.25301,0.30471
1990,Bavaria,No migration background,Seldom,0.30997,364,1157,0.28331,0.33663
1990,Bavaria,No migration background,Never,0.07734,78,1157,0.06194,0.09273
1990,Bavaria,Direct migration background,At least once per week,0.21255,74,345,0.16931,0.25578
1990,Bavaria,Direct migration background,At least once per month,0.29612,98,345,0.24787,0.34436
1990,Bavaria,Direct migration background,Seldom,0.34541,120,345,0.29516,0.39566
1990,Bavaria,Direct migration background,Never,0.12757,53,345,0.09231,0.16282
1990,Berlin,No migration background,At least once per week,0.33205,70,192,0.26526,0.39884
1990,Berlin,No migration background,At least once per month,0.29019,70,192,0.22582,0.35455
1990,Berlin,No migration background,Seldom,0.25510,52,192,0.19328,0.31693
1995,Schleswig-Holstein,No migration background,At least once per week,0.17297,41,207,0.12132,0.22462
1995,Schleswig-Holstein,No migration background,At least once per month,0.27835,66,207,0.21715,0.33955
1995,Schleswig-Holstein,No migration background,Seldom,0.41424,100,207,0.34697,0.48150
1995,Hamburg,No migration background,At least once per month,0.32747,35,35,0.16973,0.48522
1995,Lower Saxony,No migration background,At least once per week,0.16676,146,793,0.14080,0.19272
1995,Lower Saxony,No migration background,At least once per month,0.33410,284,793,0.30125,0.36695
1995,Lower Saxony,No migration background,Seldom,0.37747,292,793,0.34371,0.41123
1995,Lower Saxony,No migration background,Never,0.11174,71,793,0.08980,0.13368
1995,Lower Saxony,Direct migration background,At least once per month,0.20963,40,182,0.15033,0.26893
1995,Lower Saxony,Direct migration background,Seldom,0.31768,71,182,0.24985,0.38550
1995,Lower Saxony,Direct migration background,Never,0.31824,71,182,0.25038,0.38610
1995,Bremen,No migration background,At least once per month,0.39327,32,32,0.22132,0.56523
1995,North Rhine-Westphalia,No migration background,Daily,0.02733,38,1735,0.01965,0.03500
1995,North Rhine-Westphalia,No migration background,At least once per week,0.26815,449,1735,0.24730,0.28900
1995,North Rhine-Westphalia,No migration background,At least once per month,0.29852,550,1735,0.27698,0.32006
1995,North Rhine-Westphalia,No migration background,Seldom,0.32614,587,1735,0.30407,0.34820
1995,North Rhine-Westphalia,No migration background,Never,0.07986,111,1735,0.06710,0.09262
1995,North Rhine-Westphalia,Direct migration background,At least once per week,0.18420,123,664,0.15469,0.21370
1995,North Rhine-Westphalia,Direct migration background,At least once per month,0.21788,147,664,0.18645,0.24930
1995,North Rhine-Westphalia,Direct migration background,Seldom,0.31931,205,664,0.28382,0.35479
1995,North Rhine-Westphalia,Direct migration background,Never,0.25099,189,664,0.21799,0.28400
1995,North Rhine-Westphalia,Indirect migration background,At least once per week,0.35696,57,98,0.26161,0.45230
1995,North Rhine-Westphalia,Indirect migration background,At least once per month,0.31016,41,98,0.21810,0.40221
1995,Hesse,No migration background,At least once per week,0.26584,157,564,0.22935,0.30234
1995,Hesse,No migration background,At least once per month,0.24440,161,564,0.20890,0.27989
1995,Hesse,No migration background,Seldom,0.35222,189,564,0.31277,0.39168
1995,Hesse,No migration background,Never,0.12321,57,564,0.09606,0.15036
1995,Hesse,Direct migration background,At least once per week,0.11489,33,306,0.07910,0.15068
1995,Hesse,Direct migration background,At least once per month,0.18754,59,306,0.14373,0.23134
1995,Hesse,Direct migration background,Seldom,0.40218,133,306,0.34715,0.45721
1995,Hesse,Direct migration background,Never,0.25325,81,306,0.20444,0.30206
1995,"Rhineland-Palatinate, Saarland",No migration background,At least once per week,0.23719,114,506,0.20009,0.27429
1995,"Rhineland-Palatinate, Saarland",No migration background,At least once per month,0.25751,133,506,0.21938,0.29565
1995,"Rhineland-Palatinate, Saarland",No migration background,Seldom,0.35974,203,506,0.31788,0.40160
1995,"Rhineland-Palatinate, Saarland",No migration background,Never,0.12667,56,506,0.09766,0.15568
1995,"Rhineland-Palatinate, Saarland",Direct migration background,Seldom,0.30844,61,126,0.22748,0.38941
1995,"Rhineland-Palatinate, Saarland",Direct migration background,Never,0.37195,65,126,0.28722,0.45668
1995,Baden-Wuerttemberg,No migration background,At least once per week,0.24935,256,967,0.22207,0.27663
1995,Baden-Wuerttemberg,No migration background,At least once per month,0.29896,293,967,0.27009,0.32783
1995,Baden-Wuerttemberg,No migration background,Seldom,0.36207,356,967,0.33176,0.39238
1995,Baden-Wuerttemberg,No migration background,Never,0.07131,62,967,0.05509,0.08754
1995,Baden-Wuerttemberg,Direct migration background,At least once per week,0.18894,113,668,0.15923,0.21864
1995,Baden-Wuerttemberg,Direct migration background,At least once per month,0.23623,169,668,0.20399,0.26847
1995,Baden-Wuerttemberg,Direct migration background,Seldom,0.35512,245,668,0.31880,0.39144
1995,Baden-Wuerttemberg,Direct migration background,Never,0.21450,141,668,0.18335,0.24565
1995,Baden-Wuerttemberg,Indirect migration background,At least once per week,0.27753,50,121,0.19741,0.35765
1995,Baden-Wuerttemberg,Indirect migration background,At least once per month,0.49306,39,121,0.40360,0.58251
1995,Baden-Wuerttemberg,Indirect migration background,Seldom,0.20219,32,121,0.13033,0.27405
1995,Bavaria,No migration background,Daily,0.03098,37,1211,0.02122,0.04074
1995,Bavaria,No migration background,At least once per week,0.31817,398,1211,0.29193,0.34441
1995,Bavaria,No migration background,At least once per month,0.28298,354,1211,0.25760,0.30836
1995,Bavaria,No migration background,Seldom,0.27502,327,1211,0.24986,0.30018
1995,Bavaria,No migration background,Never,0.09285,95,1211,0.07650,0.10920
1995,Bavaria,Direct migration background,At least once per week,0.25261,90,383,0.20903,0.29618
1995,Bavaria,Direct migration background,At least once per month,0.27345,110,383,0.22875,0.31814
1995,Bavaria,Direct migration background,Seldom,0.28316,131,383,0.23798,0.32834
1995,Bavaria,Direct migration background,Never,0.16155,52,383,0.12464,0.19846
1995,Bavaria,Indirect migration background,At least once per week,0.56550,34,34,0.39637,0.73462
1995,Berlin,No migration background,At least once per week,0.21054,90,440,0.17240,0.24868
1995,Berlin,No migration background,At least once per month,0.35814,166,440,0.31329,0.40299
1995,Berlin,No migration background,Seldom,0.27791,137,440,0.23600,0.31981
1995,Berlin,No migration background,Never,0.13008,47,440,0.09861,0.16155
1995,Berlin,Direct migration background,Seldom,0.43452,40,40,0.27894,0.59009
1995,Brandenburg,No migration background,At least once per week,0.12119,63,557,0.09407,0.14832
1995,Brandenburg,No migration background,At least once per month,0.19841,125,557,0.16526,0.23156
1995,Brandenburg,No migration background,Seldom,0.45432,271,557,0.41293,0.49571
1995,Brandenburg,No migration background,Never,0.21723,98,557,0.18296,0.25151
1995,Mecklenburg-Western Pomerania,No migration background,At least once per week,0.09965,41,396,0.07011,0.12919
1995,Mecklenburg-Western Pomerania,No migration background,At least once per month,0.29208,118,396,0.24724,0.33692
1995,Mecklenburg-Western Pomerania,No migration background,Seldom,0.45000,186,396,0.40094,0.49906
1995,Mecklenburg-Western Pomerania,No migration background,Never,0.14245,51,396,0.10798,0.17692
1995,Saxony,No migration background,At least once per week,0.11445,126,1039,0.09509,0.13382
1995,Saxony,No migration background,At least once per month,0.22416,254,1039,0.19879,0.24953
1995,Saxony,No migration background,Seldom,0.43074,466,1039,0.40061,0.46086
1995,Saxony,No migration background,Never,0.22304,193,1039,0.19772,0.24837
1995,Saxony-Anhalt,No migration background,At least once per week,0.09151,80,637,0.06910,0.11392
1995,Saxony-Anhalt,No migration background,At least once per month,0.23796,164,637,0.20486,0.27105
1995,Saxony-Anhalt,No migration background,Seldom,0.40638,271,637,0.36820,0.44455
1995,Saxony-Anhalt,No migration background,Never,0.24353,122,637,0.21017,0.27689
1995,Thuringa,No migration background,At least once per week,0.12133,74,615,0.09550,0.14715
1995,Thuringa,No migration background,At least once per month,0.23787,146,615,0.20419,0.27155
1995,Thuringa,No migration background,Seldom,0.41943,294,615,0.38039,0.45846
1995,Thuringa,No migration background,Never,0.21195,101,615,0.17963,0.24428
1998,Schleswig-Holstein,No migration background,At least once per week,0.13105,40,281,0.09153,0.17058
1998,Schleswig-Holstein,No migration background,At least once per month,0.31796,102,281,0.26341,0.37250
1998,Schleswig-Holstein,No migration background,Seldom,0.45039,139,281,0.39211,0.50867
1998,Hamburg,No migration background,At least once per month,0.32133,49,84,0.22086,0.42180
1998,Hamburg,No migration background,Seldom,0.29378,35,84,0.19579,0.39178
1998,Lower Saxony,No migration background,At least once per week,0.19957,182,950,0.17414,0.22500
1998,Lower Saxony,No migration background,At least once per month,0.31277,348,950,0.28327,0.34227
1998,Lower Saxony,No migration background,Seldom,0.38847,357,950,0.35746,0.41948
1998,Lower Saxony,No migration background,Never,0.08342,63,950,0.06583,0.10102
1998,Lower Saxony,Direct migration background,At least once per month,0.20555,35,160,0.14274,0.26837
1998,Lower Saxony,Direct migration background,Seldom,0.42348,81,160,0.34668,0.50028
1998,Lower Saxony,Direct migration background,Never,0.23764,44,160,0.17148,0.30380
1998,Bremen,No migration background,At least once per month,0.34073,32,32,0.17389,0.50758
1998,North Rhine-Westphalia,No migration background,At least once per week,0.25643,524,2025,0.23740,0.27545
1998,North Rhine-Westphalia,No migration background,At least once per month,0.33594,705,2025,0.31536,0.35652
1998,North Rhine-Westphalia,No migration background,Seldom,0.30829,647,2025,0.28817,0.32840
1998,North Rhine-Westphalia,No migration background,Never,0.08369,149,2025,0.07162,0.09575
1998,North Rhine-Westphalia,Direct migration background,At least once per week,0.15745,88,587,0.12796,0.18694
1998,North Rhine-Westphalia,Direct migration background,At least once per month,0.28351,150,587,0.24702,0.32000
1998,North Rhine-Westphalia,Direct migration background,Seldom,0.37648,234,587,0.33726,0.41571
1998,North Rhine-Westphalia,Direct migration background,Never,0.15466,115,587,0.12538,0.18393
1998,North Rhine-Westphalia,Indirect migration background,At least once per week,0.40789,70,147,0.32817,0.48760
1998,North Rhine-Westphalia,Indirect migration background,At least once per month,0.21852,38,147,0.15149,0.28555
1998,North Rhine-Westphalia,Indirect migration background,Seldom,0.28750,39,147,0.21409,0.36092
1998,Hesse,No migration background,At least once per week,0.27025,156,602,0.23474,0.30575
1998,Hesse,No migration background,At least once per month,0.27975,195,602,0.24386,0.31564
1998,Hesse,No migration background,Seldom,0.32944,196,602,0.29186,0.36702
1998,Hesse,No migration background,Never,0.09633,55,602,0.07274,0.11991
1998,Hesse,Direct migration background,At least once per week,0.17297,46,265,0.12734,0.21859
1998,Hesse,Direct migration background,At least once per month,0.22131,53,265,0.17124,0.27139
1998,Hesse,Direct migration background,Seldom,0.35179,100,265,0.29419,0.40940
1998,Hesse,Direct migration background,Never,0.22552,66,265,0.17511,0.27593
1998,Hesse,Indirect migration background,At least once per week,0.49311,32,32,0.31711,0.66910
1998,"Rhineland-Palatinate, Saarland",No migration background,At least once per week,0.24607,153,604,0.21169,0.28045
1998,"Rhineland-Palatinate, Saarland",No migration background,At least once per month,0.27463,175,604,0.23901,0.31026
1998,"Rhineland-Palatinate, Saarland",No migration background,Seldom,0.33992,209,604,0.30211,0.37772
1998,"Rhineland-Palatinate, Saarland",No migration background,Never,0.12380,67,604,0.09751,0.15009
