year,migback,sex,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,male,Daily,0.02858,82,3184,0.02280,0.03437
1990,No migration background,male,At least once per week,0.31905,1012,3184,0.30285,0.33524
1990,No migration background,male,At least once per month,0.27224,896,3184,0.25677,0.28770
1990,No migration background,male,Seldom,0.31620,1008,3184,0.30004,0.33235
1990,No migration background,male,Never,0.06394,186,3184,0.05544,0.07244
1990,No migration background,female,At least once per week,0.19781,695,3418,0.18445,0.21116
1990,No migration background,female,At least once per month,0.29315,1065,3418,0.27789,0.30841
1990,No migration background,female,Seldom,0.38139,1313,3418,0.36510,0.39768
1990,No migration background,female,Never,0.12281,345,3418,0.11181,0.13382
1990,Direct migration background,male,Daily,0.04416,66,1326,0.03310,0.05523
1990,Direct migration background,male,At least once per week,0.23839,317,1326,0.21545,0.26133
1990,Direct migration background,male,At least once per month,0.24311,316,1326,0.22001,0.26621
1990,Direct migration background,male,Seldom,0.31836,400,1326,0.29328,0.34345
1990,Direct migration background,male,Never,0.15598,227,1326,0.13644,0.17551
1990,Direct migration background,female,At least once per week,0.11326,125,1183,0.09519,0.13132
1990,Direct migration background,female,At least once per month,0.20549,254,1183,0.18246,0.22853
1990,Direct migration background,female,Seldom,0.43260,450,1183,0.40435,0.46084
1990,Direct migration background,female,Never,0.24135,354,1183,0.21696,0.26575
1990,Indirect migration background,male,At least once per week,0.39310,66,66,0.27435,0.51184
1990,Indirect migration background,female,At least once per week,0.31095,45,125,0.22948,0.39243
1990,Indirect migration background,female,At least once per month,0.25862,42,125,0.18155,0.33569
1990,Indirect migration background,female,Seldom,0.30383,38,125,0.22288,0.38478
1995,No migration background,male,Daily,0.03409,134,4733,0.02892,0.03926
1995,No migration background,male,At least once per week,0.27430,1199,4733,0.26159,0.28701
1995,No migration background,male,At least once per month,0.26445,1295,4733,0.25189,0.27702
1995,No migration background,male,Seldom,0.33163,1674,4733,0.31822,0.34505
1995,No migration background,male,Never,0.09553,431,4733,0.08715,0.10390
1995,No migration background,female,Daily,0.00814,44,5230,0.00571,0.01058
1995,No migration background,female,At least once per week,0.17290,865,5230,0.16265,0.18315
1995,No migration background,female,At least once per month,0.30053,1586,5230,0.28810,0.31296
1995,No migration background,female,Seldom,0.37599,2061,5230,0.36286,0.38912
1995,No migration background,female,Never,0.14244,674,5230,0.13296,0.15191
1995,Direct migration background,male,Daily,0.02675,44,1405,0.01831,0.03519
1995,Direct migration background,male,At least once per week,0.21067,298,1405,0.18934,0.23200
1995,Direct migration background,male,At least once per month,0.23649,329,1405,0.21426,0.25872
1995,Direct migration background,male,Seldom,0.31247,442,1405,0.28823,0.33672
1995,Direct migration background,male,Never,0.21362,292,1405,0.19218,0.23506
1995,Direct migration background,female,At least once per week,0.14357,147,1351,0.12487,0.16228
1995,Direct migration background,female,At least once per month,0.19614,281,1351,0.17496,0.21733
1995,Direct migration background,female,Seldom,0.37610,539,1351,0.35026,0.40194
1995,Direct migration background,female,Never,0.27147,384,1351,0.24775,0.29519
1995,Indirect migration background,male,At least once per week,0.39715,114,224,0.33293,0.46138
1995,Indirect migration background,male,At least once per month,0.32483,68,224,0.26336,0.38629
1995,Indirect migration background,male,Seldom,0.17317,42,224,0.12351,0.22284
1995,Indirect migration background,female,At least once per week,0.34507,80,227,0.28309,0.40705
1995,Indirect migration background,female,At least once per month,0.31276,76,227,0.25232,0.37321
1995,Indirect migration background,female,Seldom,0.27819,71,227,0.21977,0.33662
1998,No migration background,male,Daily,0.02257,106,5358,0.01859,0.02655
1998,No migration background,male,At least once per week,0.27115,1361,5358,0.25924,0.28305
1998,No migration background,male,At least once per month,0.28647,1547,5358,0.27436,0.29857
1998,No migration background,male,Seldom,0.34146,1951,5358,0.32876,0.35416
1998,No migration background,male,Never,0.07835,393,5358,0.07116,0.08555
1998,No migration background,female,Daily,0.00773,51,5854,0.00549,0.00998
1998,No migration background,female,At least once per week,0.17844,991,5854,0.16863,0.18825
1998,No migration background,female,At least once per month,0.30563,1822,5854,0.29383,0.31744
1998,No migration background,female,Seldom,0.38236,2355,5854,0.36991,0.39481
1998,No migration background,female,Never,0.12584,635,5854,0.11734,0.13433
1998,Direct migration background,male,Daily,0.03341,41,1208,0.02327,0.04355
1998,Direct migration background,male,At least once per week,0.19571,251,1208,0.17333,0.21809
1998,Direct migration background,male,At least once per month,0.25453,290,1208,0.22995,0.27910
1998,Direct migration background,male,Seldom,0.35498,429,1208,0.32798,0.38197
1998,Direct migration background,male,Never,0.16137,197,1208,0.14062,0.18212
1998,Direct migration background,female,At least once per week,0.12758,137,1172,0.10847,0.14669
1998,Direct migration background,female,At least once per month,0.24483,262,1172,0.22020,0.26946
1998,Direct migration background,female,Seldom,0.38942,488,1172,0.36149,0.41735
1998,Direct migration background,female,Never,0.22467,285,1172,0.20077,0.24858
1998,Indirect migration background,male,At least once per week,0.45410,147,279,0.39557,0.51263
1998,Indirect migration background,male,At least once per month,0.26173,73,279,0.21005,0.31340
1998,Indirect migration background,male,Seldom,0.18367,59,279,0.13816,0.22919
1998,Indirect migration background,female,At least once per week,0.36726,101,263,0.30889,0.42563
1998,Indirect migration background,female,At least once per month,0.28140,85,263,0.22695,0.33585
1998,Indirect migration background,female,Seldom,0.29060,77,263,0.23562,0.34558
2003,No migration background,male,Daily,0.02253,200,9034,0.01947,0.02559
2003,No migration background,male,At least once per week,0.25998,2413,9034,0.25094,0.26903
2003,No migration background,male,At least once per month,0.28316,2658,9034,0.27387,0.29245
2003,No migration background,male,Seldom,0.35089,3113,9034,0.34105,0.36074
2003,No migration background,male,Never,0.08343,650,9034,0.07773,0.08914
2003,No migration background,female,Daily,0.00791,79,9708,0.00615,0.00968
2003,No migration background,female,At least once per week,0.17310,1838,9708,0.16557,0.18062
2003,No migration background,female,At least once per month,0.30975,3161,9708,0.30055,0.31894
2003,No migration background,female,Seldom,0.39295,3728,9708,0.38324,0.40267
2003,No migration background,female,Never,0.11629,902,9708,0.10991,0.12267
2003,Direct migration background,male,Daily,0.03053,37,1260,0.02102,0.04003
2003,Direct migration background,male,At least once per week,0.17947,236,1260,0.15828,0.20067
2003,Direct migration background,male,At least once per month,0.23276,303,1260,0.20942,0.25610
2003,Direct migration background,male,Seldom,0.38620,472,1260,0.35931,0.41310
2003,Direct migration background,male,Never,0.17104,212,1260,0.15024,0.19184
2003,Direct migration background,female,At least once per week,0.11792,160,1342,0.10066,0.13518
2003,Direct migration background,female,At least once per month,0.21821,305,1342,0.19611,0.24032
2003,Direct migration background,female,Seldom,0.42790,565,1342,0.40142,0.45438
2003,Direct migration background,female,Never,0.23027,312,1342,0.20773,0.25280
2003,Indirect migration background,male,At least once per week,0.36634,143,328,0.31412,0.41856
2003,Indirect migration background,male,At least once per month,0.28821,104,328,0.23912,0.33730
2003,Indirect migration background,male,Seldom,0.24712,81,328,0.20037,0.29387
2003,Indirect migration background,female,At least once per week,0.34694,140,382,0.29915,0.39474
2003,Indirect migration background,female,At least once per month,0.28023,124,382,0.23514,0.32533
2003,Indirect migration background,female,Seldom,0.29861,118,382,0.25265,0.34456
2008,No migration background,male,Daily,0.02312,158,7944,0.01982,0.02643
2008,No migration background,male,At least once per week,0.24651,1914,7944,0.23703,0.25598
2008,No migration background,male,At least once per month,0.29304,2368,7944,0.28303,0.30305
2008,No migration background,male,Seldom,0.35502,2916,7944,0.34450,0.36554
2008,No migration background,male,Never,0.08231,588,7944,0.07627,0.08836
2008,No migration background,female,Daily,0.00688,54,8669,0.00514,0.00862
2008,No migration background,female,At least once per week,0.17392,1576,8669,0.16594,0.18190
2008,No migration background,female,At least once per month,0.30868,2738,8669,0.29896,0.31841
2008,No migration background,female,Seldom,0.40196,3508,8669,0.39164,0.41228
2008,No migration background,female,Never,0.10856,793,8669,0.10201,0.11511
2008,Direct migration background,male,At least once per week,0.16328,146,848,0.13839,0.18817
2008,Direct migration background,male,At least once per month,0.22340,191,848,0.19535,0.25145
2008,Direct migration background,male,Seldom,0.42313,379,848,0.38986,0.45640
2008,Direct migration background,male,Never,0.15794,132,848,0.13338,0.18250
2008,Direct migration background,female,At least once per week,0.11501,126,1018,0.09540,0.13462
2008,Direct migration background,female,At least once per month,0.22393,234,1018,0.19831,0.24955
2008,Direct migration background,female,Seldom,0.44863,458,1018,0.41807,0.47920
2008,Direct migration background,female,Never,0.20701,200,1018,0.18211,0.23191
2008,Indirect migration background,male,At least once per week,0.42522,136,335,0.37220,0.47824
2008,Indirect migration background,male,At least once per month,0.23480,100,335,0.18934,0.28026
2008,Indirect migration background,male,Seldom,0.25513,99,335,0.20838,0.30189
2008,Indirect migration background,female,At least once per week,0.22832,104,369,0.18544,0.27121
2008,Indirect migration background,female,At least once per month,0.34788,142,369,0.29921,0.39654
2008,Indirect migration background,female,Seldom,0.34135,123,369,0.29290,0.38980
2013,No migration background,male,Daily,0.02172,204,9798,0.01883,0.02461
2013,No migration background,male,At least once per week,0.26501,2386,9798,0.25627,0.27375
