,Unnamed: 0,year,migback,regtyp,pli0079,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,No migration background,Urban regions,Daily,0.01479,75,9308,0.01313,0.01665
1,1,1990,No migration background,Urban regions,At least once per week,0.26247,1323,9308,0.25479,0.27051
2,2,1990,No migration background,Urban regions,At least once per month,0.29055,1513,9308,0.28429,0.29686
3,3,1990,No migration background,Urban regions,Seldom,0.34092,1722,9308,0.33458,0.3477
4,4,1990,No migration background,Urban regions,Never,0.09127,385,9308,0.08749,0.09508
5,5,1990,No migration background,Rural regions,At least once per week,0.23798,384,9308,0.22849,0.24817
6,6,1990,No migration background,Rural regions,At least once per month,0.26587,448,9308,0.25693,0.27804
7,7,1990,No migration background,Rural regions,Seldom,0.3879,599,9308,0.37484,0.40065
8,8,1990,No migration background,Rural regions,Never,0.10824,146,9308,0.10245,0.11543
9,9,1990,Direct migration background,Urban regions,Daily,0.02504,61,9308,0.01923,0.03028
10,10,1990,Direct migration background,Urban regions,At least once per week,0.17504,382,9308,0.15432,0.19541
11,11,1990,Direct migration background,Urban regions,At least once per month,0.22745,497,9308,0.20719,0.24778
12,12,1990,Direct migration background,Urban regions,Seldom,0.37741,745,9308,0.34713,0.40623
13,13,1990,Direct migration background,Urban regions,Never,0.19507,514,9308,0.17984,0.21656
14,14,1990,Direct migration background,Rural regions,At least once per week,0.19689,60,9308,0.15507,0.25304
15,15,1990,Direct migration background,Rural regions,At least once per month,0.21572,73,9308,0.16806,0.26981
16,16,1990,Direct migration background,Rural regions,Seldom,0.36735,105,9308,0.30328,0.4426
17,17,1990,Direct migration background,Rural regions,Never,0.22004,67,9308,0.15656,0.28673
18,18,1990,Indirect migration background,Urban regions,At least once per week,0.43814,101,9308,0.34055,0.55428
19,19,1990,Indirect migration background,Urban regions,At least once per month,0.24852,55,9308,0.16073,0.35036
20,20,1990,Indirect migration background,Urban regions,Seldom,0.31334,53,9308,0.2172,0.41856
21,21,1995,No migration background,Urban regions,Daily,0.02086,108,13100,0.01889,0.02301
22,22,1995,No migration background,Urban regions,At least once per week,0.24413,1409,13100,0.23679,0.25264
23,23,1995,No migration background,Urban regions,At least once per month,0.29074,1798,13100,0.28222,0.30032
24,24,1995,No migration background,Urban regions,Seldom,0.34043,2088,13100,0.33293,0.34887
25,25,1995,No migration background,Urban regions,Never,0.10383,558,13100,0.09814,0.10912
26,26,1995,No migration background,Rural regions,Daily,0.01968,70,13100,0.01668,0.02251
27,27,1995,No migration background,Rural regions,At least once per week,0.17683,655,13100,0.16546,0.18701
28,28,1995,No migration background,Rural regions,At least once per month,0.26911,1082,13100,0.25759,0.28162
29,29,1995,No migration background,Rural regions,Seldom,0.38273,1647,13100,0.37024,0.3954
30,30,1995,No migration background,Rural regions,Never,0.15165,547,13100,0.14289,0.15911
