year,pgisced97,regtyp,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,Urban regions,At least once per week,0.40975,49,89,0.30700,0.51250
1990,Pre-primary Level,Urban regions,Seldom,0.26399,40,89,0.17189,0.35609
1990,Primary Level,Urban regions,At least once per week,0.14984,67,529,0.11939,0.18028
1990,Primary Level,Urban regions,At least once per month,0.17127,90,529,0.13914,0.20341
1990,Primary Level,Urban regions,Seldom,0.30920,166,529,0.26978,0.34862
1990,Primary Level,Urban regions,Never,0.30467,206,529,0.26541,0.34393
1990,Lower Secondary Level,Urban regions,Daily,0.01460,46,1920,0.00924,0.01997
1990,Lower Secondary Level,Urban regions,At least once per week,0.17665,386,1920,0.15958,0.19371
1990,Lower Secondary Level,Urban regions,At least once per month,0.22258,453,1920,0.20396,0.24119
1990,Lower Secondary Level,Urban regions,Seldom,0.35143,695,1920,0.33007,0.37279
1990,Lower Secondary Level,Urban regions,Never,0.17978,340,1920,0.16260,0.19696
1990,Lower Secondary Level,Rural regions,At least once per week,0.11188,93,530,0.08502,0.13874
1990,Lower Secondary Level,Rural regions,At least once per month,0.14582,115,530,0.11574,0.17589
1990,Lower Secondary Level,Rural regions,Seldom,0.32259,226,530,0.28275,0.36242
1990,Lower Secondary Level,Rural regions,Never,0.14734,96,530,0.11714,0.17755
1990,Upper Secondary Level,Urban regions,Daily,0.01478,66,3512,0.01079,0.01877
1990,Upper Secondary Level,Urban regions,At least once per week,0.22589,890,3512,0.21206,0.23972
1990,Upper Secondary Level,Urban regions,At least once per month,0.26501,1056,3512,0.25041,0.27961
1990,Upper Secondary Level,Urban regions,Seldom,0.31494,1210,3512,0.29957,0.33030
1990,Upper Secondary Level,Urban regions,Never,0.07507,290,3512,0.06636,0.08379
1990,Upper Secondary Level,Rural regions,Daily,0.01783,31,1017,0.00969,0.02596
1990,Upper Secondary Level,Rural regions,At least once per week,0.14901,258,1017,0.12712,0.17091
1990,Upper Secondary Level,Rural regions,At least once per month,0.14827,288,1017,0.12642,0.17013
1990,Upper Secondary Level,Rural regions,Seldom,0.21637,367,1017,0.19105,0.24169
1990,Upper Secondary Level,Rural regions,Never,0.04561,73,1017,0.03278,0.05844
1990,Post-secondary Non-tertiary Level,Urban regions,At least once per week,0.37720,85,227,0.31401,0.44040
1990,Post-secondary Non-tertiary Level,Urban regions,At least once per month,0.28175,81,227,0.22310,0.34040
1990,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.21338,61,227,0.15997,0.26680
1990,First Stage of Tertiary Education,Urban regions,At least once per week,0.24018,97,375,0.19688,0.28347
1990,First Stage of Tertiary Education,Urban regions,At least once per month,0.27421,132,375,0.22899,0.31942
1990,First Stage of Tertiary Education,Urban regions,Seldom,0.34399,146,375,0.29584,0.39213
1990,First Stage of Tertiary Education,Rural regions,At least once per week,0.15794,31,108,0.08884,0.22704
1990,First Stage of Tertiary Education,Rural regions,At least once per month,0.20161,40,108,0.12559,0.27763
1990,First Stage of Tertiary Education,Rural regions,Seldom,0.18066,37,108,0.10776,0.25356
1990,Second Stage of Tertiary Education,Urban regions,At least once per week,0.25984,198,561,0.22352,0.29617
1990,Second Stage of Tertiary Education,Urban regions,At least once per month,0.25757,194,561,0.22135,0.29378
1990,Second Stage of Tertiary Education,Urban regions,Seldom,0.22166,169,561,0.18725,0.25606
1990,Second Stage of Tertiary Education,Rural regions,At least once per month,0.12695,41,73,0.05005,0.20385
1990,Second Stage of Tertiary Education,Rural regions,Seldom,0.09532,32,73,0.02749,0.16316
1995,Pre-primary Level,Urban regions,At least once per week,0.38390,71,187,0.31401,0.45380
1995,Pre-primary Level,Urban regions,At least once per month,0.27389,52,187,0.20980,0.33798
1995,Pre-primary Level,Urban regions,Seldom,0.29910,64,187,0.23330,0.36490
1995,Pre-primary Level,Rural regions,Seldom,0.25099,34,34,0.10305,0.39892
1995,Primary Level,Urban regions,At least once per week,0.10737,47,430,0.07807,0.13666
1995,Primary Level,Urban regions,At least once per month,0.15294,76,430,0.11888,0.18700
1995,Primary Level,Urban regions,Seldom,0.34025,164,430,0.29541,0.38508
1995,Primary Level,Urban regions,Never,0.34700,143,430,0.30195,0.39204
1995,Primary Level,Rural regions,Seldom,0.52673,36,36,0.36132,0.69215
1995,Lower Secondary Level,Urban regions,Daily,0.01595,37,1722,0.01003,0.02187
1995,Lower Secondary Level,Urban regions,At least once per week,0.17424,311,1722,0.15631,0.19216
1995,Lower Secondary Level,Urban regions,At least once per month,0.22097,408,1722,0.20137,0.24057
1995,Lower Secondary Level,Urban regions,Seldom,0.37841,630,1722,0.35550,0.40133
1995,Lower Secondary Level,Urban regions,Never,0.20665,336,1722,0.18752,0.22578
