"plh0032","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Große Sorgen","1984","Schleswig-Holstein","männlich","57","0.30476365325114","0.238789305150118","0.370738001352161"
"Große Sorgen","1984","Schleswig-Holstein","weiblich","59","0.288233543003589","0.22482305812061","0.351644027886569"
"Große Sorgen","1984","Hamburg","männlich","53","0.336103447429851","0.2600000712915","0.412206823568203"
"Große Sorgen","1984","Hamburg","weiblich","49","0.302308240459859","0.230470104577691","0.374146376342027"
"Große Sorgen","1984","Niedersachsen","männlich","221","0.386653692328512","0.347425238030265","0.425882146626759"
"Große Sorgen","1984","Niedersachsen","weiblich","210","0.325292392924532","0.28856392275215","0.362020863096914"
"Große Sorgen","1984","Bremen","männlich","40","0.656322385637856","0.539045601812311","0.773599169463402"
"Große Sorgen","1984","Bremen","weiblich","36","0.484964925549781","0.367042307216773","0.60288754388279"
"Große Sorgen","1984","Nordrhein-Westfalen","männlich","606","0.385671848228947","0.361738948531835","0.409604747926059"
"Große Sorgen","1984","Nordrhein-Westfalen","weiblich","567","0.359956981318838","0.336641157033308","0.383272805604367"
"Große Sorgen","1984","Hessen","männlich","184","0.319421484800814","0.282750424227656","0.356092545373972"
"Große Sorgen","1984","Hessen","weiblich","158","0.26530249865234","0.230438059245346","0.300166938059334"
"Große Sorgen","1984","Rheinland-Pfalz,Saarland","männlich","152","0.380984519587737","0.334261762493299","0.427707276682176"
"Große Sorgen","1984","Rheinland-Pfalz,Saarland","weiblich","156","0.372387571975071","0.326746817750213","0.418028326199929"
"Große Sorgen","1984","Baden-Württemberg","männlich","320","0.3059560608979","0.278847303246379","0.333064818549421"
"Große Sorgen","1984","Baden-Württemberg","weiblich","295","0.276151650296673","0.250014240250793","0.302289060342554"
"Große Sorgen","1984","Bayern","männlich","294","0.29524797295579","0.266630267375093","0.323865678536488"
"Große Sorgen","1984","Bayern","weiblich","300","0.272382402473883","0.245794666376645","0.298970138571122"
"Große Sorgen","1984","Saarland","männlich","","","",""
"Große Sorgen","1984","Saarland","weiblich","","","",""
"Große Sorgen","1984","Berlin","männlich","67","0.309660815692916","0.244932479389718","0.374389151996115"
"Große Sorgen","1984","Berlin","weiblich","63","0.281562815112199","0.220587086492685","0.342538543731714"
"Große Sorgen","1984","Brandenburg","männlich","","","",""
"Große Sorgen","1984","Brandenburg","weiblich","","","",""
"Große Sorgen","1984","Mecklenburg-Vorpommern","männlich","","","",""
"Große Sorgen","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"Große Sorgen","1984","Sachsen","männlich","","","",""
"Große Sorgen","1984","Sachsen","weiblich","","","",""
