year,age_gr,quintil_oecd,plh0032,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Very concerned,0.32620,234,773,0.29313,0.35928
1984,17-29 y.,1st Quintile,Somewhat concerned,0.53780,405,773,0.50263,0.57297
1984,17-29 y.,1st Quintile,Not concerned at all,0.13599,134,773,0.11181,0.16018
1984,17-29 y.,2nd Quintile,Very concerned,0.29148,201,679,0.25727,0.32568
1984,17-29 y.,2nd Quintile,Somewhat concerned,0.57643,370,679,0.53924,0.61363
1984,17-29 y.,2nd Quintile,Not concerned at all,0.13209,108,679,0.10661,0.15758
1984,17-29 y.,3rd Quintile,Very concerned,0.32138,206,650,0.28545,0.35731
1984,17-29 y.,3rd Quintile,Somewhat concerned,0.56314,362,650,0.52498,0.60130
1984,17-29 y.,3rd Quintile,Not concerned at all,0.11548,82,650,0.09089,0.14006
1984,17-29 y.,4th Quintile,Very concerned,0.32437,225,720,0.29015,0.35859
1984,17-29 y.,4th Quintile,Somewhat concerned,0.55550,389,720,0.51918,0.59182
1984,17-29 y.,4th Quintile,Not concerned at all,0.12014,106,720,0.09637,0.14390
1984,17-29 y.,5th Quintile,Very concerned,0.34772,192,554,0.30803,0.38741
1984,17-29 y.,5th Quintile,Somewhat concerned,0.55852,306,554,0.51713,0.59991
1984,17-29 y.,5th Quintile,Not concerned at all,0.09376,56,554,0.06947,0.11806
1984,30-45 y.,1st Quintile,Very concerned,0.34162,266,780,0.30831,0.37492
1984,30-45 y.,1st Quintile,Somewhat concerned,0.53092,389,780,0.49588,0.56597
1984,30-45 y.,1st Quintile,Not concerned at all,0.12746,125,780,0.10404,0.15088
1984,30-45 y.,2nd Quintile,Very concerned,0.39862,269,779,0.36421,0.43302
1984,30-45 y.,2nd Quintile,Somewhat concerned,0.51411,402,779,0.47899,0.54923
1984,30-45 y.,2nd Quintile,Not concerned at all,0.08727,108,779,0.06744,0.10711
1984,30-45 y.,3rd Quintile,Very concerned,0.34667,257,748,0.31254,0.38080
1984,30-45 y.,3rd Quintile,Somewhat concerned,0.56293,397,748,0.52736,0.59850
1984,30-45 y.,3rd Quintile,Not concerned at all,0.09040,94,748,0.06984,0.11097
1984,30-45 y.,4th Quintile,Very concerned,0.35196,254,779,0.31840,0.38552
1984,30-45 y.,4th Quintile,Somewhat concerned,0.55026,409,779,0.51530,0.58521
1984,30-45 y.,4th Quintile,Not concerned at all,0.09778,116,779,0.07691,0.11865
1984,30-45 y.,5th Quintile,Very concerned,0.30547,230,781,0.27315,0.33780
1984,30-45 y.,5th Quintile,Somewhat concerned,0.59332,458,781,0.55885,0.62780
1984,30-45 y.,5th Quintile,Not concerned at all,0.10120,93,781,0.08004,0.12237
1984,46-65 y.,1st Quintile,Very concerned,0.41390,220,549,0.37266,0.45514
1984,46-65 y.,1st Quintile,Somewhat concerned,0.46022,243,549,0.41849,0.50195
1984,46-65 y.,1st Quintile,Not concerned at all,0.12588,86,549,0.09811,0.15366
1984,46-65 y.,2nd Quintile,Very concerned,0.36541,223,645,0.32822,0.40260
1984,46-65 y.,2nd Quintile,Somewhat concerned,0.52417,333,645,0.48560,0.56274
1984,46-65 y.,2nd Quintile,Not concerned at all,0.11042,89,645,0.08621,0.13463
1984,46-65 y.,3rd Quintile,Very concerned,0.34770,232,693,0.31222,0.38318
1984,46-65 y.,3rd Quintile,Somewhat concerned,0.55032,371,693,0.51326,0.58739
1984,46-65 y.,3rd Quintile,Not concerned at all,0.10198,90,693,0.07943,0.12452
1984,46-65 y.,4th Quintile,Very concerned,0.35205,254,755,0.31796,0.38614
1984,46-65 y.,4th Quintile,Somewhat concerned,0.56107,418,755,0.52564,0.59649
1984,46-65 y.,4th Quintile,Not concerned at all,0.08689,83,755,0.06678,0.10699
1984,46-65 y.,5th Quintile,Very concerned,0.34547,284,870,0.31385,0.37709
1984,46-65 y.,5th Quintile,Somewhat concerned,0.54587,480,870,0.51277,0.57897
1984,46-65 y.,5th Quintile,Not concerned at all,0.10866,106,870,0.08797,0.12935
1984,66 and older,1st Quintile,Very concerned,0.26521,96,351,0.21896,0.31146
1984,66 and older,1st Quintile,Somewhat concerned,0.44622,153,351,0.39414,0.49830
1984,66 and older,1st Quintile,Not concerned at all,0.28856,102,351,0.24110,0.33603
1984,66 and older,2nd Quintile,Very concerned,0.30069,84,272,0.24609,0.35529
1984,66 and older,2nd Quintile,Somewhat concerned,0.49368,137,272,0.43416,0.55321
1984,66 and older,2nd Quintile,Not concerned at all,0.20563,51,272,0.15751,0.25375
1984,66 and older,3rd Quintile,Very concerned,0.23867,58,233,0.18381,0.29352
1984,66 and older,3rd Quintile,Somewhat concerned,0.52291,125,233,0.45864,0.58718
1984,66 and older,3rd Quintile,Not concerned at all,0.23842,50,233,0.18359,0.29326
1984,66 and older,4th Quintile,Very concerned,0.22396,44,202,0.16632,0.28159
1984,66 and older,4th Quintile,Somewhat concerned,0.53879,109,202,0.46987,0.60770
1984,66 and older,4th Quintile,Not concerned at all,0.23725,49,202,0.17844,0.29606
1984,66 and older,5th Quintile,Very concerned,0.24755,50,193,0.18650,0.30860
1984,66 and older,5th Quintile,Somewhat concerned,0.54969,104,193,0.47932,0.62007
1984,66 and older,5th Quintile,Not concerned at all,0.20275,39,193,0.14588,0.25962
1985,17-29 y.,1st Quintile,Very concerned,0.31726,221,767,0.28430,0.35022
1985,17-29 y.,1st Quintile,Somewhat concerned,0.54265,408,767,0.50737,0.57793
1985,17-29 y.,1st Quintile,Not concerned at all,0.14008,138,767,0.11550,0.16466
1985,17-29 y.,2nd Quintile,Very concerned,0.29592,157,577,0.25864,0.33319
1985,17-29 y.,2nd Quintile,Somewhat concerned,0.55199,317,577,0.51138,0.59260
1985,17-29 y.,2nd Quintile,Not concerned at all,0.15209,103,577,0.12277,0.18142
1985,17-29 y.,3rd Quintile,Very concerned,0.26001,169,640,0.22600,0.29402
1985,17-29 y.,3rd Quintile,Somewhat concerned,0.58413,362,640,0.54592,0.62235
1985,17-29 y.,3rd Quintile,Not concerned at all,0.15586,109,640,0.12773,0.18398
1985,17-29 y.,4th Quintile,Very concerned,0.26096,162,622,0.22642,0.29551
1985,17-29 y.,4th Quintile,Somewhat concerned,0.63442,380,622,0.59655,0.67230
1985,17-29 y.,4th Quintile,Not concerned at all,0.10461,80,622,0.08054,0.12868
