year,migback,sampreg,plh0032,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Very concerned,0.33262,2896,8587,0.32265,0.34258
1984,No migration background,West,Somewhat concerned,0.54381,4702,8587,0.53328,0.55435
1984,No migration background,West,Not concerned at all,0.12357,989,8587,0.11661,0.13053
1984,Direct migration background,West,Very concerned,0.30065,952,3320,0.28505,0.31625
1984,Direct migration background,West,Somewhat concerned,0.49809,1609,3320,0.48108,0.51510
1984,Direct migration background,West,Not concerned at all,0.20125,759,3320,0.18761,0.21489
1984,Indirect migration background,West,Very concerned,0.34115,39,101,0.24823,0.43407
1984,Indirect migration background,West,Somewhat concerned,0.53074,62,101,0.43292,0.62855
1985,No migration background,West,Very concerned,0.31425,2510,7891,0.30401,0.32450
1985,No migration background,West,Somewhat concerned,0.56166,4468,7891,0.55071,0.57261
1985,No migration background,West,Not concerned at all,0.12409,913,7891,0.11681,0.13136
1985,Direct migration background,West,Very concerned,0.25640,706,2839,0.24033,0.27246
1985,Direct migration background,West,Somewhat concerned,0.55248,1469,2839,0.53418,0.57077
1985,Direct migration background,West,Not concerned at all,0.19112,664,2839,0.17666,0.20559
1985,Indirect migration background,West,Very concerned,0.23814,33,111,0.15854,0.31774
1985,Indirect migration background,West,Somewhat concerned,0.66240,78,111,0.57403,0.75078
1986,No migration background,West,Very concerned,0.19465,1463,7491,0.18569,0.20362
1986,No migration background,West,Somewhat concerned,0.57683,4369,7491,0.56564,0.58802
1986,No migration background,West,Not concerned at all,0.22852,1659,7491,0.21901,0.23803
1986,Direct migration background,West,Very concerned,0.16415,480,2789,0.15040,0.17790
1986,Direct migration background,West,Somewhat concerned,0.56034,1525,2789,0.54192,0.57876
1986,Direct migration background,West,Not concerned at all,0.27551,784,2789,0.25893,0.29210
1986,Indirect migration background,West,Somewhat concerned,0.56945,90,133,0.48498,0.65392
1986,Indirect migration background,West,Not concerned at all,0.27499,43,133,0.19882,0.35116
1987,No migration background,West,Very concerned,0.20938,1496,7371,0.20009,0.21867
1987,No migration background,West,Somewhat concerned,0.61176,4580,7371,0.60064,0.62289
1987,No migration background,West,Not concerned at all,0.17886,1295,7371,0.17011,0.18761
