syear,regtyp,sex,plh0032,proportion,n,lower_confidence,upper_confidence
1985,Urban regions,female,2.0,0.22355105795768168,11026,0.21577441977586972,0.23132769613949364
1985,Urban regions,male,2.0,0.21186752529898803,11026,0.2042400837954481,0.21949496680252795
1985,Urban regions,male,1.0,0.11950321987120516,11026,0.11344840642310722,0.1255580333193031
1985,Urban regions,female,1.0,0.10883164673413064,11026,0.1030185900831604,0.11464470338510087
1985,Urban regions,female,3.0,0.06596136154553818,11026,0.0613282334874149,0.07059448960366146
1985,Rural regions,female,2.0,0.05988960441582337,11026,0.055460537650342714,0.06431867118130402
1985,Rural regions,male,2.0,0.05804967801287948,11026,0.05368491182525853,0.062414444200500435
1985,Urban regions,male,3.0,0.05611775528978841,11026,0.051821835824968465,0.06041367475460835
1985,Rural regions,male,1.0,0.035694572217111316,11026,0.03223154843796998,0.03915759599625265
1985,Rural regions,female,1.0,0.03486660533578657,11026,0.031442512100154654,0.03829069857141848
1985,Rural regions,female,3.0,0.014259429622815088,11026,0.012046439528448596,0.01647241971718158
1985,Rural regions,male,3.0,0.01140754369825207,11026,0.0094253239713175,0.01338976342518664
1986,Urban regions,female,2.0,0.23293711656441718,10583,0.2248835824026979,0.24099065072613646
1986,Urban regions,male,2.0,0.22200920245398773,10583,0.21409104029448528,0.22992736461349017
1986,Urban regions,female,3.0,0.09614647239263803,10583,0.09052995149289729,0.10176299329237877
1986,Urban regions,male,3.0,0.09614647239263803,10583,0.09052995149289729,0.10176299329237877
1986,Urban regions,male,1.0,0.07352377300613497,10583,0.06855118239009864,0.0784963636221713
1986,Urban regions,female,1.0,0.06681365030674846,10583,0.06205626352150087,0.07157103709199605
1986,Rural regions,female,2.0,0.062020705521472395,10583,0.05742537609471549,0.0666160349482293
1986,Rural regions,male,2.0,0.05665260736196319,10583,0.05224809887406026,0.06105711584986612
1986,Rural regions,male,1.0,0.02425230061349693,10583,0.021321428203385655,0.027183173023608207
1986,Rural regions,female,1.0,0.02348542944785276,10583,0.02060013400261375,0.026370724893091772
1986,Rural regions,male,3.0,0.02329371165644172,10583,0.020419934999202066,0.02616748831368137
1986,Rural regions,female,3.0,0.02271855828220859,10583,0.019879646593346068,0.025557469971071112
1987,Urban regions,male,2.0,0.24039580908032596,10452,0.23220336486181833,0.24858825329883358
1987,Urban regions,female,2.0,0.2341870391928599,10452,0.22606810250301718,0.24230597588270264
1987,Urban regions,female,3.0,0.08323632130384168,10452,0.07794040016871671,0.08853224243896664
1987,Urban regions,male,3.0,0.08013193636010865,10452,0.07492692166347557,0.08533695105674173
1987,Urban regions,female,1.0,0.07780364765230889,10452,0.07266832128048198,0.0829389740241358
1987,Urban regions,male,1.0,0.07275902211874273,10452,0.06777940322888913,0.07773864100859633
1987,Rural regions,female,2.0,0.0647070236709352,10452,0.05999067483557188,0.06942337250629851
1987,Rural regions,male,2.0,0.06315483119906869,10452,0.0584915288851438,0.06781813351299358
1987,Rural regions,female,1.0,0.021924718665114473,10452,0.019117284847050685,0.02473215248317826
1987,Rural regions,female,3.0,0.021536670547147845,10452,0.018753640276729773,0.024319700817565917
1987,Rural regions,male,3.0,0.020566550252231277,10452,0.01784557518448373,0.023287525319978825
1987,Rural regions,male,1.0,0.01959642995731471,10452,0.016939088930787893,0.022253770983841525
1988,Urban regions,female,2.0,0.23378597486826105,9970,0.22547804603470364,0.24209390370181846
1988,Urban regions,male,2.0,0.23023915687069316,9970,0.22197542927105843,0.23850288447032789
1988,Urban regions,male,1.0,0.10245237130117552,9970,0.09649988709829478,0.10840485550405625
1988,Urban regions,female,1.0,0.0976895014187272,9970,0.09186162352251395,0.10351737931494046
1988,Urban regions,female,3.0,0.06607215241183624,9970,0.061196032441697606,0.07094827238197488
1988,Rural regions,female,2.0,0.061613295500608026,9970,0.05689335380025732,0.06633323720095874
1988,Rural regions,male,2.0,0.061106607215241186,9970,0.0564048443748354,0.06580837005564696
1988,Urban regions,male,3.0,0.060397243615727604,9970,0.05572108544487414,0.06507340178658107
1988,Rural regions,female,1.0,0.029286582894203488,9970,0.02597688495613039,0.032596280832276586
1988,Rural regions,male,1.0,0.027969193352249695,9970,0.024732597468525908,0.03120578923597348
1988,Rural regions,female,3.0,0.016011349817592217,9970,0.013547481405027734,0.0184752182301567
1988,Rural regions,male,3.0,0.013376570733684636,9970,0.011121518532604999,0.015631622934764274
1989,Urban regions,female,2.0,0.24230971128608925,9662,0.23376585714968012,0.25085356542249837
1989,Urban regions,male,2.0,0.22078740157480314,9662,0.21251678891631212,0.22905801423329417
1989,Urban regions,male,3.0,0.10488188976377953,9662,0.09877228693462288,0.11099149259293618
1989,Urban regions,female,3.0,0.09270341207349081,9662,0.08692052045142193,0.09848630369555969
1989,Urban regions,female,1.0,0.06834645669291338,9662,0.06331483736265843,0.07337807602316833
