year,migback,plh0032,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Very concerned,0.27740,2896,8587,0.26793,0.28687
1984,No migration background,Somewhat concerned,0.45353,4702,8587,0.44300,0.46406
1984,No migration background,Not concerned at all,0.10306,989,8587,0.09663,0.10949
1984,Direct migration background,Very concerned,0.26362,952,3320,0.24863,0.27861
1984,Direct migration background,Somewhat concerned,0.43673,1609,3320,0.41986,0.45361
1984,Direct migration background,Not concerned at all,0.17646,759,3320,0.16349,0.18943
1984,Indirect migration background,Very concerned,0.03960,39,101,0.00138,0.07782
1984,Indirect migration background,Somewhat concerned,0.06160,62,101,0.01448,0.10873
1985,No migration background,Very concerned,0.26514,2510,7891,0.25540,0.27488
1985,No migration background,Somewhat concerned,0.47388,4468,7891,0.46286,0.48490
1985,No migration background,Not concerned at all,0.10470,913,7891,0.09794,0.11145
1985,Direct migration background,Very concerned,0.22663,706,2839,0.21123,0.24203
1985,Direct migration background,Somewhat concerned,0.48833,1469,2839,0.46994,0.50672
1985,Direct migration background,Not concerned at all,0.16893,664,2839,0.15515,0.18272
1985,Indirect migration background,Very concerned,0.03434,33,111,0.00031,0.06837
1985,Indirect migration background,Somewhat concerned,0.09552,78,111,0.04059,0.15045
1986,No migration background,Very concerned,0.16347,1463,7491,0.15510,0.17185
1986,No migration background,Somewhat concerned,0.48443,4369,7491,0.47311,0.49574
1986,No migration background,Not concerned at all,0.19191,1659,7491,0.18299,0.20083
1986,Direct migration background,Very concerned,0.14839,480,2789,0.13519,0.16158
1986,Direct migration background,Somewhat concerned,0.50653,1525,2789,0.48798,0.52509
1986,Direct migration background,Not concerned at all,0.24906,784,2789,0.23300,0.26511
1986,Indirect migration background,Somewhat concerned,0.08331,90,133,0.03617,0.13046
1986,Indirect migration background,Not concerned at all,0.04023,43,133,0.00671,0.07375
1987,No migration background,Very concerned,0.17566,1496,7371,0.16697,0.18435
1987,No migration background,Somewhat concerned,0.51325,4580,7371,0.50184,0.52466
1987,No migration background,Not concerned at all,0.15005,1295,7371,0.14190,0.15821
1987,Direct migration background,Very concerned,0.16244,462,2765,0.14869,0.17619
1987,Direct migration background,Somewhat concerned,0.53199,1527,2765,0.51338,0.55059
1987,Direct migration background,Not concerned at all,0.21774,776,2765,0.20235,0.23313
1987,Indirect migration background,Somewhat concerned,0.09299,103,150,0.04636,0.13962
1987,Indirect migration background,Not concerned at all,0.03048,47,150,0.00288,0.05809
1988,No migration background,Very concerned,0.24109,1987,7015,0.23108,0.25110
1988,No migration background,Somewhat concerned,0.49044,4124,7015,0.47874,0.50214
1988,No migration background,Not concerned at all,0.11079,904,7015,0.10345,0.11814
1988,Direct migration background,Very concerned,0.20675,515,2634,0.19128,0.22222
1988,Direct migration background,Somewhat concerned,0.55188,1543,2634,0.53289,0.57088
1988,Direct migration background,Not concerned at all,0.16663,576,2634,0.15240,0.18087
1988,Indirect migration background,Very concerned,0.04017,38,219,0.01410,0.06623
