year,age_gr,migback,plh0032,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Very concerned,0.32691,762,2316,0.30780,0.34602
1984,17-29 y.,No migration background,Somewhat concerned,0.56104,1294,2316,0.54083,0.58126
1984,17-29 y.,No migration background,Not concerned at all,0.11205,260,2316,0.09920,0.12490
1984,17-29 y.,Direct migration background,Very concerned,0.28799,278,984,0.25968,0.31629
1984,17-29 y.,Direct migration background,Somewhat concerned,0.52795,497,984,0.49674,0.55916
1984,17-29 y.,Direct migration background,Not concerned at all,0.18406,209,984,0.15983,0.20829
1984,17-29 y.,Indirect migration background,Somewhat concerned,0.62303,49,49,0.48593,0.76013
1984,30-45 y.,No migration background,Very concerned,0.35147,872,2483,0.33269,0.37025
1984,30-45 y.,No migration background,Somewhat concerned,0.56305,1396,2483,0.54353,0.58256
1984,30-45 y.,No migration background,Not concerned at all,0.08548,215,2483,0.07448,0.09648
1984,30-45 y.,Direct migration background,Very concerned,0.31440,396,1368,0.28979,0.33902
1984,30-45 y.,Direct migration background,Somewhat concerned,0.48725,652,1368,0.46075,0.51375
1984,30-45 y.,Direct migration background,Not concerned at all,0.19834,320,1368,0.17721,0.21948
1984,46-65 y.,No migration background,Very concerned,0.36663,938,2572,0.34800,0.38525
1984,46-65 y.,No migration background,Somewhat concerned,0.53866,1397,2572,0.51939,0.55793
1984,46-65 y.,No migration background,Not concerned at all,0.09472,237,2572,0.08340,0.10604
1984,46-65 y.,Direct migration background,Very concerned,0.29191,269,933,0.26272,0.32109
1984,46-65 y.,Direct migration background,Somewhat concerned,0.51075,448,933,0.47866,0.54284
1984,46-65 y.,Direct migration background,Not concerned at all,0.19734,216,933,0.17179,0.22290
1984,66 and older,No migration background,Very concerned,0.25861,324,1216,0.23399,0.28323
1984,66 and older,No migration background,Somewhat concerned,0.50360,615,1216,0.47548,0.53171
1984,66 and older,No migration background,Not concerned at all,0.23780,277,1216,0.21386,0.26173
1985,17-29 y.,No migration background,Very concerned,0.28436,626,2184,0.26543,0.30328
1985,17-29 y.,No migration background,Somewhat concerned,0.58175,1266,2184,0.56105,0.60244
1985,17-29 y.,No migration background,Not concerned at all,0.13390,292,2184,0.11961,0.14819
1985,17-29 y.,Direct migration background,Very concerned,0.24194,189,807,0.21237,0.27151
1985,17-29 y.,Direct migration background,Somewhat concerned,0.55843,422,807,0.52415,0.59271
1985,17-29 y.,Direct migration background,Not concerned at all,0.19963,196,807,0.17204,0.22723
1985,17-29 y.,Indirect migration background,Somewhat concerned,0.55091,59,59,0.42290,0.67892
1985,30-45 y.,No migration background,Very concerned,0.33498,758,2264,0.31553,0.35443
1985,30-45 y.,No migration background,Somewhat concerned,0.58089,1320,2264,0.56056,0.60122
1985,30-45 y.,No migration background,Not concerned at all,0.08413,186,2264,0.07270,0.09557
1985,30-45 y.,Direct migration background,Very concerned,0.25409,306,1166,0.22909,0.27909
1985,30-45 y.,Direct migration background,Somewhat concerned,0.55739,600,1166,0.52887,0.58591
1985,30-45 y.,Direct migration background,Not concerned at all,0.18852,260,1166,0.16606,0.21098
1985,46-65 y.,No migration background,Very concerned,0.35750,854,2401,0.33833,0.37668
1985,46-65 y.,No migration background,Somewhat concerned,0.55351,1339,2401,0.53362,0.57340
1985,46-65 y.,No migration background,Not concerned at all,0.08898,208,2401,0.07759,0.10038
1985,46-65 y.,Direct migration background,Very concerned,0.28132,206,830,0.25071,0.31193
1985,46-65 y.,Direct migration background,Somewhat concerned,0.55140,427,830,0.51755,0.58526
1985,46-65 y.,Direct migration background,Not concerned at all,0.16727,197,830,0.14187,0.19268
1985,66 and older,No migration background,Very concerned,0.25482,272,1042,0.22835,0.28129
1985,66 and older,No migration background,Somewhat concerned,0.52217,543,1042,0.49182,0.55251
1985,66 and older,No migration background,Not concerned at all,0.22301,227,1042,0.19772,0.24830
1986,17-29 y.,No migration background,Very concerned,0.18304,382,2111,0.16654,0.19954
1986,17-29 y.,No migration background,Somewhat concerned,0.58180,1227,2111,0.56076,0.60285
1986,17-29 y.,No migration background,Not concerned at all,0.23515,502,2111,0.21706,0.25325
1986,17-29 y.,Direct migration background,Very concerned,0.15845,145,790,0.13297,0.18393
1986,17-29 y.,Direct migration background,Somewhat concerned,0.55756,419,790,0.52290,0.59221
1986,17-29 y.,Direct migration background,Not concerned at all,0.28399,226,790,0.25253,0.31546
1986,17-29 y.,Indirect migration background,Somewhat concerned,0.62270,71,107,0.53042,0.71498
1986,17-29 y.,Indirect migration background,Not concerned at all,0.27916,36,107,0.19376,0.36456
1986,30-45 y.,No migration background,Very concerned,0.19863,421,2123,0.18165,0.21560
1986,30-45 y.,No migration background,Somewhat concerned,0.61157,1303,2123,0.59084,0.63231
1986,30-45 y.,No migration background,Not concerned at all,0.18980,399,2123,0.17311,0.20648
1986,30-45 y.,Direct migration background,Very concerned,0.17103,170,1090,0.14867,0.19339
1986,30-45 y.,Direct migration background,Somewhat concerned,0.59623,635,1090,0.56709,0.62537
1986,30-45 y.,Direct migration background,Not concerned at all,0.23274,285,1090,0.20764,0.25784
1986,46-65 y.,No migration background,Very concerned,0.22341,505,2300,0.20639,0.24044
1986,46-65 y.,No migration background,Somewhat concerned,0.59091,1364,2300,0.57081,0.61101
1986,46-65 y.,No migration background,Not concerned at all,0.18567,431,2300,0.16978,0.20157
1986,46-65 y.,Direct migration background,Very concerned,0.17592,162,860,0.15045,0.20138
1986,46-65 y.,Direct migration background,Somewhat concerned,0.53725,444,860,0.50391,0.57060
1986,46-65 y.,Direct migration background,Not concerned at all,0.28683,254,860,0.25659,0.31708
1986,66 and older,No migration background,Very concerned,0.15646,155,957,0.13343,0.17949
1986,66 and older,No migration background,Somewhat concerned,0.50014,475,957,0.46845,0.53184
1986,66 and older,No migration background,Not concerned at all,0.34340,327,957,0.31329,0.37350
1987,17-29 y.,No migration background,Very concerned,0.17836,351,2051,0.16179,0.19493
1987,17-29 y.,No migration background,Somewhat concerned,0.62736,1279,2051,0.60643,0.64829
1987,17-29 y.,No migration background,Not concerned at all,0.19429,421,2051,0.17716,0.21141
1987,17-29 y.,Direct migration background,Very concerned,0.13156,111,783,0.10787,0.15525
1987,17-29 y.,Direct migration background,Somewhat concerned,0.64841,455,783,0.61494,0.68187
1987,17-29 y.,Direct migration background,Not concerned at all,0.22003,217,783,0.19100,0.24907
1987,17-29 y.,Indirect migration background,Somewhat concerned,0.62529,87,126,0.54043,0.71015
