"year","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2005","5.25","4.5","20543","3","4","6","7","7","5.23","5.27","1","7","5","6"
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","",""
"2009","","","","","","","","","","","","","",""
"2010","5.2","4.5","16544","3","4","6","7","7","5.18","5.22","1","7","5","5"
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","","","","","","","","","","","","","",""
"2014","","","","","","","","","","","","","",""
"2015","5.29","5.5","26491","3","4","6","7","7","5.27","5.31","1","7","6","6"
"2016","5.85","6.5","2956","4","5","7","7","7","5.81","5.89","1","7","7","7"
"2017","6.38","6.5","1821","5","6","7","7","7","6.33","6.43","1","7","7","7"
"2018","6.36","6.5","373","5","7","7","7","7","6.22","6.5","1","7","7","7"
"2019","6.16","6.5","258","4","6","7","7","7","5.99","6.33","1","7","7","7"
"2020","5.39","5.5","29333","4","5","6","7","7","5.37","5.41","1","7","6","6"
