"year","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","direkter Migrationshintergrund","5.37","5.5","2335","5.31","5.43"
"2005","indirekter Migrationshintergrund","5.34","5.5","823","5.24","5.44"
"2005","kein Migrationshintergrund","5.23","4.5","17385","5.21","5.25"
"2006","direkter Migrationshintergrund","","","","",""
"2006","indirekter Migrationshintergrund","","","","",""
"2006","kein Migrationshintergrund","","","","",""
"2007","direkter Migrationshintergrund","","","","",""
"2007","indirekter Migrationshintergrund","","","","",""
"2007","kein Migrationshintergrund","","","","",""
"2008","direkter Migrationshintergrund","","","","",""
"2008","indirekter Migrationshintergrund","","","","",""
"2008","kein Migrationshintergrund","","","","",""
"2009","direkter Migrationshintergrund","","","","",""
"2009","indirekter Migrationshintergrund","","","","",""
"2009","kein Migrationshintergrund","","","","",""
"2010","direkter Migrationshintergrund","5.35","5.5","1451","5.27","5.43"
"2010","indirekter Migrationshintergrund","5.44","5.5","652","5.32","5.56"
"2010","kein Migrationshintergrund","5.17","4.5","14441","5.15","5.19"
"2011","direkter Migrationshintergrund","","","","",""
"2011","indirekter Migrationshintergrund","","","","",""
"2011","kein Migrationshintergrund","","","","",""
"2012","direkter Migrationshintergrund","","","","",""
"2012","indirekter Migrationshintergrund","","","","",""
"2012","kein Migrationshintergrund","","","","",""
"2013","direkter Migrationshintergrund","","","","",""
"2013","indirekter Migrationshintergrund","","","","",""
"2013","kein Migrationshintergrund","","","","",""
"2014","direkter Migrationshintergrund","","","","",""
"2014","indirekter Migrationshintergrund","","","","",""
"2014","kein Migrationshintergrund","","","","",""
"2015","direkter Migrationshintergrund","5.48","5.5","5701","5.44","5.52"
"2015","indirekter Migrationshintergrund","5.37","5.5","1675","5.29","5.45"
"2015","kein Migrationshintergrund","5.25","5.5","19115","5.23","5.27"
"2016","direkter Migrationshintergrund","5.99","6.5","2924","5.95","6.03"
"2016","indirekter Migrationshintergrund","","","","",""
"2016","kein Migrationshintergrund","","","","",""
"2017","direkter Migrationshintergrund","6.38","6.5","1821","6.33","6.43"
"2017","indirekter Migrationshintergrund","","","","",""
"2017","kein Migrationshintergrund","","","","",""
"2018","direkter Migrationshintergrund","6.36","6.5","373","6.22","6.5"
"2018","indirekter Migrationshintergrund","","","","",""
"2018","kein Migrationshintergrund","","","","",""
"2019","direkter Migrationshintergrund","6.16","6.5","258","5.99","6.33"
"2019","indirekter Migrationshintergrund","","","","",""
"2019","kein Migrationshintergrund","","","","",""
"2020","direkter Migrationshintergrund","5.66","5.5","9076","5.63","5.69"
"2020","indirekter Migrationshintergrund","5.45","5.5","1671","5.38","5.52"
"2020","kein Migrationshintergrund","5.33","5.5","18586","5.31","5.35"
