"year","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","Laendlicher Raum","5.2","4.5","6917","5.16","5.24"
"2005","Staedtischer Raum","5.28","5.5","13626","5.26","5.3"
"2006","Laendlicher Raum","","","","",""
"2006","Staedtischer Raum","","","","",""
"2007","Laendlicher Raum","","","","",""
"2007","Staedtischer Raum","","","","",""
"2008","Laendlicher Raum","","","","",""
"2008","Staedtischer Raum","","","","",""
"2009","Laendlicher Raum","","","","",""
"2009","Staedtischer Raum","","","","",""
"2010","Laendlicher Raum","5.17","4.5","5745","5.13","5.21"
"2010","Staedtischer Raum","5.22","4.5","10799","5.19","5.25"
"2011","Laendlicher Raum","","","","",""
"2011","Staedtischer Raum","","","","",""
"2012","Laendlicher Raum","","","","",""
"2012","Staedtischer Raum","","","","",""
"2013","Laendlicher Raum","","","","",""
"2013","Staedtischer Raum","","","","",""
"2014","Laendlicher Raum","","","","",""
"2014","Staedtischer Raum","","","","",""
"2015","Laendlicher Raum","5.25","5.5","9261","5.22","5.28"
"2015","Staedtischer Raum","5.31","5.5","17230","5.29","5.33"
"2016","Laendlicher Raum","6.15","6.5","848","6.07","6.23"
"2016","Staedtischer Raum","5.75","5.5","2108","5.7","5.8"
"2017","Laendlicher Raum","6.54","6.5","597","6.44","6.64"
"2017","Staedtischer Raum","6.3","6.5","1224","6.24","6.36"
"2018","Laendlicher Raum","6.59","6.5","149","6.4","6.78"
"2018","Staedtischer Raum","6.24","6.5","224","6.05","6.43"
"2019","Laendlicher Raum","5.97","5.5","96","5.67","6.27"
"2019","Staedtischer Raum","6.25","6.5","162","6.05","6.45"
"2020","Laendlicher Raum","5.37","5.5","9506","5.34","5.4"
"2020","Staedtischer Raum","5.39","5.5","19827","5.37","5.41"
