"year","age_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"2005","17-34","maennlich","5.21","4.5","2523","5.15","5.27"
"2005","17-34","weiblich","5.08","4.5","2754","5.02","5.14"
"2005","35-65","maennlich","5.33","5.5","5596","5.29","5.37"
"2005","35-65","weiblich","5.28","5.5","5961","5.24","5.32"
"2005","66 +","maennlich","5.33","5.5","1713","5.26","5.4"
"2005","66 +","weiblich","5.2","4.5","1996","5.13","5.27"
"2006","17-34","maennlich","","","","",""
"2006","17-34","weiblich","","","","",""
"2006","35-65","maennlich","","","","",""
"2006","35-65","weiblich","","","","",""
"2006","66 +","maennlich","","","","",""
"2006","66 +","weiblich","","","","",""
"2007","17-34","maennlich","","","","",""
"2007","17-34","weiblich","","","","",""
"2007","35-65","maennlich","","","","",""
"2007","35-65","weiblich","","","","",""
"2007","66 +","maennlich","","","","",""
"2007","66 +","weiblich","","","","",""
"2008","17-34","maennlich","","","","",""
"2008","17-34","weiblich","","","","",""
"2008","35-65","maennlich","","","","",""
"2008","35-65","weiblich","","","","",""
"2008","66 +","maennlich","","","","",""
"2008","66 +","weiblich","","","","",""
"2009","17-34","maennlich","","","","",""
"2009","17-34","weiblich","","","","",""
"2009","35-65","maennlich","","","","",""
"2009","35-65","weiblich","","","","",""
"2009","66 +","maennlich","","","","",""
"2009","66 +","weiblich","","","","",""
"2010","17-34","maennlich","5.21","4.5","1697","5.14","5.28"
"2010","17-34","weiblich","5.14","4.5","1841","5.07","5.21"
"2010","35-65","maennlich","5.25","4.5","4293","5.21","5.29"
"2010","35-65","weiblich","5.17","4.5","4747","5.13","5.21"
"2010","66 +","maennlich","5.27","5.5","1896","5.2","5.34"
"2010","66 +","weiblich","5.15","4.5","2070","5.08","5.22"
"2011","17-34","maennlich","","","","",""
"2011","17-34","weiblich","","","","",""
"2011","35-65","maennlich","","","","",""
"2011","35-65","weiblich","","","","",""
"2011","66 +","maennlich","","","","",""
"2011","66 +","weiblich","","","","",""
"2012","17-34","maennlich","","","","",""
"2012","17-34","weiblich","","","","",""
"2012","35-65","maennlich","","","","",""
"2012","35-65","weiblich","","","","",""
"2012","66 +","maennlich","","","","",""
"2012","66 +","weiblich","","","","",""
"2013","17-34","maennlich","","","","",""
"2013","17-34","weiblich","","","","",""
"2013","35-65","maennlich","","","","",""
"2013","35-65","weiblich","","","","",""
"2013","66 +","maennlich","","","","",""
"2013","66 +","weiblich","","","","",""
"2014","17-34","maennlich","","","","",""
"2014","17-34","weiblich","","","","",""
"2014","35-65","maennlich","","","","",""
"2014","35-65","weiblich","","","","",""
"2014","66 +","maennlich","","","","",""
"2014","66 +","weiblich","","","","",""
"2015","17-34","maennlich","5.35","5.5","2987","5.3","5.4"
"2015","17-34","weiblich","5.27","4.5","3566","5.22","5.32"
"2015","35-65","maennlich","5.33","5.5","6823","5.3","5.36"
"2015","35-65","weiblich","5.22","5.5","8267","5.19","5.25"
"2015","66 +","maennlich","5.38","5.5","2375","5.32","5.44"
"2015","66 +","weiblich","5.25","5.5","2473","5.19","5.31"
"2016","17-34","maennlich","6.05","6.5","883","5.98","6.12"
"2016","17-34","weiblich","5.35","5.5","678","5.26","5.44"
"2016","35-65","maennlich","6.07","6.5","838","6","6.14"
"2016","35-65","weiblich","6.21","6.5","534","6.12","6.3"
"2016","66 +","maennlich","","","","",""
"2016","66 +","weiblich","","","","",""
"2017","17-34","maennlich","6.32","6.5","587","6.23","6.41"
"2017","17-34","weiblich","6.38","6.5","520","6.28","6.48"
"2017","35-65","maennlich","6.55","6.5","364","6.44","6.66"
"2017","35-65","weiblich","6.37","6.5","331","6.24","6.5"
"2017","66 +","maennlich","","","","",""
"2017","66 +","weiblich","","","","",""
"2018","17-34","maennlich","6.2","6.5","93","5.95","6.45"
"2018","17-34","weiblich","6.71","6.5","129","6.49","6.93"
"2018","35-65","maennlich","5.79","6.5","77","5.48","6.1"
"2018","35-65","weiblich","6.21","6.5","71","5.84","6.58"
"2018","66 +","maennlich","","","","",""
"2018","66 +","weiblich","","","","",""
"2019","17-34","maennlich","6.18","6.5","64","5.89","6.47"
"2019","17-34","weiblich","5.94","6.5","68","5.57","6.31"
"2019","35-65","maennlich","6.38","6.5","58","6.01","6.75"
"2019","35-65","weiblich","6.28","6.5","62","5.94","6.62"
"2019","66 +","maennlich","","","","",""
"2019","66 +","weiblich","","","","",""
"2020","17-34","maennlich","5.48","5.5","4182","5.44","5.52"
"2020","17-34","weiblich","5.35","5.5","3834","5.31","5.39"
"2020","35-65","maennlich","5.48","5.5","7931","5.45","5.51"
"2020","35-65","weiblich","5.3","5.5","8441","5.27","5.33"
"2020","66 +","maennlich","5.47","5.5","2454","5.42","5.52"
"2020","66 +","weiblich","5.25","5.5","2483","5.19","5.31"
