"year","age_gr","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2005","17-34","5.15","4.5","5277","3","4","6","7","7","5.11","5.19","1","7","5","5"
"2005","35-65","5.3","5.5","11557","3","4","7","7","7","5.27","5.33","1","7","6","6"
"2005","66 +","5.26","5.5","3709","3","4","7","7","7","5.21","5.31","1","7","6","6"
"2006","17-34","","","","","","","","","","","","","",""
"2006","35-65","","","","","","","","","","","","","",""
"2006","66 +","","","","","","","","","","","","","",""
"2007","17-34","","","","","","","","","","","","","",""
"2007","35-65","","","","","","","","","","","","","",""
"2007","66 +","","","","","","","","","","","","","",""
"2008","17-34","","","","","","","","","","","","","",""
"2008","35-65","","","","","","","","","","","","","",""
"2008","66 +","","","","","","","","","","","","","",""
"2009","17-34","","","","","","","","","","","","","",""
"2009","35-65","","","","","","","","","","","","","",""
"2009","66 +","","","","","","","","","","","","","",""
"2010","17-34","5.18","4.5","3538","3","4","6","7","7","5.13","5.23","1","7","5","5"
"2010","35-65","5.21","4.5","9040","3","4","6","7","7","5.18","5.24","1","7","5","5"
"2010","66 +","5.2","4.5","3966","3","4","7","7","7","5.15","5.25","1","7","5","6"
"2011","17-34","","","","","","","","","","","","","",""
"2011","35-65","","","","","","","","","","","","","",""
"2011","66 +","","","","","","","","","","","","","",""
"2012","17-34","","","","","","","","","","","","","",""
"2012","35-65","","","","","","","","","","","","","",""
"2012","66 +","","","","","","","","","","","","","",""
"2013","17-34","","","","","","","","","","","","","",""
"2013","35-65","","","","","","","","","","","","","",""
"2013","66 +","","","","","","","","","","","","","",""
"2014","17-34","","","","","","","","","","","","","",""
"2014","35-65","","","","","","","","","","","","","",""
"2014","66 +","","","","","","","","","","","","","",""
"2015","17-34","5.31","5.5","6553","3","5","6","7","7","5.27","5.35","1","7","6","6"
"2015","35-65","5.27","5.5","15090","3","4","6","7","7","5.25","5.29","1","7","6","6"
"2015","66 +","5.31","5.5","4848","3","4","7","7","7","5.27","5.35","1","7","6","6"
"2016","17-34","5.75","5.5","1561","4","4","7","7","7","5.69","5.81","1","7","7","7"
"2016","35-65","6.12","6.5","1372","4","6","7","7","7","6.06","6.18","1","7","7","7"
"2016","66 +","","","","","","","","","","","","","",""
"2017","17-34","6.34","6.5","1107","4","6","7","7","7","6.27","6.41","1","7","7","7"
"2017","35-65","6.46","6.5","695","5","6","7","7","7","6.37","6.55","1","7","7","7"
"2017","66 +","","","","","","","","","","","","","",""
"2018","17-34","6.53","6.5","222","5","7","7","7","7","6.37","6.69","1","7","7","7"
"2018","35-65","6.05","6.5","148","4","6","7","7","7","5.81","6.29","1","7","7","7"
"2018","66 +","","","","","","","","","","","","","",""
"2019","17-34","6.03","6.5","132","4","5","7","7","7","5.79","6.27","1","7","7","7"
"2019","35-65","6.33","6.5","120","4","6","7","7","7","6.08","6.58","1","7","7","7"
"2019","66 +","","","","","","","","","","","","","",""
"2020","17-34","5.42","5.5","8020","4","5","6","7","7","5.39","5.45","1","7","6","6"
"2020","35-65","5.39","5.5","16375","4","5","6","7","7","5.37","5.41","1","7","6","6"
"2020","66 +","5.34","5.5","4937","3","4","6","7","7","5.3","5.38","1","7","6","6"
