"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Laendlicher Raum","Ostdeutschland","5.17","4.5","3318","3","4","7","7","7","5.12","5.22","1","7","5","6"
"2005","Laendlicher Raum","Westdeutschland","5.21","4.5","3599","3","4","6","7","7","5.16","5.26","1","7","5","6"
"2005","Staedtischer Raum","Ostdeutschland","5.3","4.5","1693","4","4","7","7","7","5.23","5.37","1","7","5","6"
"2005","Staedtischer Raum","Westdeutschland","5.28","5.5","11933","3","4","6","7","7","5.25","5.31","1","7","6","6"
"2006","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2006","Laendlicher Raum","Westdeutschland","","","","","","","","","","","","","",""
"2006","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2006","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2007","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2007","Laendlicher Raum","Westdeutschland","","","","","","","","","","","","","",""
"2007","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2007","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2008","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2008","Laendlicher Raum","Westdeutschland","","","","","","","","","","","","","",""
"2008","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2008","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2009","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2009","Laendlicher Raum","Westdeutschland","","","","","","","","","","","","","",""
"2009","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2009","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2010","Laendlicher Raum","Ostdeutschland","5.21","4.5","2713","3","4","6","7","7","5.15","5.27","1","7","5","5"
"2010","Laendlicher Raum","Westdeutschland","5.15","4.5","3032","3","4","6","7","7","5.1","5.2","1","7","5","5"
"2010","Staedtischer Raum","Ostdeutschland","5.21","5.5","1396","3","4","6","7","7","5.14","5.28","1","7","5","6"
"2010","Staedtischer Raum","Westdeutschland","5.22","4.5","9403","3","4","6","7","7","5.19","5.25","1","7","5","6"
"2011","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2011","Laendlicher Raum","Westdeutschland","","","","","","","","","","","","","",""
"2011","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2011","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2012","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2012","Laendlicher Raum","Westdeutschland","","","","","","","","","","","","","",""
"2012","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2012","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2013","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2013","Laendlicher Raum","Westdeutschland","","","","","","","","","","","","","",""
"2013","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2013","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2014","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2014","Laendlicher Raum","Westdeutschland","","","","","","","","","","","","","",""
"2014","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2014","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2015","Laendlicher Raum","Ostdeutschland","5.2","4.5","3471","3","4","6","7","7","5.15","5.25","1","7","5","5"
"2015","Laendlicher Raum","Westdeutschland","5.27","5.5","5790","3","4","6","7","7","5.23","5.31","1","7","6","6"
"2015","Staedtischer Raum","Ostdeutschland","5.29","5.5","1913","4","4","6","7","7","5.23","5.35","1","7","6","6"
"2015","Staedtischer Raum","Westdeutschland","5.31","5.5","15317","3","4","6","7","7","5.29","5.33","1","7","6","6"
"2016","Laendlicher Raum","Ostdeutschland","6.29","6.5","284","4","7","7","7","7","6.18","6.4","1","7","7","7"
