"year","migback","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2005","direkter Migrationshintergrund","Ostdeutschland","5.58","5.5","98","5.26","5.9"
"2005","direkter Migrationshintergrund","Westdeutschland","5.36","5.5","2237","5.3","5.42"
"2005","indirekter Migrationshintergrund","Ostdeutschland","5.4","4.5","34","4.95","5.85"
"2005","indirekter Migrationshintergrund","Westdeutschland","5.34","5.5","789","5.24","5.44"
"2005","kein Migrationshintergrund","Ostdeutschland","5.21","4.5","4879","5.17","5.25"
"2005","kein Migrationshintergrund","Westdeutschland","5.24","4.5","12506","5.21","5.27"
"2006","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2006","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2006","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2006","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2006","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2006","kein Migrationshintergrund","Westdeutschland","","","","",""
"2007","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2007","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2007","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2007","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2007","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2007","kein Migrationshintergrund","Westdeutschland","","","","",""
"2008","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2008","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2008","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2008","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2008","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2008","kein Migrationshintergrund","Westdeutschland","","","","",""
"2009","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2009","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2009","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2009","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2009","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2009","kein Migrationshintergrund","Westdeutschland","","","","",""
"2010","direkter Migrationshintergrund","Ostdeutschland","5.77","5.5","62","5.41","6.13"
"2010","direkter Migrationshintergrund","Westdeutschland","5.34","5.5","1389","5.26","5.42"
"2010","indirekter Migrationshintergrund","Ostdeutschland","5.76","5.5","37","5.29","6.23"
"2010","indirekter Migrationshintergrund","Westdeutschland","5.43","5.5","615","5.31","5.55"
"2010","kein Migrationshintergrund","Ostdeutschland","5.19","4.5","4010","5.14","5.24"
