"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2005","Ostdeutschland","5.22","4.5","5011","3","4","7","7","7","5.18","5.26","1","7","5","6"
"2005","Westdeutschland","","","","","","","","","","","","","",""
"2006","Ostdeutschland","","","","","","","","","","","","","",""
"2006","Westdeutschland","","","","","","","","","","","","","",""
"2007","Ostdeutschland","","","","","","","","","","","","","",""
"2007","Westdeutschland","","","","","","","","","","","","","",""
"2008","Ostdeutschland","","","","","","","","","","","","","",""
"2008","Westdeutschland","","","","","","","","","","","","","",""
"2009","Ostdeutschland","","","","","","","","","","","","","",""
"2009","Westdeutschland","","","","","","","","","","","","","",""
"2010","Ostdeutschland","5.21","4.5","4109","3","4","6","7","7","5.17","5.25","1","7","5","5"
"2010","Westdeutschland","","","","","","","","","","","","","",""
"2011","Ostdeutschland","","","","","","","","","","","","","",""
"2011","Westdeutschland","","","","","","","","","","","","","",""
"2012","Ostdeutschland","","","","","","","","","","","","","",""
"2012","Westdeutschland","","","","","","","","","","","","","",""
"2013","Ostdeutschland","","","","","","","","","","","","","",""
"2013","Westdeutschland","","","","","","","","","","","","","",""
"2014","Ostdeutschland","","","","","","","","","","","","","",""
"2014","Westdeutschland","","","","","","","","","","","","","",""
"2015","Ostdeutschland","5.23","5.5","5384","3","4","6","7","7","5.19","5.27","1","7","5","6"
"2015","Westdeutschland","","","","","","","","","","","","","",""
"2016","Ostdeutschland","6.33","6.5","469","4","6","7","7","7","6.24","6.42","1","7","7","7"
"2016","Westdeutschland","","","","","","","","","","","","","",""
"2017","Ostdeutschland","","","","","","","","","","","","","",""
"2017","Westdeutschland","","","","","","","","","","","","","",""
"2018","Ostdeutschland","6.3","6.5","44","5","7","7","7","7","5.83","6.77","1","7","7","7"
"2018","Westdeutschland","6.38","6.5","329","5","7","7","7","7","6.24","6.52","1","7","7","7"
"2019","Ostdeutschland","","","","","","","","","","","","","",""
"2019","Westdeutschland","","","","","","","","","","","","","",""
"2020","Ostdeutschland","5.35","5.5","5824","3","4","6","7","7","5.31","5.39","1","7","6","6"
"2020","Westdeutschland","","","","","","","","","","","","","",""
