year,hhtyp,quintil_oecd_hh,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Single-person household,1st Quintile,No,0.88115,279,279,0.84311,0.91919
1991,Single-person household,2nd Quintile,No,0.86599,263,263,0.82474,0.90724
1991,Single-person household,3rd Quintile,No,0.86887,206,206,0.82267,0.91508
1991,Single-person household,4th Quintile,No,0.79075,199,199,0.73409,0.84741
1991,Single-person household,5th Quintile,"Yes, Regularly",0.16184,33,194,0.10988,0.21381
1991,Single-person household,5th Quintile,No,0.71911,161,194,0.65570,0.78252
1991,Couple without children,1st Quintile,No,0.97541,451,451,0.96110,0.98972
1991,Couple without children,2nd Quintile,No,0.90395,176,176,0.86029,0.94760
1991,Couple without children,3rd Quintile,No,0.95978,239,239,0.93482,0.98474
1991,Couple without children,4th Quintile,No,0.88009,291,291,0.84270,0.91748
1991,Couple without children,5th Quintile,"Yes, Regularly",0.12838,49,397,0.09543,0.16132
1991,Couple without children,5th Quintile,No,0.79219,348,397,0.75223,0.83216
1991,Single parent,2nd Quintile,No,0.98874,99,99,0.96785,1.00963
1991,Single parent,3rd Quintile,No,0.99281,62,62,0.97161,1.01401
1991,Single parent,4th Quintile,No,0.87462,49,49,0.78094,0.96830
1991,Couple with children,1st Quintile,No,0.99176,1043,1043,0.98627,0.99725
1991,Couple with children,2nd Quintile,No,0.97424,483,483,0.96010,0.98839
1991,Couple with children,3rd Quintile,No,0.95722,554,554,0.94035,0.97409
1991,Couple with children,4th Quintile,No,0.94907,496,496,0.92970,0.96844
1991,Couple with children,5th Quintile,"Yes, Regularly",0.12668,41,344,0.09148,0.16188
1991,Couple with children,5th Quintile,No,0.80996,303,344,0.76844,0.85148
1991,Multi-generational household,1st Quintile,No,0.95487,43,43,0.89208,1.01765
1991,Other Combinations,1st Quintile,No,0.95285,57,57,0.89734,1.00837
1994,Single-person household,1st Quintile,No,0.89246,377,377,0.86114,0.92377
1994,Single-person household,2nd Quintile,No,0.83719,218,218,0.78806,0.88631
1994,Single-person household,3rd Quintile,No,0.79233,227,227,0.73944,0.84521
1994,Single-person household,4th Quintile,No,0.80634,189,189,0.74985,0.86282
1994,Single-person household,5th Quintile,"Yes, Regularly",0.19317,33,190,0.13689,0.24946
1994,Single-person household,5th Quintile,No,0.67498,157,190,0.60820,0.74175
1994,Couple without children,1st Quintile,No,0.91601,243,243,0.88106,0.95096
1994,Couple without children,2nd Quintile,No,0.92850,302,302,0.89939,0.95761
1994,Couple without children,3rd Quintile,No,0.94001,301,301,0.91314,0.96689
1994,Couple without children,4th Quintile,No,0.91464,373,373,0.88625,0.94304
1994,Couple without children,5th Quintile,"Yes, Regularly",0.13575,51,452,0.10414,0.16737
1994,Couple without children,5th Quintile,No,0.78876,401,452,0.75109,0.82643
1994,Single parent,1st Quintile,No,0.95949,122,122,0.92436,0.99462
1994,Single parent,2nd Quintile,No,0.93388,86,86,0.88105,0.98670
1994,Single parent,3rd Quintile,No,0.89377,49,49,0.80659,0.98094
1994,Single parent,4th Quintile,No,0.87194,49,49,0.77741,0.96647
1994,Couple with children,1st Quintile,No,0.95041,467,467,0.93070,0.97012
1994,Couple with children,2nd Quintile,No,0.95339,663,663,0.93733,0.96944
1994,Couple with children,3rd Quintile,No,0.93794,638,638,0.91920,0.95667
1994,Couple with children,4th Quintile,No,0.90061,465,465,0.87339,0.92783
1994,Couple with children,5th Quintile,"Yes, Regularly",0.13513,40,340,0.09874,0.17152
1994,Couple with children,5th Quintile,No,0.77571,300,340,0.73130,0.82011
1994,Multi-generational household,2nd Quintile,No,0.88434,32,32,0.77175,0.99692
1994,Multi-generational household,3rd Quintile,No,0.91720,32,32,0.82019,1.01421
1994,Other Combinations,2nd Quintile,No,0.92684,35,35,0.83930,1.01437
1994,Other Combinations,4th Quintile,No,0.87752,35,35,0.76732,0.98772
1999,Single-person household,1st Quintile,No,0.90785,447,447,0.88101,0.93470
1999,Single-person household,2nd Quintile,No,0.85016,328,328,0.81148,0.88885
1999,Single-person household,3rd Quintile,No,0.88407,283,283,0.84671,0.92144
1999,Single-person household,4th Quintile,No,0.83653,225,225,0.78811,0.88496
1999,Single-person household,5th Quintile,"Yes, Regularly",0.17174,37,202,0.11960,0.22388
1999,Single-person household,5th Quintile,No,0.71412,165,202,0.65165,0.77658
1999,Couple without children,1st Quintile,No,0.94037,241,241,0.91042,0.97033
1999,Couple without children,2nd Quintile,No,0.96742,349,349,0.94876,0.98607
1999,Couple without children,3rd Quintile,No,0.95046,430,430,0.92992,0.97099
1999,Couple without children,4th Quintile,No,0.93346,500,500,0.91160,0.95533
1999,Couple without children,5th Quintile,"Yes, Regularly",0.16718,75,542,0.13573,0.19862
1999,Couple without children,5th Quintile,No,0.76195,467,542,0.72607,0.79784
1999,Single parent,1st Quintile,No,0.99106,199,199,0.97794,1.00417
1999,Single parent,2nd Quintile,No,0.94132,86,86,0.89135,0.99128
1999,Single parent,3rd Quintile,No,0.92760,73,73,0.86774,0.98746
1999,Single parent,4th Quintile,No,0.81114,40,40,0.68830,0.93398
1999,Couple with children,1st Quintile,No,0.97903,533,533,0.96685,0.99120
1999,Couple with children,2nd Quintile,No,0.97699,654,654,0.96549,0.98849
1999,Couple with children,3rd Quintile,No,0.97295,617,617,0.96014,0.98576
1999,Couple with children,4th Quintile,No,0.90540,469,469,0.87888,0.93192
1999,Couple with children,5th Quintile,"Yes, Regularly",0.17778,50,364,0.13845,0.21711
1999,Couple with children,5th Quintile,No,0.76750,314,364,0.72404,0.81095
2000,Single-person household,1st Quintile,"Yes, Regularly",0.04713,37,904,0.03331,0.06095
2000,Single-person household,1st Quintile,No,0.91634,867,904,0.89828,0.93440
2000,Single-person household,2nd Quintile,"Yes, Regularly",0.06809,39,657,0.04881,0.08736
2000,Single-person household,2nd Quintile,No,0.87739,618,657,0.85229,0.90249
2000,Single-person household,3rd Quintile,"Yes, Regularly",0.06499,33,571,0.04476,0.08523
2000,Single-person household,3rd Quintile,No,0.88163,538,571,0.85511,0.90815
2000,Single-person household,4th Quintile,"Yes, Regularly",0.07333,38,505,0.05057,0.09609
2000,Single-person household,4th Quintile,No,0.87760,467,505,0.84898,0.90621
2000,Single-person household,5th Quintile,"Yes, Regularly",0.19082,86,498,0.15628,0.22537
2000,Single-person household,5th Quintile,"Yes, Occasionally",0.08171,39,498,0.05763,0.10580
2000,Single-person household,5th Quintile,No,0.71941,373,498,0.67991,0.75891
2000,Couple without children,1st Quintile,No,0.96766,483,483,0.95187,0.98345
2000,Couple without children,2nd Quintile,No,0.96476,655,655,0.95063,0.97889
2000,Couple without children,3rd Quintile,No,0.95450,759,759,0.93966,0.96934
2000,Couple without children,4th Quintile,No,0.93082,869,869,0.91393,0.94770
2000,Couple without children,5th Quintile,"Yes, Regularly",0.12966,128,1068,0.10950,0.14982
2000,Couple without children,5th Quintile,"Yes, Occasionally",0.06062,63,1068,0.04630,0.07494
2000,Couple without children,5th Quintile,No,0.79927,877,1068,0.77523,0.82330
2000,Single parent,1st Quintile,No,0.96326,313,313,0.94238,0.98413
2000,Single parent,2nd Quintile,No,0.97330,155,155,0.94784,0.99876
2000,Single parent,3rd Quintile,No,0.92962,113,113,0.88224,0.97699
2000,Single parent,4th Quintile,No,0.89377,91,91,0.83012,0.95743
2000,Single parent,5th Quintile,No,0.76346,47,47,0.64065,0.88626
2000,Couple with children,1st Quintile,No,0.96797,727,727,0.95516,0.98078
2000,Couple with children,2nd Quintile,No,0.97746,1086,1086,0.96863,0.98629
2000,Couple with children,3rd Quintile,No,0.96382,1034,1034,0.95244,0.97521
2000,Couple with children,4th Quintile,"Yes, Regularly",0.03883,32,939,0.02646,0.05119
2000,Couple with children,4th Quintile,No,0.93137,907,939,0.91519,0.94755
2000,Couple with children,5th Quintile,"Yes, Regularly",0.16916,104,721,0.14178,0.19655
2000,Couple with children,5th Quintile,"Yes, Occasionally",0.04979,33,721,0.03390,0.06568
2000,Couple with children,5th Quintile,No,0.77204,584,721,0.74140,0.80268
2000,Multi-generational household,2nd Quintile,No,0.98819,44,44,0.95590,1.02048
2000,Multi-generational household,3rd Quintile,No,0.97460,35,35,0.92171,1.02749
2000,Multi-generational household,4th Quintile,No,0.91496,39,39,0.82628,1.00365
2000,Other Combinations,2nd Quintile,No,0.96233,32,32,0.89531,1.02935
2000,Other Combinations,4th Quintile,No,0.97714,32,32,0.92452,1.02975
2001,Single-person household,1st Quintile,No,0.93070,782,782,0.91288,0.94851
2001,Single-person household,2nd Quintile,"Yes, Regularly",0.07382,40,602,0.05292,0.09473
2001,Single-person household,2nd Quintile,"Yes, Occasionally",0.06543,32,602,0.04566,0.08520
2001,Single-person household,2nd Quintile,No,0.86057,530,602,0.83287,0.88826
2001,Single-person household,3rd Quintile,"Yes, Regularly",0.07586,34,516,0.05299,0.09873
2001,Single-person household,3rd Quintile,No,0.86684,482,516,0.83749,0.89618
2001,Single-person household,4th Quintile,"Yes, Regularly",0.08611,38,468,0.06067,0.11155
2001,Single-person household,4th Quintile,No,0.85384,430,468,0.82180,0.88588
2001,Single-person household,5th Quintile,"Yes, Regularly",0.21420,91,452,0.17633,0.25206
2001,Single-person household,5th Quintile,"Yes, Occasionally",0.08296,36,452,0.05751,0.10842
2001,Single-person household,5th Quintile,No,0.69984,325,452,0.65754,0.74214
2001,Couple without children,1st Quintile,No,0.97466,403,403,0.95930,0.99002
2001,Couple without children,2nd Quintile,No,0.96037,606,606,0.94482,0.97591
2001,Couple without children,3rd Quintile,No,0.93245,690,690,0.91371,0.95119
2001,Couple without children,4th Quintile,"Yes, Regularly",0.04458,34,818,0.03042,0.05873
2001,Couple without children,4th Quintile,No,0.91975,784,818,0.90113,0.93838
2001,Couple without children,5th Quintile,"Yes, Regularly",0.14721,123,977,0.12498,0.16944
2001,Couple without children,5th Quintile,"Yes, Occasionally",0.07537,67,977,0.05881,0.09193
2001,Couple without children,5th Quintile,No,0.77335,787,977,0.74708,0.79961
2001,Single parent,1st Quintile,No,0.99426,295,295,0.98562,1.00289
2001,Single parent,2nd Quintile,No,0.94141,167,167,0.90569,0.97714
2001,Single parent,3rd Quintile,No,0.93360,104,104,0.88552,0.98169
2001,Single parent,4th Quintile,No,0.89221,67,67,0.81739,0.96703
2001,Single parent,5th Quintile,No,0.66436,36,36,0.50792,0.82080
2001,Couple with children,1st Quintile,No,0.98862,637,637,0.98038,0.99686
2001,Couple with children,2nd Quintile,No,0.96885,973,973,0.95793,0.97977
2001,Couple with children,3rd Quintile,No,0.97726,973,973,0.96788,0.98663
2001,Couple with children,4th Quintile,"Yes, Regularly",0.04959,39,870,0.03516,0.06403
2001,Couple with children,4th Quintile,No,0.91978,831,870,0.90172,0.93784
2001,Couple with children,5th Quintile,"Yes, Regularly",0.19425,109,643,0.16365,0.22485
2001,Couple with children,5th Quintile,"Yes, Occasionally",0.05252,39,643,0.03526,0.06977
2001,Couple with children,5th Quintile,No,0.74907,495,643,0.71553,0.78261
2001,Multi-generational household,4th Quintile,No,0.98293,34,34,0.93873,1.02713
2002,Single-person household,1st Quintile,No,0.90568,734,734,0.88453,0.92684
2002,Single-person household,2nd Quintile,"Yes, Regularly",0.07637,35,546,0.05407,0.09866
2002,Single-person household,2nd Quintile,No,0.87334,511,546,0.84542,0.90127
2002,Single-person household,3rd Quintile,No,0.87685,465,465,0.84695,0.90675
2002,Single-person household,4th Quintile,"Yes, Regularly",0.07511,33,495,0.05187,0.09836
2002,Single-person household,4th Quintile,No,0.87110,462,495,0.84155,0.90065
2002,Single-person household,5th Quintile,"Yes, Regularly",0.17342,106,527,0.14107,0.20578
2002,Single-person household,5th Quintile,"Yes, Occasionally",0.07252,38,527,0.05036,0.09469
2002,Single-person household,5th Quintile,No,0.74580,383,527,0.70859,0.78301
2002,Couple without children,1st Quintile,No,0.96714,401,401,0.94967,0.98461
2002,Couple without children,2nd Quintile,No,0.96277,587,587,0.94744,0.97810
2002,Couple without children,3rd Quintile,No,0.94300,627,627,0.92484,0.96116
2002,Couple without children,4th Quintile,"Yes, Regularly",0.04619,32,773,0.03138,0.06099
2002,Couple without children,4th Quintile,No,0.92647,741,773,0.90806,0.94488
