year,hhtyp,regtyp,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Single-person household,Urban regions,"Yes, Regularly",0.09794,78,934,0.07887,0.11702
1991,Single-person household,Urban regions,"Yes, Occasionally",0.07054,56,934,0.05411,0.08697
1991,Single-person household,Urban regions,No,0.81572,800,934,0.79084,0.84060
1991,Single-person household,Rural regions,No,0.87172,301,301,0.83388,0.90956
1991,Couple without children,Urban regions,"Yes, Regularly",0.06246,56,1079,0.04801,0.07691
1991,Couple without children,Urban regions,"Yes, Occasionally",0.03734,32,1079,0.02602,0.04866
1991,Couple without children,Urban regions,No,0.88149,991,1079,0.86220,0.90079
1991,Couple without children,Rural regions,No,0.91307,507,507,0.88852,0.93762
1991,Single parent,Urban regions,No,0.92955,246,246,0.89750,0.96159
1991,Single parent,Rural regions,No,0.94837,110,110,0.90682,0.98991
1991,Couple with children,Urban regions,"Yes, Regularly",0.03983,48,1834,0.03088,0.04878
1991,Couple with children,Urban regions,No,0.92903,1786,1834,0.91727,0.94078
1991,Couple with children,Rural regions,No,0.96063,1068,1068,0.94896,0.97230
1991,Multi-generational household,Urban regions,No,0.96341,90,90,0.92441,1.00242
1991,Multi-generational household,Rural regions,No,0.93793,56,56,0.87416,1.00170
1991,Other Combinations,Urban regions,No,0.96308,80,80,0.92149,1.00466
1991,Other Combinations,Rural regions,No,0.89339,62,62,0.81595,0.97084
1994,Single-person household,Urban regions,"Yes, Regularly",0.09843,68,938,0.07935,0.11750
1994,Single-person household,Urban regions,"Yes, Occasionally",0.06358,48,938,0.04796,0.07920
1994,Single-person household,Urban regions,No,0.80157,822,938,0.77603,0.82711
1994,Single-person household,Rural regions,No,0.84399,349,349,0.80586,0.88211
1994,Couple without children,Urban regions,"Yes, Regularly",0.06762,59,1177,0.05327,0.08197
1994,Couple without children,Urban regions,"Yes, Occasionally",0.03790,34,1177,0.02698,0.04881
1994,Couple without children,Urban regions,No,0.86690,1084,1177,0.84749,0.88632
1994,Couple without children,Rural regions,No,0.92574,537,537,0.90355,0.94794
1994,Single parent,Urban regions,No,0.88042,220,220,0.83745,0.92340
1994,Single parent,Rural regions,No,0.94868,111,111,0.90745,0.98992
1994,Couple with children,Urban regions,"Yes, Regularly",0.05194,62,1691,0.04136,0.06252
1994,Couple with children,Urban regions,"Yes, Occasionally",0.02270,31,1691,0.01560,0.02980
1994,Couple with children,Urban regions,No,0.89740,1598,1691,0.88293,0.91186
1994,Couple with children,Rural regions,No,0.92527,935,935,0.90841,0.94214
1994,Multi-generational household,Urban regions,No,0.75151,68,68,0.64804,0.85499
1994,Multi-generational household,Rural regions,No,0.89781,52,52,0.81467,0.98094
1994,Other Combinations,Urban regions,No,0.91166,98,98,0.85519,0.96814
1994,Other Combinations,Rural regions,No,0.89589,58,58,0.81661,0.97518
1999,Single-person household,Urban regions,"Yes, Regularly",0.09330,82,1145,0.07645,0.11016
1999,Single-person household,Urban regions,"Yes, Occasionally",0.06693,60,1145,0.05245,0.08141
1999,Single-person household,Urban regions,No,0.82917,1003,1145,0.80736,0.85098
1999,Single-person household,Rural regions,No,0.89906,445,445,0.87104,0.92708
1999,Couple without children,Urban regions,"Yes, Regularly",0.07579,80,1407,0.06196,0.08963
1999,Couple without children,Urban regions,"Yes, Occasionally",0.03587,40,1407,0.02615,0.04559
1999,Couple without children,Urban regions,No,0.87902,1287,1407,0.86198,0.89607
1999,Couple without children,Rural regions,No,0.91751,700,700,0.89711,0.93790
1999,Single parent,Urban regions,No,0.93804,270,270,0.90923,0.96685
1999,Single parent,Rural regions,No,0.92025,157,157,0.87774,0.96276
1999,Couple with children,Urban regions,"Yes, Regularly",0.05994,65,1738,0.04878,0.07110
1999,Couple with children,Urban regions,"Yes, Occasionally",0.02276,33,1738,0.01575,0.02978
1999,Couple with children,Urban regions,No,0.91165,1640,1738,0.89830,0.92500
1999,Couple with children,Rural regions,No,0.95311,947,947,0.93964,0.96658
1999,Multi-generational household,Urban regions,No,0.85965,57,57,0.76867,0.95063
1999,Multi-generational household,Rural regions,No,0.89425,35,35,0.79089,0.99762
1999,Other Combinations,Urban regions,No,0.86469,37,37,0.75296,0.97643
2000,Single-person household,Urban regions,"Yes, Regularly",0.09429,188,2254,0.08222,0.10636
2000,Single-person household,Urban regions,"Yes, Occasionally",0.04679,91,2254,0.03807,0.05551
2000,Single-person household,Urban regions,No,0.84874,1975,2254,0.83395,0.86354
2000,Single-person household,Rural regions,"Yes, Regularly",0.05449,46,975,0.04024,0.06875
2000,Single-person household,Rural regions,"Yes, Occasionally",0.04032,36,975,0.02797,0.05268
2000,Single-person household,Rural regions,No,0.89829,893,975,0.87931,0.91728
2000,Couple without children,Urban regions,"Yes, Regularly",0.06382,155,2620,0.05446,0.07318
2000,Couple without children,Urban regions,"Yes, Occasionally",0.03468,86,2620,0.02767,0.04168
2000,Couple without children,Urban regions,No,0.89109,2379,2620,0.87916,0.90302
2000,Couple without children,Rural regions,"Yes, Regularly",0.03809,39,1303,0.02769,0.04848
2000,Couple without children,Rural regions,No,0.94228,1264,1303,0.92962,0.95495
2000,Single parent,Urban regions,No,0.93107,474,474,0.90824,0.95390
2000,Single parent,Rural regions,No,0.94637,245,245,0.91811,0.97464
2000,Couple with children,Urban regions,"Yes, Regularly",0.04949,120,2929,0.04163,0.05734
2000,Couple with children,Urban regions,"Yes, Occasionally",0.02295,61,2929,0.01752,0.02837
2000,Couple with children,Urban regions,No,0.91889,2748,2929,0.90900,0.92878
2000,Couple with children,Rural regions,"Yes, Regularly",0.02948,39,1629,0.02126,0.03769
2000,Couple with children,Rural regions,No,0.94515,1590,1629,0.93409,0.95621
2000,Multi-generational household,Urban regions,No,0.88706,91,91,0.82166,0.95245
2000,Multi-generational household,Rural regions,No,0.98965,66,66,0.96505,1.01425
2000,Other Combinations,Urban regions,No,0.91484,95,95,0.85842,0.97127
2000,Other Combinations,Rural regions,No,0.98169,56,56,0.94626,1.01712
2001,Single-person household,Urban regions,"Yes, Regularly",0.09888,178,2059,0.08599,0.11178
2001,Single-person household,Urban regions,"Yes, Occasionally",0.06006,109,2059,0.04980,0.07033
2001,Single-person household,Urban regions,No,0.83966,1772,2059,0.82381,0.85552
2001,Single-person household,Rural regions,"Yes, Regularly",0.07227,53,833,0.05467,0.08986
2001,Single-person household,Rural regions,No,0.88974,780,833,0.86846,0.91103
2001,Couple without children,Urban regions,"Yes, Regularly",0.07552,151,2365,0.06487,0.08617
2001,Couple without children,Urban regions,"Yes, Occasionally",0.04587,97,2365,0.03743,0.05430
2001,Couple without children,Urban regions,No,0.87212,2117,2365,0.85866,0.88558
2001,Couple without children,Rural regions,"Yes, Regularly",0.03719,34,1187,0.02642,0.04796
2001,Couple without children,Rural regions,No,0.93470,1153,1187,0.92064,0.94876
2001,Single parent,Urban regions,No,0.93442,437,437,0.91118,0.95766
2001,Single parent,Rural regions,No,0.94797,232,232,0.91933,0.97661
2001,Couple with children,Urban regions,"Yes, Regularly",0.06081,137,2676,0.05176,0.06987
2001,Couple with children,Urban regions,"Yes, Occasionally",0.02116,58,2676,0.01570,0.02661
2001,Couple with children,Urban regions,No,0.91127,2481,2676,0.90049,0.92204
2001,Couple with children,Rural regions,"Yes, Regularly",0.02726,34,1462,0.01891,0.03561
2001,Couple with children,Rural regions,No,0.95588,1428,1462,0.94535,0.96641
2001,Multi-generational household,Urban regions,No,0.90518,96,96,0.84626,0.96409
2001,Multi-generational household,Rural regions,No,0.96719,51,51,0.91781,1.01657
2001,Other Combinations,Urban regions,No,0.78594,70,70,0.68916,0.88272
2001,Other Combinations,Rural regions,No,0.91777,40,40,0.83155,1.00399
2002,Single-person household,Urban regions,"Yes, Regularly",0.08899,183,2062,0.07670,0.10128
2002,Single-person household,Urban regions,"Yes, Occasionally",0.05615,100,2062,0.04621,0.06609
2002,Single-person household,Urban regions,No,0.84583,1779,2062,0.83024,0.86142
2002,Single-person household,Rural regions,"Yes, Regularly",0.06620,48,828,0.04926,0.08315
2002,Single-person household,Rural regions,No,0.89416,780,828,0.87319,0.91513
2002,Couple without children,Urban regions,"Yes, Regularly",0.06743,223,2636,0.05785,0.07700
2002,Couple without children,Urban regions,"Yes, Occasionally",0.03592,112,2636,0.02881,0.04303
2002,Couple without children,Urban regions,No,0.89441,2301,2636,0.88267,0.90614
2002,Couple without children,Rural regions,"Yes, Regularly",0.02587,46,1228,0.01699,0.03475
2002,Couple without children,Rural regions,No,0.94723,1182,1228,0.93472,0.95974
2002,Single parent,Urban regions,No,0.94518,424,424,0.92348,0.96687
2002,Single parent,Rural regions,No,0.98560,245,245,0.97065,1.00055
2002,Couple with children,Urban regions,"Yes, Regularly",0.04509,210,2879,0.03751,0.05267
2002,Couple with children,Urban regions,"Yes, Occasionally",0.02013,75,2879,0.01500,0.02526
2002,Couple with children,Urban regions,No,0.93030,2594,2879,0.92100,0.93960
2002,Couple with children,Rural regions,"Yes, Regularly",0.01855,55,1462,0.01163,0.02547
2002,Couple with children,Rural regions,No,0.95852,1407,1462,0.94830,0.96875
2002,Multi-generational household,Urban regions,No,0.89830,82,82,0.83248,0.96413
2002,Multi-generational household,Rural regions,No,0.95557,54,54,0.90009,1.01104
2002,Other Combinations,Urban regions,No,0.87538,81,81,0.80300,0.94776
2002,Other Combinations,Rural regions,No,0.94757,34,34,0.87152,1.02362
2003,Single-person household,Urban regions,"Yes, Regularly",0.09439,183,2052,0.08174,0.10704
2003,Single-person household,Urban regions,"Yes, Occasionally",0.05624,101,2052,0.04627,0.06621
2003,Single-person household,Urban regions,No,0.84166,1768,2052,0.82586,0.85746
2003,Single-person household,Rural regions,"Yes, Regularly",0.06422,46,848,0.04771,0.08073
2003,Single-person household,Rural regions,"Yes, Occasionally",0.03831,34,848,0.02538,0.05123
2003,Single-person household,Rural regions,No,0.89747,768,848,0.87704,0.91790
2003,Couple without children,Urban regions,"Yes, Regularly",0.07519,226,2545,0.06494,0.08544
2003,Couple without children,Urban regions,"Yes, Occasionally",0.03650,107,2545,0.02921,0.04379
2003,Couple without children,Urban regions,No,0.88365,2212,2545,0.87119,0.89611
2003,Couple without children,Rural regions,"Yes, Regularly",0.03797,55,1236,0.02731,0.04863
2003,Couple without children,Rural regions,No,0.93776,1181,1236,0.92428,0.95123
2003,Single parent,Urban regions,No,0.93871,429,429,0.91599,0.96144
2003,Single parent,Rural regions,No,0.96303,228,228,0.93848,0.98758
2003,Couple with children,Urban regions,"Yes, Regularly",0.05089,214,2725,0.04264,0.05915
2003,Couple with children,Urban regions,"Yes, Occasionally",0.02493,77,2725,0.01907,0.03078
2003,Couple with children,Urban regions,No,0.91923,2434,2725,0.90900,0.92947
2003,Couple with children,Rural regions,"Yes, Regularly",0.02231,54,1393,0.01455,0.03007
2003,Couple with children,Rural regions,"Yes, Occasionally",0.02224,34,1393,0.01449,0.02998
2003,Couple with children,Rural regions,No,0.94884,1305,1393,0.93727,0.96041
2003,Multi-generational household,Urban regions,No,0.93525,69,69,0.87676,0.99374
2003,Multi-generational household,Rural regions,No,0.97592,43,43,0.92955,1.02228
2003,Other Combinations,Urban regions,No,0.86637,65,65,0.78301,0.94974
2003,Other Combinations,Rural regions,No,0.86190,33,33,0.74236,0.98144
2004,Single-person household,Urban regions,"Yes, Regularly",0.07362,140,1995,0.06216,0.08508
2004,Single-person household,Urban regions,"Yes, Occasionally",0.06039,108,1995,0.04993,0.07084
2004,Single-person household,Urban regions,No,0.86074,1747,1995,0.84554,0.87594
2004,Single-person household,Rural regions,"Yes, Regularly",0.06301,43,824,0.04641,0.07961
2004,Single-person household,Rural regions,No,0.89695,781,824,0.87618,0.91772
2004,Couple without children,Urban regions,"Yes, Regularly",0.05619,180,2571,0.04729,0.06509
2004,Couple without children,Urban regions,"Yes, Occasionally",0.04156,112,2571,0.03384,0.04927
2004,Couple without children,Urban regions,No,0.89980,2279,2571,0.88819,0.91141
2004,Couple without children,Rural regions,"Yes, Regularly",0.02862,44,1214,0.01923,0.03800
2004,Couple without children,Rural regions,No,0.94941,1170,1214,0.93707,0.96174
2004,Single parent,Urban regions,No,0.95721,429,429,0.93803,0.97638
2004,Single parent,Rural regions,No,0.96683,222,222,0.94322,0.99044
