year,quintil_oecd,plh0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Important,0.11103,185,1077,0.09226,0.12981
1990,1st Quintile,Less important,0.28663,481,1077,0.25962,0.31365
1990,1st Quintile,Unimportant,0.26680,411,1077,0.24037,0.29323
1990,2nd Quintile,Very important,0.01928,33,1324,0.01187,0.02669
1990,2nd Quintile,Important,0.14571,269,1324,0.12670,0.16472
1990,2nd Quintile,Less important,0.33609,641,1324,0.31063,0.36154
1990,2nd Quintile,Unimportant,0.21501,381,1324,0.19287,0.23715
1990,3rd Quintile,Very important,0.02798,48,1406,0.01936,0.03660
1990,3rd Quintile,Important,0.15862,288,1406,0.13952,0.17773
1990,3rd Quintile,Less important,0.36867,702,1406,0.34345,0.39390
1990,3rd Quintile,Unimportant,0.20657,368,1406,0.18540,0.22774
1990,4th Quintile,Very important,0.01485,32,1590,0.00890,0.02080
1990,4th Quintile,Important,0.18877,347,1590,0.16953,0.20802
1990,4th Quintile,Less important,0.45749,850,1590,0.43300,0.48199
1990,4th Quintile,Unimportant,0.18730,361,1590,0.16811,0.20648
1990,5th Quintile,Very important,0.02336,46,1663,0.01610,0.03062
1990,5th Quintile,Important,0.25366,466,1663,0.23274,0.27457
1990,5th Quintile,Less important,0.43664,826,1663,0.41280,0.46049
1990,5th Quintile,Unimportant,0.16822,325,1663,0.15023,0.18620
1992,1st Quintile,Very important,0.01523,43,2272,0.01019,0.02027
1992,1st Quintile,Important,0.07752,247,2272,0.06652,0.08851
1992,1st Quintile,Less important,0.27291,982,2272,0.25459,0.29123
1992,1st Quintile,Unimportant,0.34754,1000,2272,0.32796,0.36713
1992,2nd Quintile,Important,0.08400,287,2231,0.07248,0.09551
1992,2nd Quintile,Less important,0.33133,1147,2231,0.31179,0.35086
1992,2nd Quintile,Unimportant,0.26427,797,2231,0.24597,0.28258
1992,3rd Quintile,Very important,0.01724,39,2082,0.01165,0.02283
1992,3rd Quintile,Important,0.10295,290,2082,0.08989,0.11600
1992,3rd Quintile,Less important,0.35997,1094,2082,0.33935,0.38059
1992,3rd Quintile,Unimportant,0.25677,659,2082,0.23800,0.27554
1992,4th Quintile,Very important,0.01348,41,2105,0.00855,0.01840
1992,4th Quintile,Important,0.12275,322,2105,0.10873,0.13677
1992,4th Quintile,Less important,0.39727,1075,2105,0.37636,0.41818
1992,4th Quintile,Unimportant,0.26836,667,2105,0.24943,0.28729
1992,5th Quintile,Very important,0.02415,60,2175,0.01770,0.03060
1992,5th Quintile,Important,0.16622,405,2175,0.15057,0.18187
1992,5th Quintile,Less important,0.46605,1147,2175,0.44508,0.48702
1992,5th Quintile,Unimportant,0.21151,563,2175,0.19434,0.22868
1995,1st Quintile,Important,0.08486,222,1878,0.07225,0.09747
1995,1st Quintile,Less important,0.27806,851,1878,0.25779,0.29833
1995,1st Quintile,Unimportant,0.28629,805,1878,0.26584,0.30674
1995,2nd Quintile,Important,0.08461,273,2235,0.07307,0.09615
