year,regtyp,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.08141,1031,11682,0.07645,0.08637
2009,Urban regions,No,0.75978,10651,11682,0.75203,0.76753
2009,Rural regions,Yes,0.08548,623,6336,0.07860,0.09237
2009,Rural regions,No,0.76322,5713,6336,0.75275,0.77369
2011,Urban regions,Yes,0.07512,1222,13360,0.07065,0.07959
2011,Urban regions,No,0.69097,12138,13360,0.68313,0.69881
2011,Rural regions,Yes,0.07975,748,7385,0.07357,0.08593
2011,Rural regions,No,0.68887,6637,7385,0.67831,0.69943
2013,Urban regions,Yes,0.07802,1216,12047,0.07323,0.08281
2013,Urban regions,No,0.61900,10831,12047,0.61032,0.62767
2013,Rural regions,Yes,0.08419,734,6819,0.07760,0.09078
2013,Rural regions,No,0.65692,6085,6819,0.64565,0.66819
2015,Urban regions,Yes,0.08206,1311,16171,0.07783,0.08629
2015,Urban regions,No,0.73785,14860,16171,0.73107,0.74463
2015,Rural regions,Yes,0.08803,774,8869,0.08214,0.09393
2015,Rural regions,No,0.74840,8095,8869,0.73937,0.75743
2017,Urban regions,Yes,0.07794,1311,17147,0.07393,0.08195
2017,Urban regions,No,0.75389,15836,17147,0.74744,0.76034
2017,Rural regions,Yes,0.08875,836,9402,0.08300,0.09449
2017,Rural regions,No,0.75003,8566,9402,0.74128,0.75878
2019,Urban regions,Yes,0.08045,1399,16365,0.07628,0.08461
2019,Urban regions,No,0.74916,14966,16365,0.74251,0.75580
2019,Rural regions,Yes,0.09545,842,8806,0.08932,0.10159
2019,Rural regions,No,0.73851,7964,8806,0.72933,0.74768
2021,Urban regions,Yes,0.08720,1085,12996,0.08235,0.09205
2021,Urban regions,No,0.73473,11911,12996,0.72714,0.74232
2021,Rural regions,Yes,0.09715,616,6170,0.08976,0.10454
2021,Rural regions,No,0.72866,5554,6170,0.71757,0.73976
