year,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Yes,0.08272,1654,18018,0.07870,0.08675
2009,No,0.76089,16364,18018,0.75466,0.76712
2011,Yes,0.07663,1970,20745,0.07301,0.08025
2011,No,0.69029,18775,20745,0.68399,0.69658
2013,Yes,0.08003,1950,18866,0.07616,0.08390
2013,No,0.63136,16916,18866,0.62447,0.63824
2015,Yes,0.08398,2085,25040,0.08054,0.08741
2015,No,0.74123,22955,25040,0.73581,0.74666
2017,Yes,0.08133,2147,26549,0.07804,0.08461
2017,No,0.75268,24402,26549,0.74749,0.75787
2019,Yes,0.08538,2304,25725,0.08197,0.08880
2019,No,0.74589,23421,25725,0.74057,0.75121
2021,Yes,0.09035,1701,19167,0.08629,0.09441
2021,No,0.73285,17466,19167,0.72659,0.73912
