year,regtyp,sampreg,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,West,Yes,0.49892,4658,8913,0.48854,0.50930
2015,Urban regions,West,No,0.47336,4255,8913,0.46299,0.48373
2015,Urban regions,East,Yes,0.61364,734,1158,0.58558,0.64169
2015,Urban regions,East,No,0.35617,424,1158,0.32857,0.38376
2015,Rural regions,West,Yes,0.53547,1824,3225,0.51825,0.55268
2015,Rural regions,West,No,0.43289,1401,3225,0.41579,0.45000
2015,Rural regions,East,Yes,0.58962,1282,2039,0.56827,0.61098
2015,Rural regions,East,No,0.37888,757,2039,0.35782,0.39994
2016,Urban regions,West,Yes,0.56274,4734,8175,0.55199,0.57350
2016,Urban regions,West,No,0.42179,3441,8175,0.41108,0.43249
2016,Urban regions,East,Yes,0.64051,737,1113,0.61230,0.66871
2016,Urban regions,East,No,0.34935,376,1113,0.32133,0.37738
2016,Rural regions,West,Yes,0.58457,1780,2952,0.56679,0.60235
2016,Rural regions,West,No,0.40142,1172,2952,0.38374,0.41911
2016,Rural regions,East,Yes,0.66233,1316,1948,0.64132,0.68333
2016,Rural regions,East,No,0.32615,632,1948,0.30532,0.34697
2017,Urban regions,West,Yes,0.58666,5512,8932,0.57645,0.59687
2017,Urban regions,West,No,0.39739,3420,8932,0.38724,0.40754
2017,Urban regions,East,Yes,0.66401,831,1219,0.63748,0.69054
2017,Urban regions,East,No,0.30930,388,1219,0.28334,0.33526
2017,Rural regions,West,Yes,0.59983,2025,3229,0.58293,0.61673
2017,Rural regions,West,No,0.38673,1204,3229,0.36993,0.40353
2017,Rural regions,East,Yes,0.65307,1446,2180,0.63308,0.67306
2017,Rural regions,East,No,0.33778,734,2180,0.31793,0.35764
2018,Urban regions,West,Yes,0.61389,5550,8840,0.60374,0.62404
2018,Urban regions,West,No,0.37138,3290,8840,0.36130,0.38145
2018,Urban regions,East,Yes,0.69437,875,1234,0.66866,0.72009
2018,Urban regions,East,No,0.28088,359,1234,0.25579,0.30596
2018,Rural regions,West,Yes,0.61342,1940,3081,0.59622,0.63062
2018,Rural regions,West,No,0.37416,1141,3081,0.35707,0.39125
2018,Rural regions,East,Yes,0.67770,1476,2174,0.65805,0.69735
2018,Rural regions,East,No,0.31493,698,2174,0.29540,0.33446
2019,Urban regions,West,Yes,0.56139,4570,7175,0.54990,0.57287
2019,Urban regions,West,No,0.34053,2605,7175,0.32957,0.35150
2019,Urban regions,East,Yes,0.64397,735,1009,0.61441,0.67353
2019,Urban regions,East,No,0.24665,274,1009,0.22004,0.27326
2019,Rural regions,West,Yes,0.55716,1620,2542,0.53785,0.57648
2019,Rural regions,West,No,0.34836,922,2542,0.32984,0.36689
2019,Rural regions,East,Yes,0.63063,1247,1823,0.60847,0.65279
2019,Rural regions,East,No,0.28623,576,1823,0.26548,0.30699
2020,Urban regions,West,Yes,0.63192,5909,9547,0.62224,0.64159
2020,Urban regions,West,No,0.34836,3638,9547,0.33880,0.35792
2020,Urban regions,East,Yes,0.69537,907,1271,0.67006,0.72069
2020,Urban regions,East,No,0.28090,364,1271,0.25618,0.30562
2020,Rural regions,West,Yes,0.61882,2007,3104,0.60173,0.63591
2020,Rural regions,West,No,0.36077,1097,3104,0.34387,0.37767
2020,Rural regions,East,Yes,0.69625,1506,2128,0.67670,0.71579
2020,Rural regions,East,No,0.29609,622,2128,0.27669,0.31549
2021,Urban regions,West,Yes,0.55725,3684,5741,0.54440,0.57010
2021,Urban regions,West,No,0.31706,2057,5741,0.30502,0.32910
2021,Urban regions,East,Yes,0.61729,598,800,0.58359,0.65100
2021,Urban regions,East,No,0.22907,202,800,0.19994,0.25821
2021,Rural regions,West,Yes,0.56392,1289,1952,0.54191,0.58592
2021,Rural regions,West,No,0.33504,663,1952,0.31410,0.35599
2021,Rural regions,East,Yes,0.63962,965,1358,0.61408,0.66517
2021,Rural regions,East,No,0.26992,393,1358,0.24630,0.29354
2022,Urban regions,West,Yes,0.60615,7124,11135,0.59708,0.61523
2022,Urban regions,West,No,0.35986,4011,11135,0.35094,0.36877
2022,Urban regions,East,Yes,0.66310,1093,1570,0.63971,0.68649
2022,Urban regions,East,No,0.29031,477,1570,0.26785,0.31277
2022,Rural regions,West,Yes,0.63022,2318,3416,0.61403,0.64641
2022,Rural regions,West,No,0.34342,1098,3416,0.32749,0.35934
2022,Rural regions,East,Yes,0.71392,1852,2534,0.69632,0.73152
2022,Rural regions,East,No,0.27154,682,2534,0.25422,0.28886
