,Unnamed: 0,year,regtyp,rentown,hgeqpinsul,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,Urban regions,Owner,Yes,0.62533,2688,15335,0.59946,0.65277
1,1,2015,Urban regions,Owner,No,0.37467,1321,15335,0.35591,0.39824
2,2,2015,Urban regions,Tenant,Yes,0.44608,2694,15335,0.42831,0.46394
3,3,2015,Urban regions,Tenant,No,0.55392,3355,15335,0.5317,0.57445
4,4,2015,Rural regions,Owner,Yes,0.63452,1792,15335,0.60246,0.66935
5,5,2015,Rural regions,Owner,No,0.36548,869,15335,0.34098,0.38975
6,6,2015,Rural regions,Tenant,Yes,0.50911,1324,15335,0.4816,0.54416
7,7,2015,Rural regions,Tenant,No,0.49089,1292,15335,0.46382,0.5199
8,8,2016,Urban regions,Owner,Yes,0.6792,2665,14187,0.65118,0.70594
9,9,2016,Urban regions,Owner,No,0.3208,1093,14187,0.30174,0.34207
10,10,2016,Urban regions,Tenant,Yes,0.50102,2796,14187,0.47988,0.52194
11,11,2016,Urban regions,Tenant,No,0.49898,2721,14187,0.48078,0.51881
12,12,2016,Rural regions,Owner,Yes,0.66672,1766,14187,0.6314,0.69435
13,13,2016,Rural regions,Owner,No,0.33328,767,14187,0.30529,0.35752
14,14,2016,Rural regions,Tenant,Yes,0.57055,1340,14187,0.53823,0.60026
15,15,2016,Rural regions,Tenant,No,0.42945,1039,14187,0.39908,0.46448
16,16,2017,Urban regions,Owner,Yes,0.69413,3116,15560,0.67007,0.71677
17,17,2017,Urban regions,Owner,No,0.30587,1130,15560,0.28861,0.32251
18,18,2017,Urban regions,Tenant,Yes,0.53163,3212,15560,0.51328,0.54928
19,19,2017,Urban regions,Tenant,No,0.46837,2674,15560,0.4481,0.4871
20,20,2017,Rural regions,Owner,Yes,0.68452,1991,15560,0.66152,0.71546
21,21,2017,Rural regions,Owner,No,0.31548,820,15560,0.29566,0.33662
22,22,2017,Rural regions,Tenant,Yes,0.5652,1495,15560,0.53186,0.59829
23,23,2017,Rural regions,Tenant,No,0.4348,1122,15560,0.40505,0.46788
24,24,2018,Urban regions,Owner,Yes,0.71691,3022,15329,0.68843,0.7412
25,25,2018,Urban regions,Owner,No,0.28309,1040,15329,0.26762,0.30142
26,26,2018,Urban regions,Tenant,Yes,0.56136,3391,15329,0.53887,0.58246
27,27,2018,Urban regions,Tenant,No,0.43864,2605,15329,0.41981,0.45706
28,28,2018,Rural regions,Owner,Yes,0.69337,1917,15329,0.65963,0.72534
29,29,2018,Rural regions,Owner,No,0.30663,767,15329,0.28716,0.33246
30,30,2018,Rural regions,Tenant,Yes,0.58987,1511,15329,0.55367,0.62528
31,31,2018,Rural regions,Tenant,No,0.41013,1076,15329,0.38542,0.43954
32,32,2019,Urban regions,Owner,Yes,0.71192,2623,12549,0.68546,0.74562
33,33,2019,Urban regions,Owner,No,0.28808,920,12549,0.26767,0.30591
34,34,2019,Urban regions,Tenant,Yes,0.56065,2672,12549,0.54066,0.58137
35,35,2019,Urban regions,Tenant,No,0.43935,1956,12549,0.41906,0.462
36,36,2019,Rural regions,Owner,Yes,0.69319,1705,12549,0.65563,0.72951
37,37,2019,Rural regions,Owner,No,0.30681,687,12549,0.28296,0.33186
38,38,2019,Rural regions,Tenant,Yes,0.58103,1172,12549,0.55032,0.62446
39,39,2019,Rural regions,Tenant,No,0.41897,814,12549,0.38529,0.45772
40,40,2020,Urban regions,Owner,Yes,0.73171,3262,16050,0.70609,0.76052
41,41,2020,Urban regions,Owner,No,0.26829,1003,16050,0.25035,0.28791
42,42,2020,Urban regions,Tenant,Yes,0.58521,3542,16050,0.5647,0.60836
43,43,2020,Urban regions,Tenant,No,0.41479,2990,16050,0.39101,0.43353
44,44,2020,Rural regions,Owner,Yes,0.70626,1982,16050,0.67194,0.74751
45,45,2020,Rural regions,Owner,No,0.29374,700,16050,0.27133,0.31272
46,46,2020,Rural regions,Tenant,Yes,0.60424,1543,16050,0.57426,0.63788
47,47,2020,Rural regions,Tenant,No,0.39576,1028,16050,0.36747,0.42614
48,48,2021,Urban regions,Owner,Yes,0.72795,2175,9847,0.69542,0.75994
49,49,2021,Urban regions,Owner,No,0.27205,660,9847,0.24816,0.29776
50,50,2021,Urban regions,Tenant,Yes,0.57299,2100,9847,0.54558,0.60514
51,51,2021,Urban regions,Tenant,No,0.42701,1597,9847,0.4009,0.45218
52,52,2021,Rural regions,Owner,Yes,0.70784,1335,9847,0.66624,0.75213
53,53,2021,Rural regions,Owner,No,0.29216,472,9847,0.26366,0.32605
54,54,2021,Rural regions,Tenant,Yes,0.59605,923,9847,0.54865,0.64338
55,55,2021,Rural regions,Tenant,No,0.40395,585,9847,0.36203,0.4419
