,Unnamed: 0,year,hgeqpinsul,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,Yes,0.54025,8498,15335,0.52766,0.55157
1,1,2015,No,0.45975,6837,15335,0.44903,0.47083
2,2,2016,Yes,0.59219,8567,14188,0.57782,0.6048
3,3,2016,No,0.40781,5621,14188,0.39578,0.42064
4,4,2017,Yes,0.61124,9814,15560,0.59745,0.62339
5,5,2017,No,0.38876,5746,15560,0.37736,0.39729
6,6,2018,Yes,0.63492,9841,15329,0.62009,0.64643
7,7,2018,No,0.36508,5488,15329,0.3539,0.37688
8,8,2019,Yes,0.63467,8172,12549,0.62191,0.64932
9,9,2019,No,0.36533,4377,12549,0.35164,0.37922
10,10,2020,Yes,0.65304,10329,16050,0.6395,0.67008
11,11,2020,No,0.34696,5721,16050,0.33586,0.35835
12,12,2021,Yes,0.64929,6536,9851,0.63028,0.66951
13,13,2021,No,0.35071,3315,9851,0.33469,0.36776
