year,hhtyp,quintil_oecd_hh,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,1st Quintile,Yes,0.39653,403,1008,0.36632,0.42675
2015,Single-person household,1st Quintile,No,0.60347,605,1008,0.57325,0.63368
2015,Single-person household,2nd Quintile,Yes,0.43466,353,786,0.39999,0.46934
2015,Single-person household,2nd Quintile,No,0.56534,433,786,0.53066,0.60001
2015,Single-person household,3rd Quintile,Yes,0.49974,316,634,0.46079,0.53870
2015,Single-person household,3rd Quintile,No,0.50026,318,634,0.46130,0.53921
2015,Single-person household,4th Quintile,Yes,0.53724,304,551,0.49557,0.57891
2015,Single-person household,4th Quintile,No,0.46276,247,551,0.42109,0.50443
2015,Single-person household,5th Quintile,Yes,0.55843,293,523,0.51583,0.60103
2015,Single-person household,5th Quintile,No,0.44157,230,523,0.39897,0.48417
2015,Couple without children,1st Quintile,Yes,0.47101,206,483,0.42645,0.51558
2015,Couple without children,1st Quintile,No,0.52899,277,483,0.48442,0.57355
2015,Couple without children,2nd Quintile,Yes,0.53137,418,769,0.49607,0.56666
2015,Couple without children,2nd Quintile,No,0.46863,351,769,0.43334,0.50393
2015,Couple without children,3rd Quintile,Yes,0.62724,474,794,0.59359,0.66090
2015,Couple without children,3rd Quintile,No,0.37276,320,794,0.33910,0.40641
2015,Couple without children,4th Quintile,Yes,0.58698,548,915,0.55506,0.61890
2015,Couple without children,4th Quintile,No,0.41302,367,915,0.38110,0.44494
2015,Couple without children,5th Quintile,Yes,0.67201,880,1305,0.64653,0.69749
2015,Couple without children,5th Quintile,No,0.32799,425,1305,0.30251,0.35347
2015,Single parent,1st Quintile,Yes,0.42669,301,708,0.39023,0.46315
2015,Single parent,1st Quintile,No,0.57331,407,708,0.53685,0.60977
2015,Single parent,2nd Quintile,Yes,0.44275,215,425,0.39547,0.49003
2015,Single parent,2nd Quintile,No,0.55725,210,425,0.50997,0.60453
2015,Single parent,3rd Quintile,Yes,0.52652,137,255,0.46511,0.58792
2015,Single parent,3rd Quintile,No,0.47348,118,255,0.41208,0.53489
2015,Single parent,4th Quintile,Yes,0.51084,110,170,0.43547,0.58621
2015,Single parent,4th Quintile,No,0.48916,60,170,0.41379,0.56453
2015,Single parent,5th Quintile,Yes,0.72830,64,64,0.61845,0.83814
2015,Couple with children,1st Quintile,Yes,0.36794,427,1084,0.33922,0.39666
2015,Couple with children,1st Quintile,No,0.63206,657,1084,0.60334,0.66078
2015,Couple with children,2nd Quintile,Yes,0.53832,645,1208,0.51019,0.56644
2015,Couple with children,2nd Quintile,No,0.46168,563,1208,0.43356,0.48981
2015,Couple with children,3rd Quintile,Yes,0.65146,770,1200,0.62449,0.67843
2015,Couple with children,3rd Quintile,No,0.34854,430,1200,0.32157,0.37551
2015,Couple with children,4th Quintile,Yes,0.67479,736,1075,0.64677,0.70281
2015,Couple with children,4th Quintile,No,0.32521,339,1075,0.29719,0.35323
2015,Couple with children,5th Quintile,Yes,0.72548,723,970,0.69738,0.75358
