year,sampreg,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,West,Yes,0.52305,6482,12138,0.51416,0.53193
2015,West,No,0.47695,5656,12138,0.46807,0.48584
2015,East,Yes,0.61760,2016,3197,0.60075,0.63445
2015,East,No,0.38240,1181,3197,0.36555,0.39925
2016,West,Yes,0.57684,6514,11127,0.56765,0.58602
2016,West,No,0.42316,4613,11127,0.41398,0.43235
2016,East,Yes,0.66165,2053,3061,0.64488,0.67841
2016,East,No,0.33835,1008,3061,0.32159,0.35512
2017,West,Yes,0.59901,7537,12161,0.59030,0.60772
2017,West,No,0.40099,4624,12161,0.39228,0.40970
2017,East,Yes,0.66757,2277,3399,0.65173,0.68341
2017,East,No,0.33243,1122,3399,0.31659,0.34827
2018,West,Yes,0.62260,7490,11921,0.61390,0.63130
2018,West,No,0.37740,4431,11921,0.36870,0.38610
2018,East,Yes,0.69349,2351,3408,0.67800,0.70897
2018,East,No,0.30651,1057,3408,0.29103,0.32200
2019,West,Yes,0.62070,6190,9717,0.61106,0.63035
2019,West,No,0.37930,3527,9717,0.36965,0.38894
2019,East,Yes,0.70046,1982,2832,0.68358,0.71733
2019,East,No,0.29954,850,2832,0.28267,0.31642
2020,West,Yes,0.64151,7916,12651,0.63315,0.64987
2020,West,No,0.35849,4735,12651,0.35013,0.36685
2020,East,Yes,0.70553,2413,3399,0.69020,0.72085
2020,East,No,0.29447,986,3399,0.27915,0.30980
2021,West,Yes,0.63486,4973,7693,0.62410,0.64562
2021,West,No,0.36514,2720,7693,0.35438,0.37590
2021,East,Yes,0.71181,1563,2158,0.69269,0.73092
2021,East,No,0.28819,595,2158,0.26908,0.30731
2022,West,Yes,0.63244,9442,14551,0.62461,0.64028
2022,West,No,0.36756,5109,14551,0.35972,0.37539
2022,East,Yes,0.71334,2945,4104,0.69951,0.72718
2022,East,No,0.28666,1159,4104,0.27282,0.30049
