"hgeqpinsul","year","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2015","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","2","3339","0.471045437714826","0.459339519908727","0.482751355520925"
"Ja","2015","3","4595","0.568383447541571","0.557365440270455","0.579401454812686"
"Ja","2015","4","5829","0.595735099287662","0.585800617249856","0.605669581325468"
"Ja","2015","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","2","3646","0.528954562285174","0.517248644479075","0.540660480091273"
"Nein","2015","3","3168","0.43161655245843","0.420598545187314","0.442634559729545"
"Nein","2015","4","3545","0.404264900712338","0.394330418674532","0.414199382750144"
"Nein","2015","5 Einkommensstärkstes Quintil","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","","","",""
"Ja","2016","2","3121","0.501704511178655","0.489169523858087","0.514239498499223"
"Ja","2016","3","4152","0.588584508529749","0.576874696993292","0.600294320066207"
"Ja","2016","4","6185","0.666088862756586","0.656469757115857","0.675707968397315"
"Ja","2016","5 Einkommensstärkstes Quintil","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","","","",""
"Nein","2016","2","2991","","",""
"Nein","2016","3","2632","","",""
"Nein","2016","4","3049","0.333911137243414","0.324292031602685","0.343530242884143"
"Nein","2016","5 Einkommensstärkstes Quintil","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","","","",""
"Ja","2017","2","3257","0.558343945187375","0.545397813681451","0.571290076693299"
"Ja","2017","3","4512","0.603145460041068","0.591876715716511","0.614414204365624"
"Ja","2017","4","7006","0.679759707818391","0.670662761581084","0.688856654055699"
"Ja","2017","5 Einkommensstärkstes Quintil","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","","","",""
"Nein","2017","2","2395","","",""
"Nein","2017","3","2729","","",""
"Nein","2017","4","3099","0.320240292181609","0.311143345944301","0.329337238418916"
"Nein","2017","5 Einkommensstärkstes Quintil","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","","","",""
"Ja","2018","2","2683","","",""
"Ja","2018","3","4323","0.631138186019659","0.619668498440852","0.642607873598466"
"Ja","2018","4","6998","0.661756248542016","0.652604791896825","0.670907705187208"
"Ja","2018","5 Einkommensstärkstes Quintil","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","","","",""
"Nein","2018","2","2218","","",""
"Nein","2018","3","2475","","",""
"Nein","2018","4","3269","0.338243751457984","0.329092294812792","0.347395208103175"
"Nein","2018","5 Einkommensstärkstes Quintil","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","","","",""
"Ja","2019","2","1998","","",""
"Ja","2019","3","3233","0.620292420094277","0.606917797097006","0.633667043091548"
"Ja","2019","4","5716","0.667244730779526","0.657219923392117","0.677269538166934"
"Ja","2019","5 Einkommensstärkstes Quintil","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","","","",""
"Nein","2019","2","1644","","",""
"Nein","2019","3","1825","","",""
"Nein","2019","4","2771","","",""
"Nein","2019","5 Einkommensstärkstes Quintil","","","",""
"Ja","2020","1 Einkommensschwächstes Quintil","","","",""
"Ja","2020","2","2226","","",""
"Ja","2020","3","3243","0.625982584836385","0.613040984435129","0.63892418523764"
"Ja","2020","4","6686","0.678522261191514","0.669417407377514","0.687627115005515"
"Ja","2020","5 Einkommensstärkstes Quintil","","","",""
"Nein","2020","1 Einkommensschwächstes Quintil","","","",""
"Nein","2020","2","1890","","",""
"Nein","2020","3","2127","","",""
"Nein","2020","4","3422","0.321477738808486","0.312372884994485","0.330582592622486"
"Nein","2020","5 Einkommensstärkstes Quintil","","","",""
