"hgeqpinsul","year","quintil","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2015","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2015","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2015","2","Westdeutschland","2495","","",""
"Ja","2015","2","Ostdeutschland","844","0.574621672856404","0.549509781561327","0.599733564151481"
"Ja","2015","3","Westdeutschland","3425","0.554520126083875","0.541960784339311","0.56707946782844"
"Ja","2015","3","Ostdeutschland","1170","","",""
"Ja","2015","4","Westdeutschland","4600","0.571102362565338","0.559971777135973","0.582232947994702"
"Ja","2015","4","Ostdeutschland","1229","","",""
"Ja","2015","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2015","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2015","2","Westdeutschland","3001","0.555618366613862","0.542481521601353","0.568755211626371"
"Nein","2015","2","Ostdeutschland","645","0.425378327143596","0.400266435848519","0.450490218438673"
"Nein","2015","3","Westdeutschland","2591","","",""
"Nein","2015","3","Ostdeutschland","577","0.376837903977642","0.35411418326077","0.399561624694514"
"Nein","2015","4","Westdeutschland","2995","","",""
"Nein","2015","4","Ostdeutschland","550","0.282579619092361","0.261656935385357","0.303502302799365"
"Nein","2015","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2015","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2016","2","Westdeutschland","2276","","",""
"Ja","2016","2","Ostdeutschland","845","0.636506459999881","0.610518636846227","0.662494283153535"
"Ja","2016","3","Westdeutschland","3119","0.568641313339218","0.555207177878222","0.582075448800214"
"Ja","2016","3","Ostdeutschland","1033","","",""
"Ja","2016","4","Westdeutschland","4847","0.649927540029095","0.639050130375791","0.660804949682398"
"Ja","2016","4","Ostdeutschland","1338","","",""
"Ja","2016","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2016","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2016","2","Westdeutschland","2520","","",""
"Nein","2016","2","Ostdeutschland","471","0.363493540000119","0.337505716846465","0.389481363153773"
"Nein","2016","3","Westdeutschland","2102","","",""
"Nein","2016","3","Ostdeutschland","530","0.328925148292291","0.30563337128163","0.352216925302952"
"Nein","2016","4","Westdeutschland","2540","","",""
"Nein","2016","4","Ostdeutschland","509","0.256662726629972","0.236742741941424","0.27658271131852"
"Nein","2016","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2016","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2017","2","Westdeutschland","2417","","",""
"Ja","2017","2","Ostdeutschland","840","0.653537108328456","0.628078461167306","0.678995755489607"
"Ja","2017","3","Westdeutschland","3413","0.585273394252652","0.572405257515644","0.59814153098966"
"Ja","2017","3","Ostdeutschland","1099","","",""
"Ja","2017","4","Westdeutschland","5491","0.666929956015523","0.656602725872986","0.677257186158059"
"Ja","2017","4","Ostdeutschland","1515","","",""
"Ja","2017","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2017","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2017","2","Westdeutschland","1893","","",""
"Nein","2017","2","Ostdeutschland","502","0.346462891671544","0.321004244510393","0.371921538832694"
"Nein","2017","3","Westdeutschland","2218","","",""
"Nein","2017","3","Ostdeutschland","511","0.326426997388996","0.303522512766931","0.349331482011061"
"Nein","2017","4","Westdeutschland","2510","","",""
"Nein","2017","4","Ostdeutschland","589","0.258845887756991","0.240130444410707","0.277561331103275"
"Nein","2017","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2017","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2018","2","Westdeutschland","1969","","",""
"Ja","2018","2","Ostdeutschland","714","0.656052913466074","0.628799060112292","0.683306766819855"
"Ja","2018","3","Westdeutschland","3233","0.605768843115551","0.592532219786619","0.619005466444482"
"Ja","2018","3","Ostdeutschland","1090","","",""
"Ja","2018","4","Westdeutschland","5361","0.650064319074585","0.639620727027814","0.660507911121356"
"Ja","2018","4","Ostdeutschland","1637","","",""
"Ja","2018","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2018","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2018","2","Westdeutschland","1765","","",""
"Nein","2018","2","Ostdeutschland","453","0.343947086533926","0.316693233180145","0.371200939887708"
"Nein","2018","3","Westdeutschland","2003","","",""
"Nein","2018","3","Ostdeutschland","472","0.268851867014751","0.246864825709311","0.290838908320191"
"Nein","2018","4","Westdeutschland","2651","","",""
"Nein","2018","4","Ostdeutschland","618","0.284782941233937","0.266155605783349","0.303410276684524"
"Nein","2018","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2018","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2019","2","Westdeutschland","1451","","",""
"Ja","2019","2","Ostdeutschland","547","0.641986338351423","0.610329114318213","0.673643562384632"
"Ja","2019","3","Westdeutschland","2402","","",""
"Ja","2019","3","Ostdeutschland","831","0.733336989257728","0.708222439601741","0.758451538913716"
"Ja","2019","4","Westdeutschland","4251","0.649359076735092","0.637732022212203","0.66098613125798"
"Ja","2019","4","Ostdeutschland","1465","","",""
"Ja","2019","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2019","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2019","2","Westdeutschland","1310","","",""
"Nein","2019","2","Ostdeutschland","334","0.358013661648577","0.326356437615368","0.389670885681787"
"Nein","2019","3","Westdeutschland","1465","","",""
"Nein","2019","3","Ostdeutschland","360","0.266663010742272","0.241548461086284","0.291777560398259"
"Nein","2019","4","Westdeutschland","2219","","",""
"Nein","2019","4","Ostdeutschland","552","0.255940665589824","0.236896209482092","0.274985121697557"
