"hgeqpinsul","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2015","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2015","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2015","2","Staedtischer Raum","1888","","",""
"Ja","2015","2","Laendlicher Raum","1451","","",""
"Ja","2015","3","Staedtischer Raum","2707","","",""
"Ja","2015","3","Laendlicher Raum","1888","","",""
"Ja","2015","4","Staedtischer Raum","3606","0.577687833088516","0.565187883326206","0.590187782850827"
"Ja","2015","4","Laendlicher Raum","2223","","",""
"Ja","2015","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2015","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2015","2","Staedtischer Raum","2410","","",""
"Nein","2015","2","Laendlicher Raum","1236","","",""
"Nein","2015","3","Staedtischer Raum","2028","","",""
"Nein","2015","3","Laendlicher Raum","1140","","",""
"Nein","2015","4","Staedtischer Raum","2392","","",""
"Nein","2015","4","Laendlicher Raum","1153","","",""
"Nein","2015","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2015","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2016","2","Staedtischer Raum","1868","","",""
"Ja","2016","2","Laendlicher Raum","1253","","",""
"Ja","2016","3","Staedtischer Raum","2439","","",""
"Ja","2016","3","Laendlicher Raum","1713","","",""
"Ja","2016","4","Staedtischer Raum","3868","0.657505461912905","0.645391597909464","0.669619325916346"
"Ja","2016","4","Laendlicher Raum","2317","","",""
"Ja","2016","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2016","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2016","2","Staedtischer Raum","1939","","",""
"Nein","2016","2","Laendlicher Raum","1052","","",""
"Nein","2016","3","Staedtischer Raum","1716","","",""
"Nein","2016","3","Laendlicher Raum","916","0.354995275907908","0.33670393548373","0.373286616332087"
"Nein","2016","4","Staedtischer Raum","2027","","",""
"Nein","2016","4","Laendlicher Raum","1022","","",""
"Nein","2016","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2016","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2017","2","Staedtischer Raum","2056","","",""
"Ja","2017","2","Laendlicher Raum","1201","","",""
"Ja","2017","3","Staedtischer Raum","2724","","",""
"Ja","2017","3","Laendlicher Raum","1788","","",""
"Ja","2017","4","Staedtischer Raum","4330","0.676721635623089","0.665218390202118","0.688224881044059"
"Ja","2017","4","Laendlicher Raum","2676","","",""
"Ja","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2017","2","Staedtischer Raum","1473","","",""
"Nein","2017","2","Laendlicher Raum","922","0.411326998979908","0.390395334663507","0.432258663296308"
"Nein","2017","3","Staedtischer Raum","1665","","",""
"Nein","2017","3","Laendlicher Raum","1064","","",""
"Nein","2017","4","Staedtischer Raum","2021","","",""
"Nein","2017","4","Laendlicher Raum","1078","","",""
"Nein","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2018","2","Staedtischer Raum","1702","","",""
"Ja","2018","2","Laendlicher Raum","981","0.587186036046072","0.564256046346221","0.610116025745924"
"Ja","2018","3","Staedtischer Raum","2599","","",""
"Ja","2018","3","Laendlicher Raum","1724","","",""
"Ja","2018","4","Staedtischer Raum","4360","0.660803712860446","0.649317249319252","0.67229017640164"
"Ja","2018","4","Laendlicher Raum","2638","","",""
"Ja","2018","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2018","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2018","2","Staedtischer Raum","1428","","",""
"Nein","2018","2","Laendlicher Raum","790","0.412813963953928","0.389883974254076","0.435743953653779"
"Nein","2018","3","Staedtischer Raum","1538","","",""
"Nein","2018","3","Laendlicher Raum","937","0.341464236988658","0.323447010052592","0.359481463924724"
"Nein","2018","4","Staedtischer Raum","2166","","",""
"Nein","2018","4","Laendlicher Raum","1103","","",""
"Nein","2018","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2018","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2019","2","Staedtischer Raum","1282","","",""
"Ja","2019","2","Laendlicher Raum","716","0.579904163278567","0.552822517336428","0.606985809220707"
"Ja","2019","3","Staedtischer Raum","1928","","",""
"Ja","2019","3","Laendlicher Raum","1305","","",""
"Ja","2019","4","Staedtischer Raum","3494","0.661795578433938","0.649006752577372","0.674584404290504"
"Ja","2019","4","Laendlicher Raum","2222","","",""
"Ja","2019","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2019","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2019","2","Staedtischer Raum","1084","","",""
"Nein","2019","2","Laendlicher Raum","560","0.420095836721433","0.393014190779293","0.447177482663572"
"Nein","2019","3","Staedtischer Raum","1104","","",""
"Nein","2019","3","Laendlicher Raum","721","0.368129136610784","0.347128008146236","0.389130265075333"
"Nein","2019","4","Staedtischer Raum","1763","","",""
"Nein","2019","4","Laendlicher Raum","1008","","",""
"Nein","2019","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
