year,bula_h,hhtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,Single-person household,Yes,0.49436,59,131,0.40842,0.58031
2015,Schleswig-Holstein,Single-person household,No,0.50564,72,131,0.41969,0.59158
2015,Schleswig-Holstein,Couple without children,Yes,0.51729,74,139,0.43392,0.60066
2015,Schleswig-Holstein,Couple without children,No,0.48271,65,139,0.39934,0.56608
2015,Schleswig-Holstein,Single parent,Yes,0.50511,35,35,0.33705,0.67317
2015,Schleswig-Holstein,Couple with children,Yes,0.83531,141,182,0.78127,0.88934
2015,Schleswig-Holstein,Couple with children,No,0.16469,41,182,0.11066,0.21873
2015,Hamburg,Single-person household,No,0.58373,42,42,0.43284,0.73462
2015,Hamburg,Couple without children,Yes,0.43195,33,74,0.31832,0.54559
2015,Hamburg,Couple without children,No,0.56805,41,74,0.45441,0.68168
2015,Hamburg,Couple with children,Yes,0.40476,43,97,0.30657,0.50295
2015,Hamburg,Couple with children,No,0.59524,54,97,0.49705,0.69343
2015,Lower Saxony,Single-person household,Yes,0.58287,165,294,0.52641,0.63933
2015,Lower Saxony,Single-person household,No,0.41713,129,294,0.36067,0.47359
2015,Lower Saxony,Couple without children,Yes,0.62087,256,424,0.57464,0.66711
2015,Lower Saxony,Couple without children,No,0.37913,168,424,0.33289,0.42536
2015,Lower Saxony,Single parent,Yes,0.55928,97,175,0.48551,0.63305
2015,Lower Saxony,Single parent,No,0.44072,78,175,0.36695,0.51449
2015,Lower Saxony,Couple with children,Yes,0.67646,364,538,0.63689,0.71603
2015,Lower Saxony,Couple with children,No,0.32354,174,538,0.28397,0.36311
2015,North Rhine-Westphalia,Single-person household,Yes,0.48547,301,635,0.44656,0.52437
2015,North Rhine-Westphalia,Single-person household,No,0.51453,334,635,0.47563,0.55344
2015,North Rhine-Westphalia,Couple without children,Yes,0.64521,496,796,0.61196,0.67847
2015,North Rhine-Westphalia,Couple without children,No,0.35479,300,796,0.32153,0.38804
2015,North Rhine-Westphalia,Single parent,Yes,0.43322,167,359,0.38189,0.48455
2015,North Rhine-Westphalia,Single parent,No,0.56678,192,359,0.51545,0.61811
2015,North Rhine-Westphalia,Couple with children,Yes,0.57419,706,1249,0.54675,0.60162
2015,North Rhine-Westphalia,Couple with children,No,0.42581,543,1249,0.39838,0.45325
2015,Hesse,Single-person household,Yes,0.36154,97,238,0.30037,0.42271
2015,Hesse,Single-person household,No,0.63846,141,238,0.57729,0.69963
2015,Hesse,Couple without children,Yes,0.49828,155,285,0.44013,0.55643
2015,Hesse,Couple without children,No,0.50172,130,285,0.44357,0.55987
2015,Hesse,Single parent,Yes,0.44595,53,110,0.35264,0.53927
2015,Hesse,Single parent,No,0.55405,57,110,0.46073,0.64736
2015,Hesse,Couple with children,Yes,0.55849,220,415,0.51065,0.60632
2015,Hesse,Couple with children,No,0.44151,195,415,0.39368,0.48935
2015,"Rhineland-Palatinate, Saarland",Single-person household,Yes,0.37094,88,223,0.30740,0.43449
2015,"Rhineland-Palatinate, Saarland",Single-person household,No,0.62906,135,223,0.56551,0.69260
2015,"Rhineland-Palatinate, Saarland",Couple without children,Yes,0.53311,131,255,0.47176,0.59447
2015,"Rhineland-Palatinate, Saarland",Couple without children,No,0.46689,124,255,0.40553,0.52824
2015,"Rhineland-Palatinate, Saarland",Single parent,Yes,0.46990,36,90,0.36620,0.57359
2015,"Rhineland-Palatinate, Saarland",Single parent,No,0.53010,54,90,0.42641,0.63380
2015,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.63239,164,308,0.57845,0.68632
2015,"Rhineland-Palatinate, Saarland",Couple with children,No,0.36761,144,308,0.31368,0.42155
2015,Baden-Wuerttemberg,Single-person household,Yes,0.42422,147,355,0.37273,0.47570
2015,Baden-Wuerttemberg,Single-person household,No,0.57578,208,355,0.52430,0.62727
2015,Baden-Wuerttemberg,Couple without children,Yes,0.57743,264,469,0.53267,0.62218
2015,Baden-Wuerttemberg,Couple without children,No,0.42257,205,469,0.37782,0.46733
2015,Baden-Wuerttemberg,Single parent,Yes,0.52078,76,149,0.44030,0.60127
2015,Baden-Wuerttemberg,Single parent,No,0.47922,73,149,0.39873,0.55970
2015,Baden-Wuerttemberg,Couple with children,Yes,0.62559,477,752,0.59097,0.66020
2015,Baden-Wuerttemberg,Couple with children,No,0.37441,275,752,0.33980,0.40903
2015,Bavaria,Single-person household,Yes,0.39795,227,554,0.35715,0.43875
2015,Bavaria,Single-person household,No,0.60205,327,554,0.56125,0.64285
2015,Bavaria,Couple without children,Yes,0.59985,372,666,0.56261,0.63708
2015,Bavaria,Couple without children,No,0.40015,294,666,0.36292,0.43739
2015,Bavaria,Single parent,Yes,0.32377,107,254,0.26612,0.38143
2015,Bavaria,Single parent,No,0.67623,147,254,0.61857,0.73388
2015,Bavaria,Couple with children,Yes,0.60818,550,977,0.57756,0.63881
2015,Bavaria,Couple with children,No,0.39182,427,977,0.36119,0.42244
2015,Berlin,Single-person household,Yes,0.50089,108,217,0.43421,0.56757
2015,Berlin,Single-person household,No,0.49911,109,217,0.43243,0.56579
2015,Berlin,Couple without children,Yes,0.65060,93,163,0.57718,0.72402
2015,Berlin,Couple without children,No,0.34940,70,163,0.27598,0.42282
2015,Berlin,Single parent,Yes,0.49742,34,74,0.38272,0.61212
2015,Berlin,Single parent,No,0.50258,40,74,0.38788,0.61728
2015,Berlin,Couple with children,Yes,0.50782,75,157,0.42936,0.58627
2015,Berlin,Couple with children,No,0.49218,82,157,0.41373,0.57064
2015,Brandenburg,Single-person household,Yes,0.57977,80,134,0.49589,0.66366
2015,Brandenburg,Single-person household,No,0.42023,54,134,0.33634,0.50411
2015,Brandenburg,Couple without children,Yes,0.59309,142,216,0.52742,0.65876
2015,Brandenburg,Couple without children,No,0.40691,74,216,0.34124,0.47258
2015,Brandenburg,Single parent,Yes,0.48068,39,39,0.32182,0.63954
2015,Brandenburg,Couple with children,Yes,0.70408,105,164,0.63400,0.77415
2015,Brandenburg,Couple with children,No,0.29592,59,164,0.22585,0.36600
2015,Mecklenburg-Western Pomerania,Single-person household,Yes,0.68496,67,100,0.59345,0.77646
2015,Mecklenburg-Western Pomerania,Single-person household,No,0.31504,33,100,0.22354,0.40655
2015,Mecklenburg-Western Pomerania,Couple without children,Yes,0.75845,83,83,0.66581,0.85109
2015,Mecklenburg-Western Pomerania,Single parent,Yes,0.79757,33,33,0.65835,0.93679
2015,Mecklenburg-Western Pomerania,Couple with children,Yes,0.68590,63,63,0.57036,0.80144
2015,Saxony,Single-person household,Yes,0.49437,125,231,0.42975,0.55898
2015,Saxony,Single-person household,No,0.50563,106,231,0.44102,0.57025
2015,Saxony,Couple without children,Yes,0.65151,190,284,0.59599,0.70703
2015,Saxony,Couple without children,No,0.34849,94,284,0.29297,0.40401
2015,Saxony,Single parent,Yes,0.64217,53,90,0.54258,0.74177
2015,Saxony,Single parent,No,0.35783,37,90,0.25823,0.45742
2015,Saxony,Couple with children,Yes,0.59957,172,271,0.54113,0.65802
2015,Saxony,Couple with children,No,0.40043,99,271,0.34198,0.45887
2015,Saxony-Anhalt,Single-person household,Yes,0.64046,90,147,0.56262,0.71830
2015,Saxony-Anhalt,Single-person household,No,0.35954,57,147,0.28170,0.43738
2015,Saxony-Anhalt,Couple without children,Yes,0.69259,112,174,0.62383,0.76135
2015,Saxony-Anhalt,Couple without children,No,0.30741,62,174,0.23865,0.37617
