year,hhtyp,sampreg,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,West,Yes,0.44779,1181,2659,0.42889,0.46670
2015,Single-person household,West,No,0.55221,1478,2659,0.53330,0.57111
2015,Single-person household,East,Yes,0.57401,489,846,0.54067,0.60735
2015,Single-person household,East,No,0.42599,357,846,0.39265,0.45933
2015,Couple without children,West,Yes,0.58510,1836,3224,0.56809,0.60211
2015,Couple without children,West,No,0.41490,1388,3224,0.39789,0.43191
2015,Couple without children,East,Yes,0.65804,690,1042,0.62922,0.68686
2015,Couple without children,East,No,0.34196,352,1042,0.31314,0.37078
2015,Single parent,West,Yes,0.43612,609,1297,0.40912,0.46311
2015,Single parent,West,No,0.56388,688,1297,0.53689,0.59088
2015,Single parent,East,Yes,0.65877,219,351,0.60910,0.70845
2015,Single parent,East,No,0.34123,132,351,0.29155,0.39090
2015,Couple with children,West,Yes,0.60653,2711,4637,0.59246,0.62059
2015,Couple with children,West,No,0.39347,1926,4637,0.37941,0.40754
2015,Couple with children,East,Yes,0.65178,590,900,0.62063,0.68292
2015,Couple with children,East,No,0.34822,310,900,0.31708,0.37937
2015,Multi-generational household,West,Yes,0.44665,48,111,0.35374,0.53955
2015,Multi-generational household,West,No,0.55335,63,111,0.46045,0.64626
2015,Other Combinations,West,Yes,0.46351,97,210,0.39590,0.53112
2015,Other Combinations,West,No,0.53649,113,210,0.46888,0.60410
2016,Single-person household,West,Yes,0.50072,1249,2499,0.48111,0.52033
2016,Single-person household,West,No,0.49928,1250,2499,0.47967,0.51889
2016,Single-person household,East,Yes,0.61556,530,845,0.58274,0.64838
2016,Single-person household,East,No,0.38444,315,845,0.35162,0.41726
2016,Couple without children,West,Yes,0.65740,1960,3059,0.64058,0.67422
2016,Couple without children,West,No,0.34260,1099,3059,0.32578,0.35942
2016,Couple without children,East,Yes,0.70973,716,1011,0.68173,0.73772
2016,Couple without children,East,No,0.29027,295,1011,0.26228,0.31827
2016,Single parent,West,Yes,0.45522,584,1171,0.42669,0.48376
2016,Single parent,West,No,0.54478,587,1171,0.51624,0.57331
2016,Single parent,East,Yes,0.68615,209,335,0.63638,0.73592
2016,Single parent,East,No,0.31385,126,335,0.26408,0.36362
2016,Couple with children,West,Yes,0.63997,2593,4149,0.62536,0.65457
2016,Couple with children,West,No,0.36003,1556,4149,0.34543,0.37464
2016,Couple with children,East,Yes,0.70018,572,818,0.66876,0.73160
2016,Couple with children,East,No,0.29982,246,818,0.26840,0.33124
2016,Multi-generational household,West,Yes,0.62999,45,83,0.52549,0.73449
2016,Multi-generational household,West,No,0.37001,38,83,0.26551,0.47451
2016,Other Combinations,West,Yes,0.48094,83,166,0.40470,0.55718
2016,Other Combinations,West,No,0.51906,83,166,0.44282,0.59530
2017,Single-person household,West,Yes,0.53737,1516,2816,0.51895,0.55579
2017,Single-person household,West,No,0.46263,1300,2816,0.44421,0.48105
2017,Single-person household,East,Yes,0.62340,600,963,0.59279,0.65402
2017,Single-person household,East,No,0.37660,363,963,0.34598,0.40721
