"hgeqpinsul","year","hhtyp","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2015","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","1-Pers.- Haushalt","2","222","","",""
"Ja","2015","1-Pers.- Haushalt","3","295","","",""
"Ja","2015","1-Pers.- Haushalt","4","454","0.51622167239366","0.483090737132476","0.549352607654845"
"Ja","2015","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","2015","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","(Ehe-)Paar ohne Kind(er)","2","442","0.501738020558336","0.468513720124275","0.534962320992397"
"Ja","2015","(Ehe-)Paar ohne Kind(er)","3","918","0.598081874450093","0.57364236622208","0.622521382678105"
"Ja","2015","(Ehe-)Paar ohne Kind(er)","4","1278","","",""
"Ja","2015","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2015","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","Alleinerziehende","2","598","0.423327647514146","0.396673548467899","0.449981746560393"
"Ja","2015","Alleinerziehende","3","428","0.523756994801917","0.487845547600715","0.559668442003119"
"Ja","2015","Alleinerziehende","4","360","0.521758649176138","0.482343434188096","0.56117386416418"
"Ja","2015","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja","2015","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","Paar mit Kind(ern)","2","1968","","",""
"Ja","2015","Paar mit Kind(ern)","3","2831","","",""
"Ja","2015","Paar mit Kind(ern)","4","3578","0.648598405552775","0.635913170168837","0.661283640936713"
"Ja","2015","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2015","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","Sonstige","2","109","","",""
"Ja","2015","Sonstige","3","123","","",""
"Ja","2015","Sonstige","4","159","","",""
"Ja","2015","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","1-Pers.- Haushalt","2","306","0.562911844110561","0.520602543902333","0.605221144318789"
"Nein","2015","1-Pers.- Haushalt","3","334","0.548351134484219","0.509459821681921","0.587242447286518"
"Nein","2015","1-Pers.- Haushalt","4","420","0.48377832760634","0.450647392345155","0.516909262867525"
"Nein","2015","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","(Ehe-)Paar ohne Kind(er)","2","428","0.498261979441664","0.465037679007603","0.531486279875725"
"Nein","2015","(Ehe-)Paar ohne Kind(er)","3","628","0.401918125549907","0.377478617321895","0.42635763377792"
"Nein","2015","(Ehe-)Paar ohne Kind(er)","4","890","0.404791191246433","0.384129367448035","0.42545301504483"
"Nein","2015","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","Alleinerziehende","2","722","0.576672352485854","0.550018253439607","0.603326451532101"
"Nein","2015","Alleinerziehende","3","315","0.476243005198083","0.44033155799688","0.512154452399285"
"Nein","2015","Alleinerziehende","4","257","","",""
"Nein","2015","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","Paar mit Kind(ern)","2","2023","","",""
"Nein","2015","Paar mit Kind(ern)","3","1746","","",""
"Nein","2015","Paar mit Kind(ern)","4","1863","","",""
"Nein","2015","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","Sonstige","2","167","","",""
"Nein","2015","Sonstige","3","145","","",""
"Nein","2015","Sonstige","4","115","","",""
"Nein","2015","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Ja","2016","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","2016","1-Pers.- Haushalt","2","209","","",""
"Ja","2016","1-Pers.- Haushalt","3","309","0.493861969646163","0.453824008181026","0.533899931111301"
"Ja","2016","1-Pers.- Haushalt","4","540","0.572763536676402","0.540605614037772","0.604921459315033"
"Ja","2016","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","2016","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2016","(Ehe-)Paar ohne Kind(er)","2","410","0.523412134178884","0.487230686959967","0.559593581397801"
"Ja","2016","(Ehe-)Paar ohne Kind(er)","3","914","0.654841086101595","0.629866058301301","0.679816113901888"
"Ja","2016","(Ehe-)Paar ohne Kind(er)","4","1470","","",""
"Ja","2016","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2016","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja","2016","Alleinerziehende","2","599","0.462349516889098","0.433495810621067","0.49120322315713"
"Ja","2016","Alleinerziehende","3","409","0.552375201575525","0.516179812989255","0.588570590161794"
"Ja","2016","Alleinerziehende","4","403","0.544441741427114","0.506418157153256","0.582465325700973"
"Ja","2016","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja","2016","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
