year,hhtyp,rentown,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,Owner,Yes,0.53910,534,972,0.50775,0.57045
2015,Single-person household,Owner,No,0.46090,438,972,0.42955,0.49225
2015,Single-person household,Tenant,Yes,0.44084,1136,2533,0.42150,0.46018
2015,Single-person household,Tenant,No,0.55916,1397,2533,0.53982,0.57850
2015,Couple without children,Owner,Yes,0.64480,1499,2276,0.62513,0.66446
2015,Couple without children,Owner,No,0.35520,777,2276,0.33554,0.37487
2015,Couple without children,Tenant,Yes,0.53407,1027,1990,0.51215,0.55600
2015,Couple without children,Tenant,No,0.46593,963,1990,0.44400,0.48785
2015,Single parent,Owner,Yes,0.56671,260,405,0.51839,0.61503
2015,Single parent,Owner,No,0.43329,145,405,0.38497,0.48161
2015,Single parent,Tenant,Yes,0.43754,568,1243,0.40995,0.46512
2015,Single parent,Tenant,No,0.56246,675,1243,0.53488,0.59005
2015,Couple with children,Owner,Yes,0.71431,2113,2886,0.69783,0.73080
2015,Couple with children,Owner,No,0.28569,773,2886,0.26920,0.30217
2015,Couple with children,Tenant,Yes,0.45404,1188,2651,0.43508,0.47300
2015,Couple with children,Tenant,No,0.54596,1463,2651,0.52700,0.56492
2015,Multi-generational household,Owner,Yes,0.51526,35,35,0.34727,0.68325
2015,Multi-generational household,Tenant,No,0.62871,51,51,0.49479,0.76264
2015,Other Combinations,Owner,Yes,0.49781,39,71,0.38068,0.61494
2015,Other Combinations,Owner,No,0.50219,32,71,0.38506,0.61932
2015,Other Combinations,Tenant,Yes,0.46528,74,172,0.39052,0.54004
2015,Other Combinations,Tenant,No,0.53472,98,172,0.45996,0.60948
2016,Single-person household,Owner,Yes,0.58668,557,927,0.55496,0.61840
2016,Single-person household,Owner,No,0.41332,370,927,0.38160,0.44504
2016,Single-person household,Tenant,Yes,0.49258,1222,2416,0.47264,0.51252
2016,Single-person household,Tenant,No,0.50742,1194,2416,0.48748,0.52736
2016,Couple without children,Owner,Yes,0.70366,1570,2220,0.68466,0.72266
2016,Couple without children,Owner,No,0.29634,650,2220,0.27734,0.31534
2016,Couple without children,Tenant,Yes,0.61459,1106,1850,0.59240,0.63677
2016,Couple without children,Tenant,No,0.38541,744,1850,0.36323,0.40760
2016,Single parent,Owner,Yes,0.63174,254,382,0.58331,0.68017
2016,Single parent,Owner,No,0.36826,128,382,0.31983,0.41669
2016,Single parent,Tenant,Yes,0.43977,539,1124,0.41074,0.46880
2016,Single parent,Tenant,No,0.56023,585,1124,0.53120,0.58926
2016,Couple with children,Owner,Yes,0.73681,1984,2658,0.72006,0.75355
2016,Couple with children,Owner,No,0.26319,674,2658,0.24645,0.27994
2016,Couple with children,Tenant,Yes,0.51697,1181,2309,0.49658,0.53735
2016,Couple with children,Tenant,No,0.48303,1128,2309,0.46265,0.50342
2016,Multi-generational household,Owner,Yes,0.57945,35,35,0.41351,0.74538
2016,Multi-generational household,Tenant,No,0.38014,32,32,0.20926,0.55102
2016,Other Combinations,Owner,Yes,0.56799,31,31,0.39072,0.74525
2016,Other Combinations,Tenant,Yes,0.45132,65,142,0.36919,0.53346
