,Unnamed: 0,year,hhtyp,regtyp,hgeqpinsul,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,Single-person household,Urban regions,Yes,0.46069,1095,15249,0.44199,0.48075
1,1,2015,Single-person household,Urban regions,No,0.53931,1281,15249,0.52071,0.56155
2,2,2015,Single-person household,Rural regions,Yes,0.50308,575,15249,0.4666,0.53721
3,3,2015,Single-person household,Rural regions,No,0.49692,554,15249,0.46511,0.52615
4,4,2015,Couple without children,Urban regions,Yes,0.58763,1557,15249,0.56338,0.61621
5,5,2015,Couple without children,Urban regions,No,0.41237,1140,15249,0.39087,0.43723
6,6,2015,Couple without children,Rural regions,Yes,0.61755,969,15249,0.57897,0.65842
7,7,2015,Couple without children,Rural regions,No,0.38245,600,15249,0.35339,0.4175
8,8,2015,Single parent,Urban regions,Yes,0.4533,517,15249,0.40973,0.50993
9,9,2015,Single parent,Urban regions,No,0.5467,553,15249,0.49553,0.59167
10,10,2015,Single parent,Rural regions,Yes,0.51012,311,15249,0.44165,0.57401
11,11,2015,Single parent,Rural regions,No,0.48988,267,15249,0.42378,0.56233
12,12,2015,Couple with children,Urban regions,Yes,0.591,2099,15249,0.56115,0.62348
13,13,2015,Couple with children,Urban regions,No,0.409,1557,15249,0.37919,0.43668
14,14,2015,Couple with children,Rural regions,Yes,0.66286,1202,15249,0.62107,0.70895
15,15,2015,Couple with children,Rural regions,No,0.33714,679,15249,0.30336,0.36652
16,16,2015,Multi-generational household,Urban regions,Yes,0.38491,31,15249,0.23779,0.59804
17,17,2015,Multi-generational household,Urban regions,No,0.61509,49,15249,0.38646,0.92084
18,18,2015,Other Combinations,Urban regions,Yes,0.49532,83,15249,0.39637,0.59287
19,19,2015,Other Combinations,Urban regions,No,0.50468,96,15249,0.38428,0.66097
20,20,2015,Other Combinations,Rural regions,No,1.0,34,15249,0.67792,1.30529
21,21,2016,Single-person household,Urban regions,Yes,0.51437,1168,14091,0.49372,0.53588
22,22,2016,Single-person household,Urban regions,No,0.48563,1112,14091,0.46702,0.50728
23,23,2016,Single-person household,Rural regions,Yes,0.547,611,14091,0.51137,0.59023
24,24,2016,Single-person household,Rural regions,No,0.453,453,14091,0.42043,0.48525
25,25,2016,Couple without children,Urban regions,Yes,0.66073,1654,14091,0.63469,0.69048
26,26,2016,Couple without children,Urban regions,No,0.33927,891,14091,0.31886,0.36389
27,27,2016,Couple without children,Rural regions,Yes,0.67639,1022,14091,0.64039,0.71761
28,28,2016,Couple without children,Rural regions,No,0.32361,503,14091,0.29607,0.35259
29,29,2016,Single parent,Urban regions,Yes,0.48898,514,14091,0.43546,0.54347
30,30,2016,Single parent,Urban regions,No,0.51102,465,14091,0.46422,0.56158
31,31,2016,Single parent,Rural regions,Yes,0.50846,279,14091,0.45172,0.58185
32,32,2016,Single parent,Rural regions,No,0.49154,248,14091,0.41374,0.57802
33,33,2016,Couple with children,Urban regions,Yes,0.62203,2025,14091,0.58825,0.65787
34,34,2016,Couple with children,Urban regions,No,0.37797,1247,14091,0.34843,0.40308
35,35,2016,Couple with children,Rural regions,Yes,0.71092,1140,14091,0.66327,0.76373
36,36,2016,Couple with children,Rural regions,No,0.28908,555,14091,0.25833,0.32639
37,37,2016,Multi-generational household,Urban regions,Yes,1.0,36,14091,0.65835,1.36062
38,38,2016,Other Combinations,Urban regions,Yes,0.50866,64,14091,0.41577,0.59729
39,39,2016,Other Combinations,Urban regions,No,0.49134,72,14091,0.38647,0.62623
40,40,2016,Other Combinations,Rural regions,Yes,1.0,32,14091,0.73416,1.27077
41,41,2017,Single-person household,Urban regions,Yes,0.55307,1410,15487,0.53319,0.57381
42,42,2017,Single-person household,Urban regions,No,0.44693,1135,15487,0.42874,0.4653
43,43,2017,Single-person household,Rural regions,Yes,0.55581,706,15487,0.51874,0.58713
44,44,2017,Single-person household,Rural regions,No,0.44419,528,15487,0.41915,0.47404
45,45,2017,Couple without children,Urban regions,Yes,0.6489,1889,15487,0.62179,0.67715
46,46,2017,Couple without children,Urban regions,No,0.3511,982,15487,0.32668,0.37165
47,47,2017,Couple without children,Rural regions,Yes,0.68525,1149,15487,0.64804,0.72719
48,48,2017,Couple without children,Rural regions,No,0.31475,569,15487,0.29428,0.34058
49,49,2017,Single parent,Urban regions,Yes,0.51355,543,15487,0.46308,0.57177
50,50,2017,Single parent,Urban regions,No,0.48645,440,15487,0.44498,0.52994
51,51,2017,Single parent,Rural regions,Yes,0.53877,318,15487,0.47044,0.60982
52,52,2017,Single parent,Rural regions,No,0.46123,226,15487,0.38388,0.5414
53,53,2017,Couple with children,Urban regions,Yes,0.67231,2353,15487,0.63956,0.70425
54,54,2017,Couple with children,Urban regions,No,0.32769,1130,15487,0.304,0.35193
55,55,2017,Couple with children,Rural regions,Yes,0.7156,1248,15487,0.67012,0.76562
56,56,2017,Couple with children,Rural regions,No,0.2844,565,15487,0.25586,0.31228
57,57,2017,Multi-generational household,Urban regions,Yes,0.44072,34,15487,0.30248,0.59657
58,58,2017,Multi-generational household,Urban regions,No,0.55928,35,15487,0.37182,0.83288
59,59,2017,Other Combinations,Urban regions,Yes,0.5556,99,15487,0.45359,0.65266
60,60,2017,Other Combinations,Urban regions,No,0.4444,82,15487,0.36526,0.51946
61,61,2017,Other Combinations,Rural regions,Yes,1.0,46,15487,0.79042,1.25218
62,62,2018,Single-person household,Urban regions,Yes,0.58,1569,15264,0.56013,0.60384
63,63,2018,Single-person household,Urban regions,No,0.42,1147,15264,0.40101,0.43935
64,64,2018,Single-person household,Rural regions,Yes,0.58823,754,15264,0.54907,0.62866
65,65,2018,Single-person household,Rural regions,No,0.41177,508,15264,0.37774,0.44482
66,66,2018,Couple without children,Urban regions,Yes,0.67735,1923,15264,0.65515,0.70632
67,67,2018,Couple without children,Urban regions,No,0.32265,918,15264,0.29769,0.34496
68,68,2018,Couple without children,Rural regions,Yes,0.69696,1152,15264,0.65476,0.73788
69,69,2018,Couple without children,Rural regions,No,0.30304,525,15264,0.27909,0.33239
70,70,2018,Single parent,Urban regions,Yes,0.55868,560,15264,0.51104,0.61329
71,71,2018,Single parent,Urban regions,No,0.44132,433,15264,0.38979,0.49142
72,72,2018,Single parent,Rural regions,Yes,0.55512,288,15264,0.49537,0.62749
73,73,2018,Single parent,Rural regions,No,0.44488,214,15264,0.37018,0.53916
74,74,2018,Couple with children,Urban regions,Yes,0.69069,2227,15264,0.66165,0.72443
75,75,2018,Couple with children,Urban regions,No,0.30931,1045,15264,0.28702,0.32996
76,76,2018,Couple with children,Rural regions,Yes,0.69931,1176,15264,0.64891,0.75031
77,77,2018,Couple with children,Rural regions,No,0.30069,549,15264,0.2709,0.33964
78,78,2018,Multi-generational household,Urban regions,Yes,0.59572,45,15264,0.46213,0.7523
79,79,2018,Multi-generational household,Urban regions,No,0.40428,31,15264,0.23809,0.57399
80,80,2018,Other Combinations,Urban regions,Yes,0.6067,89,15264,0.49766,0.71847
81,81,2018,Other Combinations,Urban regions,No,0.3933,71,15264,0.32189,0.47192
82,82,2018,Other Combinations,Rural regions,Yes,1.0,40,15264,0.75048,1.30395
