,Unnamed: 0,year,regtyp,hgeqpinsul,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,Urban regions,Yes,0.5246,5382,15335,0.51135,0.54175
1,1,2015,Urban regions,No,0.4754,4676,15335,0.46214,0.49066
2,2,2015,Rural regions,Yes,0.57368,3116,15335,0.55128,0.59759
3,3,2015,Rural regions,No,0.42632,2161,15335,0.4084,0.44452
4,4,2016,Urban regions,Yes,0.57862,5461,14188,0.56294,0.59514
5,5,2016,Urban regions,No,0.42138,3815,14188,0.40689,0.43541
6,6,2016,Rural regions,Yes,0.62142,3106,14188,0.59828,0.64311
7,7,2016,Rural regions,No,0.37858,1806,14188,0.36067,0.39862
8,8,2017,Urban regions,Yes,0.60376,6328,15560,0.58387,0.61742
9,9,2017,Urban regions,No,0.39624,3804,15560,0.38267,0.41004
10,10,2017,Rural regions,Yes,0.62781,3486,15560,0.60719,0.65185
11,11,2017,Rural regions,No,0.37219,1942,15560,0.3515,0.39232
12,12,2018,Urban regions,Yes,0.63074,6413,15329,0.60926,0.64568
13,13,2018,Urban regions,No,0.36926,3645,15329,0.35539,0.38159
14,14,2018,Rural regions,Yes,0.64415,3428,15329,0.62215,0.66842
15,15,2018,Rural regions,No,0.35585,1843,15329,0.33975,0.37681
16,16,2019,Urban regions,Yes,0.63103,5295,12549,0.6143,0.64834
17,17,2019,Urban regions,No,0.36897,2876,12549,0.35489,0.38126
18,18,2019,Rural regions,Yes,0.6426,2877,12549,0.61629,0.67526
19,19,2019,Rural regions,No,0.3574,1501,12549,0.33886,0.38332
20,20,2020,Urban regions,Yes,0.65075,6804,16050,0.63668,0.66877
21,21,2020,Urban regions,No,0.34925,3993,16050,0.33337,0.36327
22,22,2020,Rural regions,Yes,0.65806,3525,16050,0.63392,0.68558
23,23,2020,Rural regions,No,0.34194,1728,16050,0.32125,0.35974
24,24,2021,Urban regions,Yes,0.6454,4277,9851,0.6212,0.66702
25,25,2021,Urban regions,No,0.3546,2258,9851,0.33546,0.37365
26,26,2021,Rural regions,Yes,0.65746,2259,9851,0.61757,0.68549
27,27,2021,Rural regions,No,0.34254,1057,9851,0.32026,0.36998
