,Unnamed: 0,year,quintil_oecd_hh,regtyp,hgeqpinsul,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,1st Quintile,Urban regions,Yes,0.37198,832,15331,0.34357,0.40221
1,1,2015,1st Quintile,Urban regions,No,0.62802,1362,15331,0.58984,0.67638
2,2,2015,1st Quintile,Rural regions,Yes,0.45994,538,15331,0.40715,0.50783
3,3,2015,1st Quintile,Rural regions,No,0.54006,662,15331,0.49018,0.59955
4,4,2015,2nd Quintile,Urban regions,Yes,0.44309,944,15331,0.41142,0.47452
5,5,2015,2nd Quintile,Urban regions,No,0.55691,1031,15331,0.51699,0.59613
6,6,2015,2nd Quintile,Rural regions,Yes,0.54871,708,15331,0.50667,0.59452
7,7,2015,2nd Quintile,Rural regions,No,0.45129,588,15331,0.41472,0.49307
8,8,2015,3rd Quintile,Urban regions,Yes,0.55869,1079,15331,0.52097,0.59572
9,9,2015,3rd Quintile,Urban regions,No,0.44131,812,15331,0.41548,0.47404
10,10,2015,3rd Quintile,Rural regions,Yes,0.60992,692,15331,0.56076,0.66026
11,11,2015,3rd Quintile,Rural regions,No,0.39008,401,15331,0.35313,0.43494
12,12,2015,4th Quintile,Urban regions,Yes,0.5757,1072,15331,0.54546,0.6091
13,13,2015,4th Quintile,Urban regions,No,0.4243,739,15331,0.39666,0.4547
14,14,2015,4th Quintile,Rural regions,Yes,0.59493,635,15331,0.55085,0.64561
15,15,2015,4th Quintile,Rural regions,No,0.40507,306,15331,0.37238,0.44707
16,16,2015,5th Quintile,Urban regions,Yes,0.6474,1453,15331,0.61472,0.68119
17,17,2015,5th Quintile,Urban regions,No,0.3526,731,15331,0.32787,0.37747
18,18,2015,5th Quintile,Rural regions,Yes,0.69238,543,15331,0.6237,0.75068
19,19,2015,5th Quintile,Rural regions,No,0.30762,203,15331,0.26702,0.35553
20,20,2016,1st Quintile,Urban regions,Yes,0.39515,794,14183,0.36263,0.42872
21,21,2016,1st Quintile,Urban regions,No,0.60485,1114,14183,0.57238,0.6578
22,22,2016,1st Quintile,Rural regions,Yes,0.49954,543,14183,0.45352,0.54829
23,23,2016,1st Quintile,Rural regions,No,0.50046,561,14183,0.44969,0.55302
24,24,2016,2nd Quintile,Urban regions,Yes,0.50463,1034,14183,0.47511,0.5396
25,25,2016,2nd Quintile,Urban regions,No,0.49537,855,14183,0.46534,0.53594
26,26,2016,2nd Quintile,Rural regions,Yes,0.58529,698,14183,0.54068,0.62996
27,27,2016,2nd Quintile,Rural regions,No,0.41471,489,14183,0.37363,0.46008
28,28,2016,3rd Quintile,Urban regions,Yes,0.60479,1049,14183,0.5665,0.64633
29,29,2016,3rd Quintile,Urban regions,No,0.39521,653,14183,0.36152,0.42315
30,30,2016,3rd Quintile,Rural regions,Yes,0.64907,702,14183,0.58916,0.69862
31,31,2016,3rd Quintile,Rural regions,No,0.35093,335,14183,0.30868,0.3955
32,32,2016,4th Quintile,Urban regions,Yes,0.66483,1174,14183,0.63088,0.70512
33,33,2016,4th Quintile,Urban regions,No,0.33517,587,14183,0.31006,0.36597
34,34,2016,4th Quintile,Rural regions,Yes,0.67616,637,14183,0.61517,0.74825
35,35,2016,4th Quintile,Rural regions,No,0.32384,248,14183,0.28798,0.36641
36,36,2016,5th Quintile,Urban regions,Yes,0.69737,1410,14183,0.66221,0.73643
37,37,2016,5th Quintile,Urban regions,No,0.30263,601,14183,0.27637,0.32837
38,38,2016,5th Quintile,Rural regions,Yes,0.72565,526,14183,0.66383,0.78596
39,39,2016,5th Quintile,Rural regions,No,0.27435,173,14183,0.23007,0.31579
40,40,2017,1st Quintile,Urban regions,Yes,0.45384,966,15556,0.42045,0.488
41,41,2017,1st Quintile,Urban regions,No,0.54616,1015,15556,0.50852,0.57939
42,42,2017,1st Quintile,Rural regions,Yes,0.51059,586,15556,0.45861,0.55124
43,43,2017,1st Quintile,Rural regions,No,0.48941,570,15556,0.44547,0.53235
