"plh0040","year","regtyp","n","percent","lower_confidence","upper_confidence","NA"
"Einige Sorgen","1994","Laendlicher Raum","1514","0.358397858995788","0.344227308709121","0.372568409282454",""
"Einige Sorgen","1994","Staedtischer Raum","3325","0.392183988693528","0.381744295150978","0.402623682236077",""
"Grosse Sorgen","1994","Laendlicher Raum","2742","0.610482195522255","0.596071953727305","0.624892437317204",""
"Grosse Sorgen","1994","Staedtischer Raum","4668","0.562732627112247","0.552125901426562","0.573339352797933",""
"Keine Sorgen","1994","Laendlicher Raum","143","0.0311199454819576","0.0259886676324911","0.0362512233314241",""
"Keine Sorgen","1994","Staedtischer Raum","409","0.0450833841942248","0.0406468101707178","0.0495199582177318",""
"Einige Sorgen","1995","Laendlicher Raum","1621","0.36112384386571","0.347134950719142","0.375112737012278",""
"Einige Sorgen","1995","Staedtischer Raum","3582","0.404950094605891","0.394595224194249","0.415304965017533",""
"Grosse Sorgen","1995","Laendlicher Raum","2758","0.603900544842029","0.589656551437567","0.618144538246491",""
"Grosse Sorgen","1995","Staedtischer Raum","4527","0.537659071973819","0.527141829665492","0.548176314282147",""
"Keine Sorgen","1995","Laendlicher Raum","150","0.0349756112922611","0.0296250575306487","0.0403261650538736",""
"Keine Sorgen","1995","Staedtischer Raum","524","0.0573908334202901","0.0524845309829131","0.062297135857667",""
"Einige Sorgen","1996","Laendlicher Raum","1500","0.324601006036131","0.3108993332481","0.338302678824161",""
"Einige Sorgen","1996","Staedtischer Raum","3411","0.390355295562029","0.379929895845559","0.400780695278499",""
"Grosse Sorgen","1996","Laendlicher Raum","2851","0.646690877724348","0.632703244073015","0.66067851137568",""
"Grosse Sorgen","1996","Staedtischer Raum","4630","0.565622694671217","0.555029639085629","0.576215750256806",""
"Keine Sorgen","1996","Laendlicher Raum","135","0.0287081162395219","0.0238216412048121","0.0335945912742317",""
"Keine Sorgen","1996","Staedtischer Raum","370","0.0440220097667533","0.0396378824858504","0.0484061370476561",""
"Einige Sorgen","1997","Laendlicher Raum","1437","0.311887532916454","0.298253322265251","0.325521743567657",""
"Einige Sorgen","1997","Staedtischer Raum","3142","0.362407215276939","0.352062079615561","0.372752350938318",""
"Grosse Sorgen","1997","Laendlicher Raum","2881","0.663141289168116","0.649231254746887","0.677051323589345",""
"Grosse Sorgen","1997","Staedtischer Raum","4817","0.599731423519544","0.58918706348916","0.610275783549929",""
"Keine Sorgen","1997","Laendlicher Raum","117","0.02497117791543","0.0203788856460459","0.0295634701848141",""
"Keine Sorgen","1997","Staedtischer Raum","335","0.0378613612035165","0.0337538097214137","0.0419689126856192",""
"Einige Sorgen","1998","Laendlicher Raum","1806","0.349269668582958","0.335960539319475","0.362578797846441",""
"Einige Sorgen","1998","Staedtischer Raum","3705","0.385916581052588","0.375934831169287","0.395898330935888",""
"Grosse Sorgen","1998","Laendlicher Raum","2983","0.625157123837309","0.611642999668346","0.638671248006273",""
"Grosse Sorgen","1998","Staedtischer Raum","4998","0.565182535085754","0.555017845161435","0.575347225010074",""
"Keine Sorgen","1998","Laendlicher Raum","140","0.0255732075797325","0.021166280218218","0.029980134941247",""
"Keine Sorgen","1998","Staedtischer Raum","434","0.0489008838616585","0.0444788962450321","0.0533228714782849",""
"Einige Sorgen","1999","Laendlicher Raum","1795","0.374396004921512","0.360704763392238","0.388087246450785",""
