year,plh0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Very concerned,0.57771,7410,12801,0.56915,0.58626
1994,Somewhat concerned,0.38158,4839,12801,0.37316,0.38999
1994,Not concerned at all,0.04071,552,12801,0.03729,0.04414
1995,Very concerned,0.55875,7285,13162,0.55027,0.56723
1995,Somewhat concerned,0.39096,5203,13162,0.38262,0.39930
1995,Not concerned at all,0.05029,674,13162,0.04656,0.05403
1996,Very concerned,0.59101,7481,12897,0.58252,0.59949
1996,Somewhat concerned,0.36977,4911,12897,0.36143,0.37810
1996,Not concerned at all,0.03923,505,12897,0.03588,0.04258
1997,Very concerned,0.61959,7699,12730,0.61116,0.62803
1997,Somewhat concerned,0.34659,4579,12730,0.33833,0.35486
1997,Not concerned at all,0.03382,452,12730,0.03068,0.03696
1998,Very concerned,0.58406,7981,14066,0.57591,0.59220
1998,Somewhat concerned,0.37437,5511,14066,0.36638,0.38237
1998,Not concerned at all,0.04157,574,14066,0.03827,0.04487
1999,Very concerned,0.53822,7263,13632,0.52985,0.54659
1999,Somewhat concerned,0.39951,5499,13632,0.39128,0.40773
1999,Not concerned at all,0.06227,870,13632,0.05821,0.06633
2000,Very concerned,0.53763,12665,23932,0.53131,0.54395
2000,Somewhat concerned,0.38845,9485,23932,0.38227,0.39462
2000,Not concerned at all,0.07393,1782,23932,0.07061,0.07724
2001,Very concerned,0.50358,10771,21757,0.49694,0.51022
2001,Somewhat concerned,0.41499,9244,21757,0.40844,0.42154
2001,Not concerned at all,0.08143,1742,21757,0.07780,0.08506
2002,Very concerned,0.49574,10754,22901,0.48926,0.50222
2002,Somewhat concerned,0.42120,10149,22901,0.41481,0.42760
2002,Not concerned at all,0.08306,1998,22901,0.07948,0.08663
2003,Very concerned,0.44815,9316,22062,0.44159,0.45471
2003,Somewhat concerned,0.46266,10683,22062,0.45608,0.46924
2003,Not concerned at all,0.08919,2063,22062,0.08543,0.09295
2004,Very concerned,0.44964,9154,21491,0.44299,0.45629
2004,Somewhat concerned,0.44769,10008,21491,0.44104,0.45434
2004,Not concerned at all,0.10267,2329,21491,0.09861,0.10673
2005,Very concerned,0.49189,9699,20593,0.48506,0.49872
2005,Somewhat concerned,0.41300,8767,20593,0.40627,0.41972
2005,Not concerned at all,0.09511,2127,20593,0.09111,0.09912
2006,Very concerned,0.45174,9504,21818,0.44514,0.45834
2006,Somewhat concerned,0.44020,9947,21818,0.43361,0.44679
2006,Not concerned at all,0.10806,2367,21818,0.10394,0.11218
2007,Very concerned,0.45334,8996,20373,0.44651,0.46018
2007,Somewhat concerned,0.43642,9081,20373,0.42961,0.44323
2007,Not concerned at all,0.11024,2296,20373,0.10594,0.11454
2008,Very concerned,0.40454,7508,19241,0.39761,0.41148
2008,Somewhat concerned,0.46570,9161,19241,0.45865,0.47275
2008,Not concerned at all,0.12976,2572,19241,0.12501,0.13450
2009,Very concerned,0.33507,5909,17934,0.32816,0.34198
2009,Somewhat concerned,0.50916,9172,17934,0.50185,0.51648
2009,Not concerned at all,0.15577,2853,17934,0.15046,0.16108
2010,Very concerned,0.38078,8846,23855,0.37462,0.38694
2010,Somewhat concerned,0.46762,11281,23855,0.46128,0.47395
2010,Not concerned at all,0.15160,3728,23855,0.14705,0.15615
2011,Very concerned,0.33164,6687,20477,0.32519,0.33809
2011,Somewhat concerned,0.48522,9999,20477,0.47838,0.49207
2011,Not concerned at all,0.18314,3791,20477,0.17784,0.18843
2012,Very concerned,0.31147,6311,20385,0.30511,0.31782
2012,Somewhat concerned,0.48711,10009,20385,0.48024,0.49397
2012,Not concerned at all,0.20143,4065,20385,0.19592,0.20693
2013,Very concerned,0.30525,5756,18765,0.29866,0.31184
2013,Somewhat concerned,0.49285,9301,18765,0.48570,0.50000
2013,Not concerned at all,0.20190,3708,18765,0.19616,0.20765
2014,Very concerned,0.31827,8433,26946,0.31271,0.32383
2014,Somewhat concerned,0.48536,13191,26946,0.47939,0.49132
2014,Not concerned at all,0.19637,5322,26946,0.19163,0.20112
2015,Very concerned,0.37716,8947,24872,0.37113,0.38318
2015,Somewhat concerned,0.45598,11717,24872,0.44979,0.46217
2015,Not concerned at all,0.16686,4208,24872,0.16223,0.17150
2016,Very concerned,0.47252,11246,24060,0.46621,0.47882
2016,Somewhat concerned,0.40767,9864,24060,0.40146,0.41388
2016,Not concerned at all,0.11981,2950,24060,0.11571,0.12392
2017,Very concerned,0.46066,11819,26411,0.45465,0.46667
2017,Somewhat concerned,0.40917,11113,26411,0.40324,0.41510
2017,Not concerned at all,0.13017,3479,26411,0.12611,0.13423
2018,Very concerned,0.37762,9477,25554,0.37168,0.38356
2018,Somewhat concerned,0.45321,11484,25554,0.44711,0.45932
2018,Not concerned at all,0.16917,4593,25554,0.16457,0.17376
2019,Very concerned,0.34783,8618,25592,0.34199,0.35366
2019,Somewhat concerned,0.47670,12275,25592,0.47058,0.48282
2019,Not concerned at all,0.17547,4699,25592,0.17081,0.18013
2020,Very concerned,0.29425,6918,25499,0.28865,0.29984
2020,Somewhat concerned,0.47131,11879,25499,0.46519,0.47744
2020,Not concerned at all,0.23444,6702,25499,0.22924,0.23964
2021,Very concerned,0.31317,4889,17105,0.30622,0.32012
2021,Somewhat concerned,0.45929,8011,17105,0.45182,0.46676
2021,Not concerned at all,0.22755,4205,17105,0.22126,0.23383
2022,Very concerned,0.31070,7113,25951,0.30507,0.31634
2022,Somewhat concerned,0.47910,12634,25951,0.47302,0.48518
2022,Not concerned at all,0.21020,6204,25951,0.20524,0.21515
