year,quintil_oecd,sampreg,plh0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,1st Quintile,West,Very concerned,0.56803,807,1532,0.54322,0.59284
1994,1st Quintile,West,Somewhat concerned,0.37968,620,1532,0.35537,0.40399
1994,1st Quintile,West,Not concerned at all,0.05229,105,1532,0.04114,0.06344
1994,1st Quintile,East,Very concerned,0.75668,718,951,0.72939,0.78397
1994,1st Quintile,East,Somewhat concerned,0.23324,233,951,0.20634,0.26013
1994,2nd Quintile,West,Very concerned,0.53888,820,1570,0.51421,0.56354
1994,2nd Quintile,West,Somewhat concerned,0.42085,664,1570,0.39642,0.44528
1994,2nd Quintile,West,Not concerned at all,0.04027,86,1570,0.03055,0.05000
1994,2nd Quintile,East,Very concerned,0.76721,803,1068,0.74185,0.79257
1994,2nd Quintile,East,Somewhat concerned,0.22684,265,1068,0.20171,0.25197
1994,3rd Quintile,West,Very concerned,0.56439,974,1807,0.54153,0.58726
1994,3rd Quintile,West,Somewhat concerned,0.39504,736,1807,0.37249,0.41758
1994,3rd Quintile,West,Not concerned at all,0.04057,97,1807,0.03147,0.04967
1994,3rd Quintile,East,Very concerned,0.73376,637,877,0.70449,0.76303
1994,3rd Quintile,East,Somewhat concerned,0.24672,240,877,0.21817,0.27527
1994,4th Quintile,West,Very concerned,0.52322,1015,1985,0.50124,0.54519
1994,4th Quintile,West,Somewhat concerned,0.42475,871,1985,0.40299,0.44650
1994,4th Quintile,West,Not concerned at all,0.05204,99,1985,0.04226,0.06181
1994,4th Quintile,East,Very concerned,0.72395,391,542,0.68628,0.76162
1994,4th Quintile,East,Somewhat concerned,0.25987,151,542,0.22292,0.29683
1994,5th Quintile,West,Very concerned,0.49496,1024,2136,0.47375,0.51617
1994,5th Quintile,West,Somewhat concerned,0.45372,995,2136,0.43260,0.47483
1994,5th Quintile,West,Not concerned at all,0.05133,117,2136,0.04197,0.06069
1994,5th Quintile,East,Very concerned,0.82261,217,279,0.77771,0.86752
1994,5th Quintile,East,Somewhat concerned,0.16261,62,279,0.11923,0.20598
1995,1st Quintile,West,Very concerned,0.52610,888,1720,0.50250,0.54970
1995,1st Quintile,West,Somewhat concerned,0.40040,696,1720,0.37724,0.42357
1995,1st Quintile,West,Not concerned at all,0.07350,136,1720,0.06116,0.08583
1995,1st Quintile,East,Very concerned,0.74055,561,767,0.70951,0.77159
1995,1st Quintile,East,Somewhat concerned,0.24316,206,767,0.21278,0.27354
1995,2nd Quintile,West,Very concerned,0.51774,904,1823,0.49479,0.54068
1995,2nd Quintile,West,Somewhat concerned,0.42456,790,1823,0.40186,0.44726
1995,2nd Quintile,West,Not concerned at all,0.05770,129,1823,0.04700,0.06841
1995,2nd Quintile,East,Very concerned,0.72754,730,1022,0.70023,0.75485
1995,2nd Quintile,East,Somewhat concerned,0.25705,292,1022,0.23024,0.28386
1995,3rd Quintile,West,Very concerned,0.54245,937,1849,0.51974,0.56517
1995,3rd Quintile,West,Somewhat concerned,0.40096,805,1849,0.37861,0.42330
1995,3rd Quintile,West,Not concerned at all,0.05659,107,1849,0.04606,0.06713
1995,3rd Quintile,East,Very concerned,0.74477,605,839,0.71525,0.77429
1995,3rd Quintile,East,Somewhat concerned,0.23888,234,839,0.21001,0.26775
1995,4th Quintile,West,Very concerned,0.54703,1013,1983,0.52512,0.56895
1995,4th Quintile,West,Somewhat concerned,0.40246,856,1983,0.38087,0.42405
1995,4th Quintile,West,Not concerned at all,0.05050,114,1983,0.04086,0.06015
1995,4th Quintile,East,Very concerned,0.67815,446,661,0.64251,0.71379
1995,4th Quintile,East,Somewhat concerned,0.31622,215,661,0.28074,0.35169
1995,5th Quintile,West,Very concerned,0.47379,976,2122,0.45254,0.49504
1995,5th Quintile,West,Somewhat concerned,0.46670,1009,2122,0.44547,0.48793
1995,5th Quintile,West,Not concerned at all,0.05951,137,2122,0.04944,0.06958
1995,5th Quintile,East,Very concerned,0.69156,223,321,0.64096,0.74217
1995,5th Quintile,East,Somewhat concerned,0.29056,98,321,0.24081,0.34030
1996,1st Quintile,West,Very concerned,0.55689,943,1772,0.53375,0.58003
1996,1st Quintile,West,Somewhat concerned,0.39214,732,1772,0.36940,0.41488
1996,1st Quintile,West,Not concerned at all,0.05097,97,1772,0.04072,0.06121
1996,1st Quintile,East,Very concerned,0.75223,564,757,0.72146,0.78301
1996,1st Quintile,East,Somewhat concerned,0.22883,193,757,0.19888,0.25877
1996,2nd Quintile,West,Very concerned,0.57006,899,1680,0.54638,0.59374
1996,2nd Quintile,West,Somewhat concerned,0.37938,699,1680,0.35617,0.40260
1996,2nd Quintile,West,Not concerned at all,0.05056,82,1680,0.04008,0.06104
1996,2nd Quintile,East,Very concerned,0.74487,667,916,0.71662,0.77311
1996,2nd Quintile,East,Somewhat concerned,0.24341,249,916,0.21561,0.27122
1996,3rd Quintile,West,Very concerned,0.61019,982,1755,0.58736,0.63301
1996,3rd Quintile,West,Somewhat concerned,0.35780,702,1755,0.33537,0.38023
1996,3rd Quintile,West,Not concerned at all,0.03201,71,1755,0.02377,0.04025
1996,3rd Quintile,East,Very concerned,0.77942,677,893,0.75221,0.80663
1996,3rd Quintile,East,Somewhat concerned,0.21193,216,893,0.18511,0.23875
