year,pgisced97,sex,plh0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,No answer / don't know,male,Very concerned,0.41112,45,94,0.31112,0.51112
1994,No answer / don't know,male,Somewhat concerned,0.50586,49,94,0.40425,0.60748
1994,No answer / don't know,female,Very concerned,0.59176,66,111,0.49991,0.68361
1994,No answer / don't know,female,Somewhat concerned,0.32892,45,111,0.24112,0.41672
1994,Pre-primary Level,male,Very concerned,0.39242,41,93,0.29264,0.49220
1994,Pre-primary Level,male,Somewhat concerned,0.43566,52,93,0.33434,0.53699
1994,Pre-primary Level,female,Very concerned,0.43686,61,124,0.34920,0.52451
1994,Pre-primary Level,female,Somewhat concerned,0.50705,63,124,0.41869,0.59540
1994,Primary Level,male,Very concerned,0.45752,102,196,0.38759,0.52744
1994,Primary Level,male,Somewhat concerned,0.41784,94,196,0.34861,0.48706
1994,Primary Level,female,Very concerned,0.48488,156,325,0.43046,0.53930
1994,Primary Level,female,Somewhat concerned,0.40760,132,325,0.35410,0.46111
1994,Primary Level,female,Not concerned at all,0.10751,37,325,0.07378,0.14124
1994,Lower Secondary Level,male,Very concerned,0.51370,438,850,0.48008,0.54732
1994,Lower Secondary Level,male,Somewhat concerned,0.43771,355,850,0.40434,0.47108
1994,Lower Secondary Level,male,Not concerned at all,0.04859,57,850,0.03413,0.06306
1994,Lower Secondary Level,female,Very concerned,0.64022,1021,1619,0.61684,0.66361
1994,Lower Secondary Level,female,Somewhat concerned,0.32937,537,1619,0.30647,0.35227
1994,Lower Secondary Level,female,Not concerned at all,0.03040,61,1619,0.02204,0.03877
1994,Upper Secondary Level,male,Very concerned,0.56932,1892,3304,0.55243,0.58621
1994,Upper Secondary Level,male,Somewhat concerned,0.39436,1280,3304,0.37769,0.41102
1994,Upper Secondary Level,male,Not concerned at all,0.03633,132,3304,0.02994,0.04271
1994,Upper Secondary Level,female,Very concerned,0.62278,2006,3238,0.60608,0.63948
1994,Upper Secondary Level,female,Somewhat concerned,0.34948,1140,3238,0.33305,0.36590
1994,Upper Secondary Level,female,Not concerned at all,0.02774,92,3238,0.02209,0.03340
1994,Post-secondary Non-tertiary Level,male,Very concerned,0.40594,93,199,0.33754,0.47435
1994,Post-secondary Non-tertiary Level,male,Somewhat concerned,0.51178,106,199,0.44215,0.58140
1994,Post-secondary Non-tertiary Level,female,Very concerned,0.44413,77,167,0.36854,0.51972
1994,Post-secondary Non-tertiary Level,female,Somewhat concerned,0.50830,90,167,0.43225,0.58435
1994,First Stage of Tertiary Education,male,Very concerned,0.59779,296,463,0.55307,0.64250
1994,First Stage of Tertiary Education,male,Somewhat concerned,0.38440,167,463,0.34004,0.42876
1994,First Stage of Tertiary Education,female,Very concerned,0.61617,165,270,0.55805,0.67428
1994,First Stage of Tertiary Education,female,Somewhat concerned,0.36098,105,270,0.30358,0.41838
1994,Second Stage of Tertiary Education,male,Very concerned,0.50260,500,911,0.47011,0.53508
1994,Second Stage of Tertiary Education,male,Somewhat concerned,0.42436,362,911,0.39224,0.45647
1994,Second Stage of Tertiary Education,male,Not concerned at all,0.07305,49,911,0.05614,0.08996
1994,Second Stage of Tertiary Education,female,Very concerned,0.56598,451,713,0.52957,0.60239
1994,Second Stage of Tertiary Education,female,Somewhat concerned,0.38265,262,713,0.34695,0.41835
1995,No answer / don't know,male,Very concerned,0.36549,48,99,0.27015,0.46084
1995,No answer / don't know,male,Somewhat concerned,0.51360,51,99,0.41465,0.61256
1995,No answer / don't know,female,Very concerned,0.49395,73,133,0.40866,0.57924
1995,No answer / don't know,female,Somewhat concerned,0.44531,60,133,0.36052,0.53009
1995,Pre-primary Level,male,Very concerned,0.34212,55,121,0.25723,0.42700
1995,Pre-primary Level,male,Somewhat concerned,0.48700,66,121,0.39757,0.57643
1995,Pre-primary Level,female,Very concerned,0.44389,66,127,0.35714,0.53064
1995,Pre-primary Level,female,Somewhat concerned,0.44711,61,127,0.36030,0.53393
1995,Primary Level,male,Very concerned,0.37470,90,182,0.30418,0.44522
1995,Primary Level,male,Somewhat concerned,0.44204,92,182,0.36969,0.51439
1995,Primary Level,female,Very concerned,0.53115,154,316,0.47604,0.58626
1995,Primary Level,female,Somewhat concerned,0.33479,129,316,0.28268,0.38691
1995,Primary Level,female,Not concerned at all,0.13406,33,316,0.09643,0.17168
1995,Lower Secondary Level,male,Very concerned,0.53074,425,852,0.49721,0.56427
1995,Lower Secondary Level,male,Somewhat concerned,0.38886,357,852,0.35610,0.42161
1995,Lower Secondary Level,male,Not concerned at all,0.08041,70,852,0.06214,0.09868
1995,Lower Secondary Level,female,Very concerned,0.63069,964,1603,0.60706,0.65433
1995,Lower Secondary Level,female,Somewhat concerned,0.33075,566,1603,0.30771,0.35379
1995,Lower Secondary Level,female,Not concerned at all,0.03856,73,1603,0.02913,0.04799
1995,Upper Secondary Level,male,Very concerned,0.57222,1879,3372,0.55552,0.58893
1995,Upper Secondary Level,male,Somewhat concerned,0.38511,1335,3372,0.36869,0.40154
1995,Upper Secondary Level,male,Not concerned at all,0.04266,158,3372,0.03584,0.04948
1995,Upper Secondary Level,female,Very concerned,0.60527,2014,3309,0.58861,0.62192
1995,Upper Secondary Level,female,Somewhat concerned,0.36607,1201,3309,0.34965,0.38249
1995,Upper Secondary Level,female,Not concerned at all,0.02866,94,3309,0.02298,0.03435
1995,Post-secondary Non-tertiary Level,male,Very concerned,0.41441,113,231,0.35075,0.47808
1995,Post-secondary Non-tertiary Level,male,Somewhat concerned,0.49536,118,231,0.43074,0.55998
1995,Post-secondary Non-tertiary Level,female,Very concerned,0.40485,96,209,0.33814,0.47156
1995,Post-secondary Non-tertiary Level,female,Somewhat concerned,0.54490,113,209,0.47722,0.61258
1995,First Stage of Tertiary Education,male,Very concerned,0.55924,275,455,0.51357,0.60491
1995,First Stage of Tertiary Education,male,Somewhat concerned,0.39256,180,455,0.34764,0.43748
1995,First Stage of Tertiary Education,female,Very concerned,0.50633,141,268,0.44636,0.56630
