year,migback,plh0040,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,Very concerned,0.58231,5921,12801,0.58218,0.58244
1994,No migration background,Somewhat concerned,0.38162,3728,12801,0.38149,0.38174
1994,No migration background,Not concerned at all,0.03607,326,12801,0.03602,0.03612
1994,Direct migration background,Very concerned,0.55504,1251,12801,0.55469,0.55539
1994,Direct migration background,Somewhat concerned,0.38068,906,12801,0.38034,0.38102
1994,Direct migration background,Not concerned at all,0.06428,182,12801,0.06411,0.06445
1994,Indirect migration background,Very concerned,0.50892,238,12801,0.50804,0.50980
1994,Indirect migration background,Somewhat concerned,0.38653,205,12801,0.38567,0.38739
1994,Indirect migration background,Not concerned at all,0.10455,44,12801,0.10401,0.10509
1995,No migration background,Very concerned,0.56572,5665,13162,0.56559,0.56585
1995,No migration background,Somewhat concerned,0.38998,3842,13162,0.38986,0.39011
1995,No migration background,Not concerned at all,0.04430,405,13162,0.04424,0.04435
1995,Direct migration background,Very concerned,0.52934,1391,13162,0.52902,0.52966
1995,Direct migration background,Somewhat concerned,0.38957,1125,13162,0.38926,0.38989
1995,Direct migration background,Not concerned at all,0.08109,232,13162,0.08091,0.08127
1995,Indirect migration background,Very concerned,0.45952,229,13162,0.45862,0.46042
1995,Indirect migration background,Somewhat concerned,0.45034,236,13162,0.44945,0.45124
1995,Indirect migration background,Not concerned at all,0.09014,37,13162,0.08962,0.09066
1996,No migration background,Very concerned,0.60090,5874,12897,0.60078,0.60103
1996,No migration background,Somewhat concerned,0.36397,3591,12897,0.36384,0.36410
1996,No migration background,Not concerned at all,0.03513,328,12897,0.03508,0.03517
1996,Direct migration background,Very concerned,0.53955,1339,12897,0.53923,0.53988
1996,Direct migration background,Somewhat concerned,0.39724,1077,12897,0.39692,0.39756
1996,Direct migration background,Not concerned at all,0.06321,146,12897,0.06305,0.06337
1996,Indirect migration background,Very concerned,0.53053,268,12897,0.52968,0.53139
1996,Indirect migration background,Somewhat concerned,0.42369,243,12897,0.42284,0.42454
1996,Indirect migration background,Not concerned at all,0.04577,31,12897,0.04542,0.04613
1997,No migration background,Very concerned,0.63073,6131,12730,0.63060,0.63085
1997,No migration background,Somewhat concerned,0.33962,3317,12730,0.33950,0.33975
1997,No migration background,Not concerned at all,0.02965,271,12730,0.02961,0.02969
1997,Direct migration background,Very concerned,0.57602,1310,12730,0.57570,0.57634
1997,Direct migration background,Somewhat concerned,0.37065,999,12730,0.37033,0.37096
1997,Direct migration background,Not concerned at all,0.05333,139,12730,0.05319,0.05348
1997,Indirect migration background,Very concerned,0.47340,258,12730,0.47261,0.47420
1997,Indirect migration background,Somewhat concerned,0.45836,263,12730,0.45757,0.45916
1997,Indirect migration background,Not concerned at all,0.06823,42,12730,0.06783,0.06864
1998,No migration background,Very concerned,0.59464,6494,14066,0.59451,0.59477
1998,No migration background,Somewhat concerned,0.36925,4222,14066,0.36912,0.36937
1998,No migration background,Not concerned at all,0.03611,387,14066,0.03606,0.03616
1998,Direct migration background,Very concerned,0.53947,1215,14066,0.53915,0.53980
1998,Direct migration background,Somewhat concerned,0.39517,1009,14066,0.39484,0.39549
1998,Direct migration background,Not concerned at all,0.06536,144,14066,0.06520,0.06552
1998,Indirect migration background,Very concerned,0.47473,272,14066,0.47399,0.47547
1998,Indirect migration background,Somewhat concerned,0.43140,280,14066,0.43067,0.43213
1998,Indirect migration background,Not concerned at all,0.09387,43,14066,0.09344,0.09430
1999,No migration background,Very concerned,0.54778,5948,13632,0.54765,0.54791
1999,No migration background,Somewhat concerned,0.39630,4299,13632,0.39617,0.39642
1999,No migration background,Not concerned at all,0.05593,590,13632,0.05587,0.05599
1999,Direct migration background,Very concerned,0.50264,1055,13632,0.50231,0.50297
1999,Direct migration background,Somewhat concerned,0.40237,922,13632,0.40205,0.40269
1999,Direct migration background,Not concerned at all,0.09499,217,13632,0.09479,0.09518
1999,Indirect migration background,Very concerned,0.42122,260,13632,0.42052,0.42192
1999,Indirect migration background,Somewhat concerned,0.48097,278,13632,0.48026,0.48168
1999,Indirect migration background,Not concerned at all,0.09781,63,13632,0.09738,0.09823
2000,No migration background,Very concerned,0.55475,10923,23932,0.55462,0.55488
2000,No migration background,Somewhat concerned,0.37830,7623,23932,0.37818,0.37843
2000,No migration background,Not concerned at all,0.06695,1304,23932,0.06688,0.06701
2000,Direct migration background,Very concerned,0.44994,1408,23932,0.44961,0.45028
2000,Direct migration background,Somewhat concerned,0.43932,1493,23932,0.43899,0.43965
2000,Direct migration background,Not concerned at all,0.11074,372,23932,0.11053,0.11095
2000,Indirect migration background,Very concerned,0.41846,334,23932,0.41774,0.41918
2000,Indirect migration background,Somewhat concerned,0.46419,369,23932,0.46345,0.46492
2000,Indirect migration background,Not concerned at all,0.11736,106,23932,0.11688,0.11783
2001,No migration background,Very concerned,0.51334,9185,21757,0.51321,0.51347
2001,No migration background,Somewhat concerned,0.41124,7593,21757,0.41111,0.41137
2001,No migration background,Not concerned at all,0.07542,1325,21757,0.07535,0.07549
2001,Direct migration background,Very concerned,0.45790,1279,21757,0.45757,0.45824
2001,Direct migration background,Somewhat concerned,0.43219,1301,21757,0.43186,0.43253
2001,Direct migration background,Not concerned at all,0.10990,315,21757,0.10969,0.11011
2001,Indirect migration background,Very concerned,0.41279,307,21757,0.41208,0.41350
2001,Indirect migration background,Somewhat concerned,0.45110,350,21757,0.45038,0.45182
2001,Indirect migration background,Not concerned at all,0.13611,102,21757,0.13561,0.13660
2002,No migration background,Very concerned,0.50929,9313,22901,0.50916,0.50942
2002,No migration background,Somewhat concerned,0.41182,8426,22901,0.41170,0.41195
2002,No migration background,Not concerned at all,0.07888,1627,22901,0.07881,0.07895
2002,Direct migration background,Very concerned,0.44268,1179,22901,0.44235,0.44301
2002,Direct migration background,Somewhat concerned,0.45955,1335,22901,0.45922,0.45988
2002,Direct migration background,Not concerned at all,0.09777,259,22901,0.09757,0.09797
2002,Indirect migration background,Very concerned,0.32806,262,22901,0.32739,0.32873
2002,Indirect migration background,Somewhat concerned,0.52944,388,22901,0.52872,0.53016
2002,Indirect migration background,Not concerned at all,0.14250,112,22901,0.14200,0.14300
2003,No migration background,Very concerned,0.45734,8021,22062,0.45721,0.45747
2003,No migration background,Somewhat concerned,0.45791,8974,22062,0.45778,0.45804
2003,No migration background,Not concerned at all,0.08475,1707,22062,0.08468,0.08482
2003,Direct migration background,Very concerned,0.40654,1036,22062,0.40622,0.40687
2003,Direct migration background,Somewhat concerned,0.48916,1308,22062,0.48883,0.48949
2003,Direct migration background,Not concerned at all,0.10429,247,22062,0.10409,0.10450
2003,Indirect migration background,Very concerned,0.36857,259,22062,0.36791,0.36923
2003,Indirect migration background,Somewhat concerned,0.48339,401,22062,0.48271,0.48408
2003,Indirect migration background,Not concerned at all,0.14804,109,22062,0.14755,0.14853
2004,No migration background,Very concerned,0.45657,7894,21491,0.45644,0.45669
2004,No migration background,Somewhat concerned,0.44497,8379,21491,0.44484,0.44510
2004,No migration background,Not concerned at all,0.09846,1929,21491,0.09838,0.09854
2004,Direct migration background,Very concerned,0.43358,1005,21491,0.43325,0.43391
2004,Direct migration background,Somewhat concerned,0.45080,1223,21491,0.45047,0.45113
2004,Direct migration background,Not concerned at all,0.11562,278,21491,0.11541,0.11583
2004,Indirect migration background,Very concerned,0.33779,255,21491,0.33718,0.33841
2004,Indirect migration background,Somewhat concerned,0.50393,406,21491,0.50328,0.50458
2004,Indirect migration background,Not concerned at all,0.15828,122,21491,0.15780,0.15876
2005,No migration background,Very concerned,0.50204,8366,20593,0.50191,0.50217
2005,No migration background,Somewhat concerned,0.40453,7296,20593,0.40441,0.40466
2005,No migration background,Not concerned at all,0.09343,1764,20593,0.09335,0.09350
2005,Direct migration background,Very concerned,0.45415,1025,20593,0.45382,0.45448
2005,Direct migration background,Somewhat concerned,0.44903,1086,20593,0.44870,0.44936
2005,Direct migration background,Not concerned at all,0.09682,242,20593,0.09662,0.09701
2005,Indirect migration background,Very concerned,0.39904,308,20593,0.39844,0.39963
2005,Indirect migration background,Somewhat concerned,0.47436,385,20593,0.47376,0.47497
2005,Indirect migration background,Not concerned at all,0.12660,121,20593,0.12619,0.12700
2006,No migration background,Very concerned,0.45807,8185,21818,0.45794,0.45820
