,Unnamed: 0,year,age_gr,quintil_oecd,plh0040,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,17-29 y.,1st Quintile,Very concerned,0.48629,345,12541,0.44471,0.53753
1,1,1994,17-29 y.,1st Quintile,Somewhat concerned,0.4529,292,12541,0.41029,0.4982
2,2,1994,17-29 y.,1st Quintile,Not concerned at all,0.06081,45,12541,0.04787,0.07953
3,3,1994,17-29 y.,2nd Quintile,Very concerned,0.48182,357,12541,0.44375,0.5259
4,4,1994,17-29 y.,2nd Quintile,Somewhat concerned,0.4717,300,12541,0.41817,0.51945
5,5,1994,17-29 y.,2nd Quintile,Not concerned at all,0.04648,40,12541,0.03274,0.05935
6,6,1994,17-29 y.,3rd Quintile,Very concerned,0.50863,377,12541,0.46564,0.55176
7,7,1994,17-29 y.,3rd Quintile,Somewhat concerned,0.42428,283,12541,0.38696,0.46634
8,8,1994,17-29 y.,3rd Quintile,Not concerned at all,0.06709,52,12541,0.05268,0.08772
9,9,1994,17-29 y.,4th Quintile,Very concerned,0.4067,328,12541,0.37646,0.43855
10,10,1994,17-29 y.,4th Quintile,Somewhat concerned,0.51036,346,12541,0.47865,0.55122
11,11,1994,17-29 y.,4th Quintile,Not concerned at all,0.08293,45,12541,0.0642,0.10107
12,12,1994,17-29 y.,5th Quintile,Very concerned,0.44533,219,12541,0.3997,0.49074
13,13,1994,17-29 y.,5th Quintile,Somewhat concerned,0.44915,248,12541,0.41203,0.48168
14,14,1994,17-29 y.,5th Quintile,Not concerned at all,0.10552,46,12541,0.09266,0.12092
15,15,1994,30-45 y.,1st Quintile,Very concerned,0.56357,411,12541,0.5171,0.61117
16,16,1994,30-45 y.,1st Quintile,Somewhat concerned,0.43643,284,12541,0.39512,0.48139
17,17,1994,30-45 y.,2nd Quintile,Very concerned,0.55101,549,12541,0.50685,0.5854
18,18,1994,30-45 y.,2nd Quintile,Somewhat concerned,0.44899,363,12541,0.41693,0.48766
19,19,1994,30-45 y.,3rd Quintile,Very concerned,0.56116,519,12541,0.52609,0.59828
20,20,1994,30-45 y.,3rd Quintile,Somewhat concerned,0.43884,390,12541,0.40805,0.47098
21,21,1994,30-45 y.,4th Quintile,Very concerned,0.51722,394,12541,0.47952,0.56058
22,22,1994,30-45 y.,4th Quintile,Somewhat concerned,0.48278,346,12541,0.44961,0.51767
23,23,1994,30-45 y.,5th Quintile,Very concerned,0.44217,359,12541,0.40833,0.47443
24,24,1994,30-45 y.,5th Quintile,Somewhat concerned,0.5046,373,12541,0.46995,0.54658
25,25,1994,30-45 y.,5th Quintile,Not concerned at all,0.05323,37,12541,0.04323,0.06402
26,26,1994,46-65 y.,1st Quintile,Very concerned,0.72388,488,12541,0.67711,0.7669
27,27,1994,46-65 y.,1st Quintile,Somewhat concerned,0.23766,174,12541,0.2091,0.26682
28,28,1994,46-65 y.,1st Quintile,Not concerned at all,0.03846,33,12541,0.0275,0.05259
29,29,1994,46-65 y.,2nd Quintile,Very concerned,0.69409,446,12541,0.65088,0.73963
30,30,1994,46-65 y.,2nd Quintile,Somewhat concerned,0.30591,194,12541,0.2771,0.33737
31,31,1994,46-65 y.,3rd Quintile,Very concerned,0.6767,503,12541,0.63681,0.71689
32,32,1994,46-65 y.,3rd Quintile,Somewhat concerned,0.3233,240,12541,0.29391,0.35154
33,33,1994,46-65 y.,4th Quintile,Very concerned,0.66153,527,12541,0.6329,0.69486
