year,bula_h,pgisced97,plh0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Schleswig-Holstein,Upper Secondary Level,Very concerned,0.50494,77,154,0.42571,0.58416
1994,Schleswig-Holstein,Upper Secondary Level,Somewhat concerned,0.46549,77,154,0.38645,0.54453
1994,Hamburg,Upper Secondary Level,Very concerned,0.63444,45,45,0.49214,0.77674
1994,Lower Saxony,Lower Secondary Level,Very concerned,0.56219,122,206,0.49427,0.63010
1994,Lower Saxony,Lower Secondary Level,Somewhat concerned,0.41478,84,206,0.34733,0.48222
1994,Lower Saxony,Upper Secondary Level,Very concerned,0.61528,294,482,0.57180,0.65876
1994,Lower Saxony,Upper Secondary Level,Somewhat concerned,0.34869,188,482,0.30610,0.39128
1994,Lower Saxony,First Stage of Tertiary Education,Very concerned,0.53657,35,35,0.36895,0.70419
1994,Lower Saxony,Second Stage of Tertiary Education,Somewhat concerned,0.63106,46,46,0.49008,0.77204
1994,Bremen,Upper Secondary Level,Very concerned,0.76554,34,34,0.62100,0.91009
1994,North Rhine-Westphalia,No answer / don't know,Very concerned,0.49292,31,31,0.31402,0.67183
1994,North Rhine-Westphalia,Primary Level,Very concerned,0.54986,83,140,0.46715,0.63256
1994,North Rhine-Westphalia,Primary Level,Somewhat concerned,0.39021,57,140,0.30912,0.47131
1994,North Rhine-Westphalia,Lower Secondary Level,Very concerned,0.62658,315,495,0.58393,0.66924
1994,North Rhine-Westphalia,Lower Secondary Level,Somewhat concerned,0.34586,180,495,0.30391,0.38780
1994,North Rhine-Westphalia,Upper Secondary Level,Very concerned,0.56200,668,1220,0.53415,0.58986
1994,North Rhine-Westphalia,Upper Secondary Level,Somewhat concerned,0.40674,504,1220,0.37917,0.43432
1994,North Rhine-Westphalia,Upper Secondary Level,Not concerned at all,0.03125,48,1220,0.02149,0.04102
1994,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very concerned,0.43111,40,86,0.32582,0.53639
1994,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Somewhat concerned,0.47992,46,86,0.37371,0.58613
1994,North Rhine-Westphalia,First Stage of Tertiary Education,Very concerned,0.61759,73,127,0.53273,0.70245
1994,North Rhine-Westphalia,First Stage of Tertiary Education,Somewhat concerned,0.37483,54,127,0.29030,0.45935
1994,North Rhine-Westphalia,Second Stage of Tertiary Education,Very concerned,0.41375,89,208,0.34666,0.48084
1994,North Rhine-Westphalia,Second Stage of Tertiary Education,Somewhat concerned,0.51740,119,208,0.44933,0.58548
1994,Hesse,Primary Level,Very concerned,0.51034,31,31,0.33145,0.68922
1994,Hesse,Lower Secondary Level,Very concerned,0.66394,135,211,0.60005,0.72783
1994,Hesse,Lower Secondary Level,Somewhat concerned,0.29147,76,211,0.23001,0.35294
1994,Hesse,Upper Secondary Level,Very concerned,0.57029,231,406,0.52207,0.61850
1994,Hesse,Upper Secondary Level,Somewhat concerned,0.41130,175,406,0.36338,0.45923
1994,Hesse,Second Stage of Tertiary Education,Very concerned,0.39274,41,92,0.29240,0.49308
1994,Hesse,Second Stage of Tertiary Education,Somewhat concerned,0.54613,51,92,0.44384,0.64843
1994,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very concerned,0.66643,118,176,0.59658,0.73629
1994,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Somewhat concerned,0.31880,58,176,0.24975,0.38784
