year,migback,sampreg,plh0040,proportion,n,lower_confidence,upper_confidence
1994,No migration background,West,1.0,0.25646433872353724,12873,0.24892070521876042,0.26400797222831407
1994,No migration background,West,2.0,0.21904538707913443,12873,0.2119004873247987,0.22619028683347017
1994,No migration background,East,1.0,0.2060776501835794,12873,0.1990901690619277,0.2130651313052311
1994,Direct migration background,West,1.0,0.08858682915397234,12873,0.08367822042485962,0.09349543788308506
1994,No migration background,East,2.0,0.07218186079212562,12873,0.06771130362276752,0.07665241796148371
1994,Direct migration background,West,2.0,0.06882274822279509,12873,0.06444955797397851,0.07319593847161167
1994,No migration background,West,3.0,0.02195141004609015,12873,0.01942020333348729,0.02448261675869301
1994,Indirect migration background,West,1.0,0.017732989610186704,12873,0.01545305733935207,0.02001292188102134
1994,Indirect migration background,West,2.0,0.015780017186157333,12873,0.013627156079861865,0.0179328782924528
1994,Direct migration background,West,3.0,0.014139520349972658,12873,0.012099937957722075,0.01617910274222324
1994,Direct migration background,East,1.0,0.009139910944457465,12873,0.00749594303151826,0.01078387885739667
1994,No migration background,East,3.0,0.003515350363252871,12873,0.0024929151431668226,0.00453778558333892
1994,Indirect migration background,West,3.0,0.003359112569330521,12873,0.0023595780071943295,0.004358647131466713
1994,Direct migration background,East,2.0,0.0019529724240293727,12873,0.0011902970125226369,0.0027156478355361085
1994,Indirect migration background,East,1.0,0.000859307866572924,12873,0.0003531291224287532,0.001365486610717095
1994,Indirect migration background,East,2.0,0.00023435669088352472,12873,-3.0069195864664846e-05,0.0004987825776317143
1994,Indirect migration background,East,3.0,7.81188969611749e-05,12873,-7.455938839061453e-05,0.00023079718231296435
1994,Direct migration background,East,3.0,7.81188969611749e-05,12873,-7.455938839061453e-05,0.00023079718231296435
1995,No migration background,West,1.0,0.244415742288406,13284,0.23710775681152174,0.2517237277652903
1995,No migration background,West,2.0,0.21539279744719647,13284,0.20840189291321504,0.2223837019811779
1995,No migration background,East,1.0,0.18598997112900775,13284,0.17937312128710453,0.19260682097091097
1995,Direct migration background,West,1.0,0.09747758699285823,13284,0.09243361088466553,0.10252156310105093
1995,Direct migration background,West,2.0,0.08296611457225346,13284,0.07827544645902604,0.08765678268548088
1995,No migration background,East,2.0,0.07650812946360736,13284,0.07198788452788718,0.08102837439932753
1995,No migration background,West,3.0,0.026971584865521956,13284,0.024216673487470888,0.029726496243573024
1995,Direct migration background,West,3.0,0.017626500531834066,13284,0.015388743109412278,0.019864257954255855
1995,Indirect migration background,West,2.0,0.01755052423643823,13284,0.015317508430067267,0.019783540042809196
1995,Indirect migration background,West,1.0,0.01671478498708403,13284,0.014534658006792158,0.018894911967375902
1995,Direct migration background,East,1.0,0.008205439902750342,13284,0.006671340738449124,0.009739539067051559
1995,No migration background,East,3.0,0.003798814769791825,13284,0.002752676176862443,0.004844953362721207
1995,Indirect migration background,West,3.0,0.002735146634250114,13284,0.0018469948312670936,0.0036232984372331347
1995,Direct migration background,East,2.0,0.0025072177480626044,13284,0.0016567799672552947,0.003357655528869914
1995,Indirect migration background,East,1.0,0.0006837866585625285,13284,0.0002392542627150704,0.0011283190544099867
1995,Indirect migration background,East,2.0,0.0003798814769791825,13284,4.849621405926839e-05,0.0007112667398990965
1995,Indirect migration background,East,3.0,7.59762953958365e-05,13284,-7.224622574942629e-05,0.00022419881654109927
1996,No migration background,West,1.0,0.26130107777002404,13048,0.25376251716627496,0.2688396383737731
1996,No migration background,West,2.0,0.2053966038613631,13048,0.1984646456647968,0.2123285620579294
1996,No migration background,East,1.0,0.19415367915018997,13048,0.18736659828876362,0.20094076001161632
1996,Direct migration background,West,1.0,0.09506086686826394,13048,0.09002824075056191,0.10009349298596597
1996,Direct migration background,West,2.0,0.08172443203845856,13048,0.07702390486580163,0.08642495921111548
1996,No migration background,East,2.0,0.07304024191672481,13048,0.0685755074074844,0.07750497642596522
1996,No migration background,West,3.0,0.021710475304334342,13048,0.019209827871554754,0.02421112273711393
1996,Indirect migration background,West,1.0,0.019694502597503296,13048,0.01731033201650633,0.022078673178500263
1996,Indirect migration background,West,2.0,0.01845390400868419,13048,0.016144586884569587,0.02076322113279879
1996,Direct migration background,West,3.0,0.011320462122974335,13048,0.009505180762576112,0.013135743483372559
1996,Direct migration background,East,1.0,0.00876172753353493,13048,0.007162655601834052,0.010360799465235809
1996,No migration background,East,3.0,0.0037217957664573155,13048,0.002676953624680396,0.004766637908234235
1996,Indirect migration background,West,3.0,0.0024036597658370165,13048,0.0015634300866050528,0.00324388944506898
1996,Direct migration background,East,2.0,0.0017833604714274638,13048,0.0010593979767134247,0.002507322966141503
1996,Indirect migration background,East,1.0,0.0010855237652167172,13048,0.0005204984337502813,0.001650549096683153
1996,Indirect migration background,East,2.0,0.00038768705900597036,13048,4.99019126902498e-05,0.0007254722053216909
1997,No migration background,West,1.0,0.28413197172034566,12828,0.27632732711664965,0.29193661632404166
1997,No migration background,East,1.0,0.19748625294579733,12828,0.19059701363784987,0.2043754922537448
1997,No migration background,West,2.0,0.18986645718774547,12828,0.18307943879457902,0.19665347558091192
1997,Direct migration background,West,1.0,0.09450117831893166,12828,0.08943898003432399,0.09956337660353934
1997,Direct migration background,West,2.0,0.07690494893951297,12828,0.0722941418621412,0.08151575601688474
1997,No migration background,East,2.0,0.07069913589945012,12828,0.06626343944043303,0.07513483235846721
1997,Indirect migration background,West,2.0,0.020109976433621366,12828,0.017680732960249444,0.02253921990699329
1997,Indirect migration background,West,1.0,0.019167321288295364,12828,0.016794556053541045,0.021540086523049683
1997,No migration background,West,3.0,0.01720345640219953,12828,0.014953281576894184,0.019453631227504875
1997,Direct migration background,West,3.0,0.010840534171249017,12828,0.00904854618903981,0.012632522153458225
1997,Direct migration background,East,1.0,0.00840534171249018,12828,0.0068254716410782075,0.009985211783902152
1997,No migration background,East,3.0,0.00408483896307934,12828,0.002981077472934214,0.005188600453224466
1997,Indirect migration background,West,3.0,0.0032992930086410055,12828,0.0023069326160132042,0.004291653401268807
1997,Direct migration background,East,2.0,0.0015710919088766694,12828,0.0008857047472052399,0.002256479070548099
1997,Indirect migration background,East,1.0,0.0010997643362136685,12828,0.0005261929605564088,0.0016733357118709283
1997,Indirect migration background,East,2.0,0.0005498821681068342,12828,0.00014419434191202798,0.0009555699943016405
1997,Direct migration background,East,3.0,7.855459544383346e-05,12828,-7.4817141254454e-05,0.0002319263321421209
1998,No migration background,West,1.0,0.2927626901748898,14238,0.2852883643931936,0.30023701595658603
1998,No migration background,West,2.0,0.212000568747334,14238,0.20528685157117407,0.21871428592349393
1998,No migration background,East,1.0,0.16891795819707095,14238,0.16276347716255937,0.17507243923158253
1998,No migration background,East,2.0,0.08815583676951515,14238,0.08349871681446198,0.09281295672456831
1998,Direct migration background,West,1.0,0.07934025309256362,14238,0.07490081559997762,0.08377969058514963
1998,Direct migration background,West,2.0,0.07066685624911133,14238,0.06645740798941097,0.07487630450881169
1998,No migration background,West,3.0,0.022749893359874877,14238,0.020300694080819595,0.025199092638930158
1998,Indirect migration background,West,2.0,0.01947959618939286,14238,0.017209470676085904,0.021749721702699818
1998,Indirect migration background,West,1.0,0.018128821271150293,14238,0.015937310463158143,0.020320332079142443
1998,Direct migration background,West,3.0,0.010095265178444475,14238,0.00845321228095529,0.01173731807593366
1998,Direct migration background,East,1.0,0.00703824825821129,14238,0.005665059852579528,0.008411436663843051
1998,No migration background,East,3.0,0.004763258922223802,14238,0.003632299893287191,0.005894217951160413
1998,Indirect migration background,West,3.0,0.0029148300867339683,14238,0.002029297948848455,0.0038003622246194817
1998,Indirect migration background,East,1.0,0.0012085880847433528,14238,0.000637887745223493,0.0017792884242632126
1998,Direct migration background,East,2.0,0.001066401251244135,14238,0.0005302834714460555,0.0016025190310422143
1998,Indirect migration background,East,2.0,0.00042656050049765394,14238,8.738127081257173e-05,0.0007657397301827362
